"",ML3,ML2,ML1
Menstrual_disorders,-0.076,0.827,-0.039
Headache__including_migraine,0.066,0.491,0.127
Anxiety_disorders,0.23,0.466,0.027
Miscellaneous_mental_health_disorders,0.099,0.459,0.122
Menopausal_disorders,0.515,0.361,-0.099
Allergic_rhinitis,0.037,0.356,0.011
Thyroid_disorders,0.269,0.339,0.082
Depression_and_Mood_disorders,0.412,0.309,0.076
Neuropathy_and_other_nervous_system_disorders,0.367,0.299,0.049
Asthma,0.132,0.288,-0.027
Obesity,-0.086,0.26,0.662
Vision_defects,0.245,0.204,0.075
Esophageal_disorders,0.26,0.177,0.107
Urinary_incontinence,0.338,0.045,0.288
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.567,0.042,-0.003
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.371,0.028,0.089
Disorders_of_lipid_metabolism,0.294,0.026,0.447
Hypertension,0.175,-0.044,0.686
Osteoarthritis,0.6,-0.076,0.123
Diabetes,-0.043,-0.096,0.79
Cataract,0.549,-0.275,0.211
