"",ML3,ML1,ML2,ML4,ML5
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.049,0.56,-0.057,0.019,0.06
Menopausal_disorders,-0.068,0.455,0.378,-0.029,0.202
Osteoarthritis,0.138,0.452,-0.101,0.028,0.223
Neuropathy_and_other_nervous_system_disorders,0.059,0.344,0.142,0.159,0.052
Depression_and_Mood_disorders,0.075,0.334,0.233,0.089,0.173
Disorders_of_lipid_metabolism,0.466,0.331,-0.081,0.035,0.003
Anxiety_disorders,0.016,0.288,0.223,0.238,-0.045
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.103,0.281,0.008,0.027,0.142
Esophageal_disorders,0.102,0.272,0.002,0.169,-0.009
Thyroid_disorders,0.107,0.266,0.276,0.059,0.054
Allergic_rhinitis,0.047,0.262,0.085,0.166,-0.287
Asthma,-0.027,0.246,0.074,0.157,-0.119
Vision_defects,0.052,0.189,0.097,0.145,0.091
Hypertension,0.636,0.15,-0.17,0.134,0.061
Cataract,0.079,0.115,-0.164,0.103,0.635
Obesity,0.671,0.093,0.136,0.03,-0.159
Urinary_incontinence,0.225,0.056,0.206,-0.013,0.459
Headache__including_migraine,0.027,0.01,0.14,0.52,-0.004
Menstrual_disorders,-0.003,-0.011,0.847,0.101,-0.06
Miscellaneous_mental_health_disorders,-0.023,-0.061,0.018,0.744,0.039
Diabetes,0.778,-0.148,0.013,-0.063,0.165
