"",ML3,ML2,ML1,ML4,ML5,ML8,ML7,ML6
Menstrual_disorders,-0.007,0.757,-0.047,-0.101,0.13,0.073,-0.051,0.027
Menopausal_disorders,-0.089,0.44,0.095,0.141,-0.029,-0.024,0.347,0.173
Thyroid_disorders,0.094,0.339,0.15,0.032,0.099,0.031,0.213,-0.112
Depression_and_Mood_disorders,0.068,0.298,0.051,0.217,0.056,0.106,0.218,0.017
Anxiety_disorders,0.007,0.232,-0.018,0.022,0.164,0.194,0.189,0.084
Urinary_incontinence,0.212,0.231,0.072,0.473,-0.053,0.033,-0.08,0.041
Neuropathy_and_other_nervous_system_disorders,0.043,0.18,0.146,0.07,0.117,0.142,0.145,0.061
Headache__including_migraine,0.045,0.178,-0.011,-0.005,0.431,0.051,0.01,0.058
Obesity,0.646,0.119,0.088,-0.114,-0.015,0.153,-0.061,0.054
Miscellaneous_mental_health_disorders,-0.016,0.01,0.007,0.02,0.8,-0.01,-0.027,0.005
Allergic_rhinitis,0.024,0.005,0.005,-0.124,0.042,0.498,0.017,0.012
Diabetes,0.744,0.001,-0.022,0.159,-0.025,-0.098,-0.042,-0.008
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.02,-0.003,0.135,0.144,0,0.202,0.406,-0.033
Asthma,-0.054,-0.005,-0.041,0.105,-0.011,0.563,-0.039,0.027
Esophageal_disorders,0.082,-0.01,0.027,0.083,0.105,0.23,0.142,0.043
Osteoarthritis,-0.008,-0.013,1.012,-0.004,0.001,-0.01,-0.019,-0.001
Vision_defects,-0.007,-0.017,-0.006,-0.006,0.011,-0.002,-0.04,0.75
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.064,-0.023,0.105,0.143,-0.031,0.106,0.071,0.245
Disorders_of_lipid_metabolism,0.444,-0.067,0.043,-0.033,0.048,-0.025,0.406,0.109
Cataract,0.045,-0.127,0.06,0.709,0.064,0.002,0.036,0.039
Hypertension,0.602,-0.147,0.073,0.095,0.116,0.03,0.152,0.023
