"",ML10,ML2,ML7,ML5,ML1,ML6,ML4,ML8,ML9,ML3
Menstrual_disorders,-0.048,0.989,-0.025,0.001,0.024,0.004,-0.021,-0.045,0.014,0.054
Headache__including_migraine,0.012,0.353,0.111,0.107,0.023,0.075,0.085,0.331,-0.069,0.008
Miscellaneous_mental_health_disorders,-0.037,0.306,0.214,0.144,-0.02,-0.004,0.006,0.337,-0.031,0.038
Thyroid_disorders,0.35,0.301,0.156,0.093,-0.055,-0.029,-0.076,0.037,0.025,0.014
Allergic_rhinitis,0.151,0.28,-0.082,0.004,-0.024,0.031,-0.157,0.418,-0.05,0.086
Anxiety_disorders,0.045,0.268,0.06,0.124,0.09,0.021,0.304,0.372,-0.021,0
Asthma,0.206,0.181,-0.16,0.153,-0.08,0.094,0.028,0.243,0.098,0.149
Adjustment_disorders,0.282,0.176,0.148,0.139,0.095,-0.135,0.194,0.064,-0.155,0.165
Neuropathy_and_other_nervous_system_disorders,0.179,0.171,0.099,0.171,-0.024,-0.092,0.049,0.219,0.195,-0.21
Obesity,-0.077,0.17,0.381,0.116,0.106,0.116,-0.018,0.093,0.112,0.107
Esophageal_disorders,0.036,0.169,0.062,0.07,0.085,-0.06,-0.052,0.235,0.268,-0.001
Depression_and_Mood_disorders,0.223,0.147,0.028,0.217,0.029,0.039,0.261,0.271,0.067,0.018
Vision_defects,0.131,0.115,0.117,0.139,0.067,-0.027,0.082,0.141,0.027,0.095
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.17,0.103,0.159,0.013,0.247,-0.06,0.123,0.118,-0.019,0.053
Alcohol-related_disorders,0.089,0.093,-0.078,-0.087,0.034,-0.034,0.107,0.084,0.495,0.03
Coagulation_and_hemorrhagic_disorders,0.156,0.06,-0.042,-0.141,0.404,0.22,0.168,-0.061,0.031,-0.085
Urinary_incontinence,0.324,0.052,0.038,0.24,0.166,0.099,0.077,-0.037,0.182,0.114
Hepatitis,-0.136,0.041,0.135,0.033,-0.04,-0.058,0.472,0.041,0.283,-0.133
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.408,0.035,0.06,0.109,0.2,0.053,0.203,0.013,-0.087,-0.127
Atopic_dermatitis,0.013,0.035,0.016,-0.028,-0.057,0.003,0.004,0.012,0.023,0.99
Psoriasis_and_other_inflammatory,0.114,0.034,0.103,0.071,0.051,-0.062,0.096,0.127,0.016,0.092
Congestive_heart_failure__nonhypertensive,-0.043,0.02,-0.004,0.026,0.025,1.002,0.01,0.016,-0.017,0.003
Cardiac_dysrhythmias,-0.025,0.02,-0.011,-0.012,0.981,0.026,-0.066,0.014,0.03,-0.051
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.271,0.018,0.107,0.135,0.097,-0.006,-0.027,0.231,0.049,0.014
Hypertension,0.078,0.014,0.438,0.055,0.014,0.417,-0.122,0.026,0.13,-0.042
Glaucoma,0.307,0.013,0.131,0.085,0.114,0.107,-0.121,0.083,-0.078,0.042
Menopausal_disorders,-0.007,-0.001,0.015,0.997,-0.018,0.026,0.005,-0.015,-0.019,-0.035
Hepatic_steatosis_and_other_liver_diseases,-0.051,-0.004,0.086,-0.009,0.069,-0.002,0.118,-0.057,0.705,0.051
Sexual_disorders,0.202,-0.016,0.282,-0.362,-0.19,0.055,0.107,0.289,0.058,-0.305
Osteoarthritis,0.287,-0.018,0.212,0.246,0.229,0.032,0.012,0.041,-0.03,-0.059
Chronic_kidney_disease,0.177,-0.029,0.41,-0.141,0.21,0.249,0.077,-0.186,-0.125,0.047
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.284,-0.032,-0.118,-0.079,0.16,0.285,0.172,0.054,0.2,0.015
Adictions,-0.006,-0.041,-0.049,-0.006,-0.057,0.015,0.982,-0.028,0.041,0.011
Disorders_of_lipid_metabolism,0.108,-0.044,0.444,0.2,0.109,-0.011,-0.164,0.171,0.103,0.056
Diabetes,0.025,-0.067,0.612,-0.011,0.042,0.133,-0.089,-0.074,0.185,-0.004
Osteoporosis,0.305,-0.081,-0.023,0.41,0.028,0.135,-0.035,-0.002,0.139,0.028
Neoplasms,0.171,-0.113,-0.026,0.156,0.135,0.114,0.009,-0.079,0.067,0.03
Cataract,0.49,-0.22,0.142,0.169,0.193,0.012,-0.132,-0.088,0.054,-0.014
Ischemic_heart_disease,0.131,-0.225,0.29,0.026,0.08,0.295,0.068,-0.068,-0.056,0.101
Hyperplasia_of_prostate,0.514,-0.229,0.078,-0.29,0.09,0.108,-0.104,-0.051,0.165,0.049
Inflammatory_conditions_of_male_genital_organs,-0.107,-0.351,0.217,-0.145,0.149,-0.071,0.148,0.437,-0.106,0.174
Other_male_genital_disorders,-0.07,-0.404,-0.088,-0.145,0.009,0.08,0.007,0.616,0.098,0.085
