"",ML8,ML9,ML5,ML6,ML7,ML4,ML2,ML1,ML10,ML3,ML11
Cardiac_dysrhythmias,-0.047,0.856,0.024,-0.012,-0.123,0.08,0.049,0.006,0.016,-0.078,0.045
Coagulation_and_hemorrhagic_disorders,-0.088,0.482,0.082,-0.094,0.197,0.182,-0.022,0.175,-0.054,-0.08,-0.01
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.184,0.311,0.096,0.013,0.134,-0.08,0.064,0.037,0.087,0.06,-0.065
Cataract,0.28,0.279,-0.188,0.197,-0.09,-0.033,0.143,0.233,-0.123,-0.014,-0.077
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.097,0.273,-0.028,-0.068,0.281,0.233,0.037,0.062,-0.031,0.041,0.075
Osteoarthritis,0.218,0.231,-0.004,0.27,0,0.017,0.126,0.18,0.041,-0.068,-0.073
Neoplasms,0.038,0.211,-0.104,0.163,0.039,0.083,0.043,0.038,-0.102,0.037,0.042
Glaucoma,0.257,0.192,0.013,0.084,-0.095,0.073,0.093,0.059,0.033,0.05,-0.16
Chronic_kidney_disease,0.334,0.183,-0.015,-0.152,-0.004,0.265,0.183,0.078,-0.181,0.029,-0.109
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.113,0.175,0.037,0.083,0.209,0.01,0.303,0.166,-0.011,-0.149,-0.232
Ischemic_heart_disease,0.356,0.169,-0.189,0.079,0.118,0.295,-0.155,0.103,-0.152,0.138,-0.084
Inflammatory_conditions_of_male_genital_organs,0.226,0.168,-0.412,-0.213,0.107,-0.042,0.059,-0.227,0.369,0.17,-0.098
Disorders_of_lipid_metabolism,0.469,0.154,-0.03,0.241,-0.146,0.002,-0.03,0.115,0.147,0.074,0.089
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.194,0.131,0.015,0.154,0.024,-0.038,0.097,0.145,0.196,0.018,-0.03
Hepatic_steatosis_and_other_liver_diseases,0.088,0.117,0.009,-0.022,0.211,-0.012,0.136,0.082,-0.027,0.057,0.571
Osteoporosis,0.131,0.11,-0.086,0.388,0.017,0.09,0.18,0.012,-0.036,0.031,0.043
Psoriasis_and_other_inflammatory,0.125,0.105,0.055,0.145,0.158,-0.065,-0.161,0.165,0.111,0.116,-0.028
Anxiety_disorders,0.061,0.099,0.239,0.149,0.345,0.022,-0.036,0.017,0.36,0.013,-0.045
Adjustment_disorders,0.131,0.099,0.177,0.156,0.197,-0.15,0.11,0.137,0.062,0.16,-0.219
Esophageal_disorders,0.047,0.099,0.154,0.084,-0.02,-0.069,0.075,0.085,0.28,-0.006,0.231
Vision_defects,0.118,0.077,0.106,0.135,0.089,-0.041,0.108,0.059,0.143,0.092,-0.019
Alcohol-related_disorders,0.008,0.071,0.096,-0.084,0.23,-0.067,0.111,0.118,0.072,0.039,0.36
Obesity,0.306,0.058,0.154,0.086,-0.084,0.154,0.135,-0.058,0.124,0.096,0.134
Diabetes,0.566,0.044,-0.055,-0.04,-0.117,0.16,0.172,0.029,-0.088,-0.005,0.16
Congestive_heart_failure__nonhypertensive,-0.039,0.041,0.016,0.017,0.022,0.976,0.043,-0.005,0.02,0.004,-0.015
Depression_and_Mood_disorders,0.118,0.04,0.124,0.209,0.339,0.012,0.139,0.051,0.223,0.025,-0.038
Menstrual_disorders,-0.016,0.032,0.965,-0.015,-0.013,0.007,0.028,-0.151,0.007,0.065,0.013
Neuropathy_and_other_nervous_system_disorders,0.185,0.029,0.162,0.18,0.133,-0.122,0.083,0.088,0.196,-0.196,0.094
Hyperplasia_of_prostate,-0.027,0.025,-0.115,-0.114,-0.024,0.029,0.04,0.93,0.011,0.028,0.024
Other_male_genital_disorders,-0.056,0.019,-0.457,-0.148,0.025,0.078,-0.018,-0.02,0.586,0.08,0.107
Thyroid_disorders,0.254,0.017,0.308,0.119,-0.031,-0.069,0.106,0.148,0.033,0.023,-0.057
Headache__including_migraine,0.06,0.008,0.334,0.15,0.104,0.085,-0.067,0.071,0.364,0.014,-0.076
Hypertension,0.387,0,0.047,0.12,-0.123,0.434,-0.022,0.231,0.059,-0.035,0.133
Urinary_incontinence,-0.035,-0.006,0.003,0.03,-0.002,0.025,0.986,0.008,-0.007,0.017,0.026
Hepatitis,0.131,-0.019,0.041,0.053,0.548,-0.037,-0.094,-0.031,0.01,-0.103,0.291
Allergic_rhinitis,-0.085,-0.023,0.253,0.038,-0.133,0.002,0.037,0.144,0.47,0.074,-0.096
Menopausal_disorders,-0.015,-0.025,-0.009,0.973,0.011,0.029,0.064,-0.103,0.002,-0.037,-0.02
Atopic_dermatitis,0.006,-0.055,0.038,-0.026,0.004,0.004,0.014,0.024,0.001,0.992,0.011
Asthma,-0.057,-0.06,0.168,0.173,0.099,0.053,0.066,0.108,0.237,0.153,0.017
Miscellaneous_mental_health_disorders,0.126,-0.078,0.274,0.139,-0.004,0.02,0.074,0.006,0.379,0.028,-0.051
Adictions,-0.088,-0.082,-0.05,-0.017,0.917,0.027,0.029,-0.034,-0.028,0.012,0.027
Sexual_disorders,0.449,-0.155,-0.032,-0.358,0.175,0.05,0.044,0.056,0.209,-0.284,-0.035
