"",ML9,ML7,ML2,ML11,ML10,ML4,ML5,ML8,ML13,ML6,ML1,ML3,ML12
Menopausal_disorders,0.001,0.912,-0.003,-0.013,0.013,-0.123,0.075,0.039,-0.003,-0.1,-0.101,-0.027,-0.016
Osteoporosis,-0.104,0.339,0.037,0.036,-0.058,-0.032,0.181,0.095,0.303,-0.08,-0.003,0.039,0.056
Osteoarthritis,0.071,0.268,0.202,0.181,-0.002,0.183,0.121,0,0.117,0.053,-0.019,-0.078,-0.077
Disorders_of_lipid_metabolism,0.086,0.259,0.111,0.385,-0.176,0.109,-0.044,-0.03,0.139,0.112,0.083,0.053,0.11
Depression_and_Mood_disorders,0.247,0.21,0.012,0.024,0.252,0.019,0.136,-0.002,0.222,0.023,0.143,0.012,-0.007
Neuropathy_and_other_nervous_system_disorders,0.283,0.187,-0.043,0.042,0.027,0.058,0.082,-0.107,0.208,0.007,0.135,-0.223,0.131
Miscellaneous_mental_health_disorders,0.442,0.181,-0.042,0.144,0.02,0.019,0.069,-0.002,-0.147,0.117,0.118,0.009,-0.02
Cataract,-0.19,0.18,0.176,0.142,-0.166,0.224,0.128,-0.025,0.333,0.065,-0.107,-0.022,-0.015
Headache__including_migraine,0.491,0.178,0.016,0.059,0.108,0.076,-0.069,0.073,-0.053,0.09,0.078,-0.001,-0.057
Anxiety_disorders,0.412,0.176,0.084,0.04,0.314,0.013,-0.037,0.005,0.053,0.099,0.144,-0.003,-0.028
Asthma,0.257,0.167,-0.106,-0.207,0.008,0.085,0.057,0.081,0.217,0.041,0.062,0.137,0.062
Psoriasis_and_other_inflammatory,0.141,0.164,0.057,0.034,0.104,0.176,-0.17,-0.055,0.106,0.118,-0.022,0.094,0.028
Vision_defects,0.231,0.164,0.028,0.041,0.046,0.077,0.104,-0.027,0.048,0.148,0.049,0.052,0.004
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.152,0.161,0.076,0.115,-0.032,0.127,0.095,-0.052,0.204,0.058,0.146,0,-0.037
Adjustment_disorders,0.22,0.159,0.076,0.138,0.197,0.135,0.112,-0.163,0.063,0.04,-0.079,0.157,-0.178
Hypertension,0.099,0.136,0.024,0.405,-0.104,0.233,-0.04,0.386,-0.03,0.017,0.018,-0.047,0.147
Neoplasms,-0.136,0.13,0.167,0.074,0.024,0.008,0.058,0.07,0.139,-0.143,0.069,0.049,-0.008
Esophageal_disorders,0.27,0.108,0.07,0.025,-0.034,0.097,0.069,-0.059,-0.051,0.091,0.098,-0.024,0.233
Thyroid_disorders,0.342,0.106,-0.068,0.13,-0.11,0.109,0.112,-0.056,0.243,-0.047,-0.013,0.003,-0.04
Obesity,0.198,0.105,0.097,0.331,-0.043,-0.064,0.122,0.106,-0.065,0.039,0.068,0.092,0.139
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.083,0.089,0.129,0.006,0.158,0.176,0.29,0.019,0.193,0.101,-0.098,-0.165,-0.161
Glaucoma,0.069,0.083,0.093,0.128,-0.172,0.039,0.088,0.074,0.301,0.078,0.016,0.032,-0.119
Allergic_rhinitis,0.447,0.076,-0.064,-0.135,-0.142,0.17,0.035,0.029,-0.038,0.169,0.104,0.051,-0.071
Ischemic_heart_disease,-0.222,0.069,0.124,0.325,0.075,0.084,-0.162,0.253,0.236,-0.011,-0.03,0.143,-0.043
Hepatitis,0.046,0.055,-0.013,0.116,0.494,-0.034,-0.102,-0.047,0.015,0.033,-0.018,-0.109,0.307
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.197,0.046,0.213,0.083,0.073,0.054,0.062,-0.064,0.151,0.166,0.028,0.023,-0.03
Congestive_heart_failure__nonhypertensive,0.024,0.019,0.017,-0.011,0.003,0.01,0.038,0.972,0.012,0.022,0.018,-0.011,-0.013
Urinary_incontinence,-0.01,0.018,0.005,-0.002,0.004,0.009,0.981,0.024,-0.019,0.004,0.009,0.016,0.034
Adictions,-0.03,-0.004,-0.062,-0.029,0.949,-0.014,0.025,0.008,-0.002,0.02,0.014,0.01,0.032
