"",ML11,ML10,ML12,ML9,ML4,ML7,ML14,ML2,ML5,ML6,ML8,ML1,ML3,ML13
Menopausal_disorders,-0.02,0.897,-0.014,0.087,-0.003,-0.13,0.004,0.05,-0.017,-0.115,-0.108,-0.114,-0.029,-0.012
Osteoporosis,-0.083,0.317,0.077,0.166,-0.035,-0.035,0.322,0.063,0.025,-0.051,-0.078,0.015,0.032,0.064
Disorders_of_lipid_metabolism,0.083,0.28,0.36,-0.047,-0.195,0.095,0.117,-0.049,0.064,0.109,0.109,0.079,0.065,0.105
Depression_and_Mood_disorders,0.236,0.273,-0.05,0.137,0.213,0.015,0.134,0.004,0.047,0.183,0.009,0.118,0.051,-0.005
Psoriasis_and_other_inflammatory,0.099,0.244,-0.051,-0.165,0.037,0.136,-0.005,-0.067,0.198,0.167,0.105,-0.056,0.145,0.038
Osteoarthritis,0.102,0.237,0.23,0.131,-0.011,0.196,0.22,0.018,-0.001,-0.013,0.066,-0.004,-0.107,-0.094
Miscellaneous_mental_health_disorders,0.399,0.23,0.086,0.075,-0.005,0.01,-0.257,-0.002,0.019,0.102,0.103,0.094,0.039,-0.017
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.152,0.2,0.059,0.094,-0.063,0.123,0.196,-0.045,0.015,0.166,0.046,0.13,0.028,-0.046
Neuropathy_and_other_nervous_system_disorders,0.287,0.195,0.033,0.062,0.05,0.059,0.144,-0.141,0.003,0.04,0.008,0.149,-0.214,0.141
Headache__including_migraine,0.482,0.19,0.041,-0.062,0.095,0.089,-0.073,0.09,-0.04,0.035,0.087,0.073,-0.002,-0.064
Anxiety_disorders,0.421,0.188,0.027,-0.026,0.285,0.029,0.057,0.034,-0.011,0.054,0.106,0.141,-0.012,-0.032
Cataract,-0.167,0.183,0.165,0.125,-0.178,0.218,0.357,-0.035,0.079,0.056,0.07,-0.099,-0.023,-0.005
Adjustment_disorders,0.206,0.183,0.123,0.116,0.161,0.115,0.013,-0.177,0.149,0.023,0.049,-0.083,0.163,-0.163
Asthma,0.264,0.168,-0.206,0.047,0.046,0.111,0.166,0.086,-0.122,-0.014,0.027,0.065,0.139,0.058
Vision_defects,0.241,0.149,0.057,0.1,0.053,0.082,0.098,-0.025,-0.06,-0.001,0.144,0.057,0.042,-0.004
Glaucoma,0.055,0.139,0.096,0.075,-0.198,0.007,0.215,0.027,0.188,0.146,0.07,0.006,0.075,-0.102
Obesity,0.185,0.128,0.329,0.129,-0.059,-0.077,-0.109,0.092,0.092,0.076,0.038,0.06,0.102,0.132
Allergic_rhinitis,0.395,0.128,-0.196,0.03,-0.16,0.143,-0.155,-0.001,0.108,0.046,0.155,0.087,0.089,-0.065
Esophageal_disorders,0.259,0.124,-0.001,0.075,-0.066,0.086,-0.041,-0.051,0.029,0.053,0.089,0.089,-0.018,0.227
Neoplasms,-0.108,0.113,0.093,0.064,-0.008,0.002,0.248,0.078,0.059,0,-0.131,0.073,0.035,-0.014
Ischemic_heart_disease,-0.224,0.112,0.29,-0.162,0.036,0.067,0.175,0.233,0.18,0.124,-0.005,-0.041,0.164,-0.024
Hypertension,0.111,0.108,0.454,-0.046,-0.063,0.255,-0.016,0.374,-0.093,0.009,0.015,0.035,-0.065,0.138
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.103,0.097,0.019,0.298,0.149,0.199,0.198,0.042,0.013,0.05,0.11,-0.094,-0.172,-0.153
Thyroid_disorders,0.349,0.091,0.172,0.075,-0.058,0.092,0.19,-0.14,0.058,-0.037,-0.045,0.021,0.006,-0.028
Hepatitis,0.06,0.056,0.102,-0.102,0.481,-0.034,0.016,-0.046,0.004,0.058,0.039,-0.013,-0.112,0.297
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.223,0.036,0.116,0.064,0.041,0.043,0.236,-0.07,0.106,0.022,0.182,0.043,0.007,-0.037
Congestive_heart_failure__nonhypertensive,0.014,0.026,-0.003,0.037,0.004,0.013,0.013,0.949,0.057,0.012,0.016,0.015,0.004,-0.012
Urinary_incontinence,-0.015,0.021,-0.001,0.983,0.006,0.012,-0.021,0.02,-0.001,0.005,0,0.006,0.022,0.04
Diabetes,-0.051,-0.001,0.513,0.139,-0.116,0.021,-0.019,0.071,0.065,0.098,0.095,0.01,-0.016,0.204
Adictions,-0.018,-0.01,-0.007,0.022,0.984,-0.007,0.004,0.007,0.033,0.002,0.024,0.016,0.003,0.02
Atopic_dermatitis,0.013,-0.013,0.011,0.018,-0.008,0.011,0.012,0.001,-0.026,-0.048,0.028,0.023,0.976,0.012
Hepatic_steatosis_and_other_liver_diseases,-0.035,-0.016,0.037,0.115,0.11,0.067,0.018,0.004,0.083,-0.007,0.038,-0.015,0.032,0.66
Coagulation_and_hemorrhagic_disorders,-0.008,-0.016,-0.025,-0.01,0.031,0.007,-0.026,0.021,1,-0.01,-0.026,0.006,-0.023,0.018
Cardiac_dysrhythmias,0.104,-0.053,0.131,0.125,-0.236,0.045,0.279,0.178,0.303,-0.169,0.136,0.048,-0.18,0.024
Alcohol-related_disorders,0.069,-0.057,-0.123,0.103,0.097,0.088,0.122,-0.026,-0.005,0.127,-0.073,0.034,0.061,0.429
Other_male_genital_disorders,-0.049,-0.06,-0.002,0.005,0.009,-0.032,0.001,0.012,0.007,-0.005,-0.017,0.994,0.023,-0.004
Sexual_disorders,-0.022,-0.06,-0.005,0.005,-0.006,-0.027,-0.003,0.007,-0.013,0.996,-0.012,-0.009,-0.046,0
Inflammatory_conditions_of_male_genital_organs,-0.052,-0.069,-0.013,0.002,0.022,-0.059,-0.004,0.013,-0.021,-0.005,0.997,-0.01,0.03,0.007
Menstrual_disorders,0.822,-0.07,-0.014,0.037,-0.022,-0.201,0.01,0.023,0.006,-0.066,-0.198,-0.225,0.068,0.041
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0,-0.077,-0.093,0.011,0.107,0.028,0.543,0.252,0.039,0.11,0.015,0.032,0.039,0.15
Hyperplasia_of_prostate,-0.063,-0.1,-0.006,0.029,-0.012,0.958,-0.003,0.029,0.041,-0.006,-0.057,-0.016,0.016,0.032
Chronic_kidney_disease,-0.062,-0.182,0.548,0.191,0.069,0.068,0.076,0.175,0.092,0.051,-0.045,-0.054,0.034,-0.168
