"",ML1,ML2
Menstrual_disorders,-0.219,0.788
Menopausal_disorders,0.123,0.681
Headache__including_migraine,0.129,0.44
Miscellaneous_mental_health_disorders,0.102,0.433
Anxiety_disorders,0.173,0.397
Thyroid_disorders,0.284,0.39
Depression_and_Mood_disorders,0.3,0.364
Adjustment_disorders,0.211,0.355
Asthma,0.108,0.331
Allergic_rhinitis,0.051,0.302
Osteoporosis,0.445,0.301
Urinary_incontinence,0.533,0.293
Neuropathy_and_other_nervous_system_disorders,0.233,0.292
Obesity,0.421,0.253
Vision_defects,0.245,0.241
Esophageal_disorders,0.213,0.228
Osteoarthritis,0.582,0.204
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.491,0.167
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.422,0.155
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.375,0.139
Disorders_of_lipid_metabolism,0.576,0.129
Psoriasis_and_other_inflammatory,0.179,0.108
Atopic_dermatitis,-0.017,0.101
Hepatitis,0.048,0.089
Glaucoma,0.476,0.083
Adictions,-0.041,0.049
Alcohol-related_disorders,0.192,0.034
Neoplasms,0.348,0.021
Hypertension,0.737,0.015
Hepatic_steatosis_and_other_liver_diseases,0.335,0.002
Cardiac_dysrhythmias,0.664,0
Cataract,0.667,-0.024
Congestive_heart_failure__nonhypertensive,0.665,-0.042
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.525,-0.055
Coagulation_and_hemorrhagic_disorders,0.503,-0.057
Diabetes,0.656,-0.088
Chronic_kidney_disease,0.654,-0.111
Ischemic_heart_disease,0.588,-0.179
Sexual_disorders,0.277,-0.232
Inflammatory_conditions_of_male_genital_organs,0.208,-0.274
Hyperplasia_of_prostate,0.626,-0.354
Other_male_genital_disorders,0.16,-0.356
