"",ML1,ML2,ML4,ML3
Miscellaneous_mental_health_disorders,-0.018,0.582,0.078,-0.017
Headache__including_migraine,0.024,0.537,0.022,0.07
Menstrual_disorders,-0.192,0.528,-0.556,0.011
Allergic_rhinitis,-0.074,0.523,0.172,-0.164
Anxiety_disorders,0.05,0.507,0.081,0.31
Asthma,0.033,0.389,0.016,0.089
Menopausal_disorders,0.183,0.385,-0.502,-0.03
Depression_and_Mood_disorders,0.224,0.382,-0.003,0.337
Adjustment_disorders,0.156,0.366,-0.059,0.082
Esophageal_disorders,0.134,0.335,0.087,0.039
Obesity,0.361,0.327,0.024,-0.044
Thyroid_disorders,0.275,0.321,-0.179,-0.049
Atopic_dermatitis,-0.12,0.305,0.212,-0.114
Vision_defects,0.181,0.305,0.044,0.055
Disorders_of_lipid_metabolism,0.508,0.288,0.15,-0.165
Neuropathy_and_other_nervous_system_disorders,0.191,0.274,-0.048,0.181
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.362,0.246,0.095,0.009
Psoriasis_and_other_inflammatory,0.113,0.206,0.107,0.077
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.326,0.201,0.062,0.084
Urinary_incontinence,0.541,0.185,-0.171,0.118
Inflammatory_conditions_of_male_genital_organs,0.022,0.183,0.685,0.044
Osteoarthritis,0.587,0.156,-0.097,-0.028
Osteoporosis,0.481,0.148,-0.223,0.025
Glaucoma,0.462,0.133,0.022,-0.15
Other_male_genital_disorders,-0.032,0.125,0.749,0.06
Hypertension,0.708,0.098,0.065,-0.069
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.503,0.078,-0.119,0.178
Alcohol-related_disorders,0.148,0.066,0.065,0.337
Hepatitis,0.006,0.036,0.001,0.62
Sexual_disorders,0.172,0.014,0.388,0.234
Diabetes,0.629,0.013,0.125,-0.053
Hepatic_steatosis_and_other_liver_diseases,0.31,0,0.041,0.348
Adictions,-0.102,-0.015,0.043,0.886
Cardiac_dysrhythmias,0.705,-0.031,-0.067,-0.125
Cataract,0.705,-0.047,-0.033,-0.14
Congestive_heart_failure__nonhypertensive,0.68,-0.061,-0.027,0.074
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.521,-0.068,0.041,0.305
Neoplasms,0.393,-0.079,-0.113,0.037
Chronic_kidney_disease,0.671,-0.101,0.007,-0.014
Ischemic_heart_disease,0.578,-0.108,0.118,0.036
Coagulation_and_hemorrhagic_disorders,0.531,-0.116,-0.06,0.17
Hyperplasia_of_prostate,0.604,-0.198,0.245,-0.04
