"",ML5,ML6,ML3,ML1,ML4,ML2
Inflammatory_conditions_of_male_genital_organs,-0.026,0.475,-0.138,-0.413,0.073,0.162
Other_male_genital_disorders,-0.074,0.469,-0.182,-0.46,0.074,0.119
Miscellaneous_mental_health_disorders,-0.037,0.444,0.141,0.254,-0.014,0.044
Sexual_disorders,0.155,0.419,-0.35,-0.08,0.149,-0.289
Allergic_rhinitis,-0.054,0.411,0.001,0.23,-0.151,0.106
Anxiety_disorders,0.045,0.398,0.126,0.224,0.304,0.009
Headache__including_migraine,0.027,0.388,0.106,0.308,0.066,0.018
Disorders_of_lipid_metabolism,0.415,0.328,0.198,-0.059,-0.18,0.045
Neuropathy_and_other_nervous_system_disorders,0.113,0.301,0.162,0.15,0.12,-0.201
Depression_and_Mood_disorders,0.179,0.297,0.226,0.12,0.312,0.032
Esophageal_disorders,0.132,0.288,0.04,0.158,0.02,0.004
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.293,0.282,0.144,0,-0.015,0.016
Obesity,0.362,0.213,0.097,0.166,-0.031,0.103
Vision_defects,0.164,0.202,0.147,0.101,0.073,0.093
Asthma,0.047,0.202,0.146,0.162,0.106,0.177
Psoriasis_and_other_inflammatory,0.1,0.186,0.083,0.016,0.085,0.087
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.32,0.186,0.031,0.097,0.076,0.035
Adjustment_disorders,0.155,0.165,0.188,0.154,0.114,0.147
Thyroid_disorders,0.274,0.144,0.115,0.292,-0.066,0.017
Hypertension,0.686,0.138,0.038,0.019,-0.091,-0.029
Osteoarthritis,0.492,0.131,0.27,-0.01,-0.04,-0.077
Diabetes,0.597,0.129,-0.018,-0.062,-0.083,-0.016
Glaucoma,0.422,0.124,0.106,0.011,-0.154,0.04
Hepatitis,0.002,0.104,0.01,0.035,0.567,-0.128
Alcohol-related_disorders,0.203,0.095,-0.128,0.107,0.283,0.045
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.451,0.07,0.152,0.037,0.158,-0.141
Menstrual_disorders,-0.05,0.031,-0.007,0.99,-0.015,0.058
Hepatic_steatosis_and_other_liver_diseases,0.352,0.023,-0.074,0.036,0.313,0.057
Urinary_incontinence,0.521,0.009,0.245,0.08,0.123,0.111
Hyperplasia_of_prostate,0.647,0.005,-0.268,-0.214,-0.063,0.046
Atopic_dermatitis,0.011,0.001,-0.021,0.03,-0.003,0.996
Osteoporosis,0.381,-0.001,0.41,-0.057,0.027,0.039
Cataract,0.615,-0.001,0.202,-0.195,-0.15,-0.034
Menopausal_disorders,-0.029,-0.006,0.993,0.019,0.008,-0.031
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.556,-0.011,-0.089,-0.008,0.269,0.032
Cardiac_dysrhythmias,0.708,-0.016,-0.016,0.077,-0.165,-0.112
Ischemic_heart_disease,0.552,-0.02,0.042,-0.215,0.041,0.099
Adictions,-0.055,-0.03,0.009,-0.049,0.958,0.013
Chronic_kidney_disease,0.706,-0.064,-0.108,-0.01,-0.016,0.024
Congestive_heart_failure__nonhypertensive,0.722,-0.097,-0.008,0.042,0.076,0.051
Coagulation_and_hemorrhagic_disorders,0.6,-0.107,-0.14,0.1,0.153,-0.098
Neoplasms,0.358,-0.115,0.156,-0.08,0.034,0.03
