"",ML6,ML9,ML1,ML2,ML4,ML5,ML7,ML8,ML3
Diabetes,0.05,0.568,-0.079,0.124,-0.019,-0.095,-0.068,0.201,-0.002
Hypertension,0.002,0.527,0.008,0.387,0.053,-0.108,0.007,0.125,-0.033
Disorders_of_lipid_metabolism,0.133,0.476,-0.035,-0.013,0.189,-0.174,0.159,0.098,0.053
Chronic_kidney_disease,0.291,0.404,-0.045,0.288,-0.147,0.041,-0.181,-0.084,0.041
Sexual_disorders,0.033,0.368,-0.016,-0.038,-0.362,0.172,0.246,0.019,-0.276
Obesity,-0.024,0.366,0.174,0.143,0.114,-0.046,0.089,0.128,0.099
Ischemic_heart_disease,0.152,0.334,-0.236,0.3,0.021,0.073,-0.076,-0.056,0.107
Osteoarthritis,0.396,0.235,-0.013,0.057,0.232,-0.023,0.041,-0.009,-0.069
Miscellaneous_mental_health_disorders,-0.057,0.218,0.32,-0.016,0.149,0.004,0.31,-0.016,0.039
Thyroid_disorders,0.288,0.179,0.295,-0.094,0.087,-0.062,0.022,0.035,0.025
Hyperplasia_of_prostate,0.453,0.174,-0.233,0.065,-0.3,-0.101,-0.032,0.173,0.052
Adjustment_disorders,0.339,0.165,0.173,-0.134,0.131,0.182,0.042,-0.137,0.166
Cataract,0.56,0.165,-0.224,-0.003,0.151,-0.158,-0.081,0.097,-0.019
Hepatitis,-0.168,0.162,0.04,-0.053,0.031,0.5,0.024,0.256,-0.129
Inflammatory_conditions_of_male_genital_organs,0.043,0.156,-0.324,-0.022,-0.149,0.114,0.429,-0.073,0.164
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.292,0.151,0.032,-0.021,0.125,-0.03,0.225,0.047,0.012
Headache__including_migraine,0.006,0.148,0.368,0.074,0.111,0.083,0.301,-0.066,0.008
Glaucoma,0.358,0.148,0.017,0.094,0.075,-0.135,0.078,-0.056,0.042
Psoriasis_and_other_inflammatory,0.122,0.136,0.039,-0.06,0.067,0.098,0.111,0.005,0.092
Neuropathy_and_other_nervous_system_disorders,0.145,0.12,0.183,-0.136,0.163,0.064,0.21,0.186,-0.206
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.359,0.108,0.116,-0.014,-0.001,0.076,0.126,0.011,0.036
Anxiety_disorders,0.091,0.101,0.29,0.041,0.122,0.3,0.347,-0.034,-0.004
Vision_defects,0.18,0.099,0.123,-0.028,0.134,0.064,0.139,0.054,0.091
Depression_and_Mood_disorders,0.224,0.079,0.161,0.021,0.21,0.283,0.252,0.039,0.022
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.521,0.074,0.035,0.064,0.096,0.18,0.007,-0.062,-0.132
Esophageal_disorders,0.066,0.053,0.189,-0.058,0.065,-0.073,0.24,0.287,-0.013
Hepatic_steatosis_and_other_liver_diseases,-0.036,0.024,0.001,-0.007,-0.013,0.088,-0.028,0.794,0.036
Congestive_heart_failure__nonhypertensive,-0.027,0.021,0.02,1.002,0.032,0.021,0.024,-0.006,0.007
Atopic_dermatitis,-0.012,0.012,0.033,0.001,-0.025,0.008,0.017,0.022,0.993
Menopausal_disorders,0,0.011,0,0.021,0.993,0.009,-0.028,-0.02,-0.033
Osteoporosis,0.298,0,-0.078,0.097,0.4,-0.031,0.006,0.154,0.03
Urinary_incontinence,0.438,-0.007,0.055,0.101,0.226,0.046,-0.015,0.23,0.103
Alcohol-related_disorders,0.065,-0.029,0.104,-0.05,-0.098,0.127,0.083,0.464,0.026
Menstrual_disorders,-0.026,-0.031,0.983,0.015,0.005,-0.029,-0.089,0.015,0.05
Cardiac_dysrhythmias,0.48,-0.033,0.053,0.315,-0.024,-0.243,0.055,0.111,-0.136
Allergic_rhinitis,0.112,-0.037,0.304,-0.005,0.004,-0.15,0.397,-0.064,0.089
Neoplasms,0.261,-0.041,-0.11,0.13,0.145,-0.011,-0.052,0.081,0.02
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.34,-0.061,-0.023,0.291,-0.091,0.171,0.058,0.196,0.009
Adictions,0.011,-0.061,-0.047,0.027,-0.005,0.973,-0.019,0.046,0.016
Other_male_genital_disorders,-0.074,-0.077,-0.355,0.083,-0.142,0.001,0.675,0.073,0.073
Asthma,0.114,-0.078,0.194,0.044,0.151,0.063,0.219,0.059,0.159
Coagulation_and_hemorrhagic_disorders,0.415,-0.091,0.071,0.315,-0.152,0.09,-0.023,0.089,-0.117
