"",ML8,ML6,ML10,ML1,ML9,ML4,ML7,ML5,ML2,ML3,ML11,ML12
Menopausal_disorders,-0.053,0.964,-0.009,-0.003,-0.004,0.01,0.033,0.041,-0.12,-0.097,-0.015,-0.005
Osteoporosis,0.01,0.271,0.102,-0.02,0.002,0.149,0.117,0.158,0.002,-0.084,0.027,0.339
Depression_and_Mood_disorders,0.253,0.236,0.005,0.034,0.275,0.062,0.003,0.125,0.184,0.177,-0.047,0.049
Miscellaneous_mental_health_disorders,0.295,0.223,0.124,0.003,0.016,0.041,-0.04,0.06,0.181,0.107,-0.009,-0.45
Neuropathy_and_other_nervous_system_disorders,0.253,0.204,0.114,0.017,0.102,0.09,-0.141,0.03,0.155,0.119,0.077,0.085
Anxiety_disorders,0.364,0.201,0,0.107,0.299,-0.003,-0.001,-0.052,0.231,0.112,-0.005,-0.031
Osteoarthritis,0.046,0.194,0.224,0.224,0.01,0.093,0.002,0.14,0.012,0.062,-0.119,0.204
Disorders_of_lipid_metabolism,0.067,0.192,0.477,0.119,-0.162,0.024,-0.031,-0.008,0.136,0.102,0.045,0.151
Headache__including_migraine,0.407,0.192,0.038,0.049,0.1,0.047,0.054,-0.076,0.173,0.084,-0.041,-0.204
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.162,0.153,0.102,0.109,-0.067,-0.038,-0.021,0.12,0.196,0.205,-0.061,0.336
Esophageal_disorders,0.222,0.139,-0.072,0.079,-0.111,0.062,-0.041,0.036,0.169,0.123,0.319,0.027
Psoriasis_and_other_inflammatory,0.094,0.136,0.106,0.088,0.098,0.041,-0.053,-0.121,0.058,0.132,0.013,-0.014
Vision_defects,0.231,0.128,-0.008,0.006,0.044,0.169,-0.021,0.083,0.172,0.034,0.043,0.019
Asthma,0.323,0.114,-0.142,-0.144,0.05,0.212,0.093,0.044,0.196,-0.039,0.077,0.053
Neoplasms,-0.025,0.112,-0.064,0.096,-0.023,0.136,0.136,0.027,0.033,-0.001,0.048,0.27
Hepatitis,0.021,0.098,0.116,0.026,0.483,-0.162,-0.062,-0.109,-0.037,0.107,0.28,0.135
Obesity,0.184,0.088,0.34,0.067,-0.053,-0.004,0.094,0.128,0.08,0.034,0.08,-0.143
Hypertension,0.039,0.058,0.416,0.037,-0.108,0.128,0.391,-0.021,0.027,0.055,0.134,-0.023
Allergic_rhinitis,0.361,0.038,-0.036,-0.025,-0.156,-0.016,0.01,0.063,0.244,0.048,-0.037,-0.018
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.024,0.031,0.152,0.201,0.257,0.12,-0.028,0.312,-0.085,0.102,-0.258,0.024
Congestive_heart_failure__nonhypertensive,0.024,0.03,-0.002,0.032,-0.005,-0.015,0.971,0.036,0.026,0.021,-0.01,0.004
Urinary_incontinence,-0.017,0.009,-0.008,0.01,0.002,-0.002,0.025,0.985,-0.003,-0.009,0.029,-0.003
Thyroid_disorders,0.436,0.007,0.224,-0.106,-0.02,0.23,-0.061,0.091,0.067,-0.061,-0.077,0.155
Cardiac_dysrhythmias,-0.02,-0.001,-0.022,0.979,-0.067,0.015,0.019,0.017,-0.004,-0.03,0.018,-0.005
Cataract,-0.048,-0.002,-0.008,0.029,-0.038,0.979,-0.003,0.009,-0.047,0.003,0.02,-0.007
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.195,-0.005,0.072,0.199,0.129,0.213,-0.07,0.048,0.118,0.049,-0.034,-0.015
Adictions,-0.031,-0.02,-0.059,-0.087,0.905,-0.04,0.008,0.033,0.02,0.004,0.048,-0.022
Menstrual_disorders,0.902,-0.021,-0.038,-0.001,-0.023,-0.11,0.027,0.028,-0.259,-0.105,0.024,-0.046
Hepatic_steatosis_and_other_liver_diseases,-0.035,-0.047,0.099,0.051,0.146,0.083,0.013,0.109,-0.009,-0.019,0.631,-0.013
Ischemic_heart_disease,-0.187,-0.059,0.448,0.08,0.162,0.153,0.264,-0.105,-0.073,-0.011,-0.112,0.044
Sexual_disorders,-0.06,-0.071,-0.009,-0.032,-0.005,0,0.022,-0.007,-0.054,0.999,0.001,-0.01
Alcohol-related_disorders,0.075,-0.076,-0.026,0.058,0.151,0.011,-0.036,0.115,0.024,0.108,0.379,0.016
Diabetes,-0.086,-0.08,0.605,0.027,-0.078,0.051,0.093,0.171,-0.031,0.056,0.131,-0.041
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.052,-0.111,-0.055,0.15,0.216,0.192,0.274,0.015,0.032,0.1,0.107,0.233
Other_male_genital_disorders,-0.152,-0.133,0.006,0.001,0.02,-0.047,0.039,-0.004,0.942,-0.025,0.016,-0.01
Coagulation_and_hemorrhagic_disorders,0.031,-0.161,0.076,0.421,0.221,0.066,0.185,0.01,-0.041,-0.06,-0.006,0.005
