"",ML8,ML4,ML2,ML3,ML7,ML6,ML5,ML1
Menstrual_disorders,-0.025,0.941,0.017,-0.016,-0.064,-0.023,-0.001,-0.233
Headache__including_migraine,-0.045,0.426,0.072,0.156,0.155,0.086,-0.023,0.194
Miscellaneous_mental_health_disorders,-0.12,0.387,-0.006,0.201,0.208,-0.018,0.067,0.222
Allergic_rhinitis,0.045,0.374,-0.023,0.018,0.056,-0.114,-0.08,0.255
Anxiety_disorders,0.072,0.358,0.027,0.155,0.126,0.328,-0.039,0.245
Thyroid_disorders,0.318,0.342,-0.098,0.087,0.119,-0.09,0.014,0.05
Asthma,0.121,0.275,0.025,0.136,-0.031,0.104,-0.024,0.18
Esophageal_disorders,0.086,0.242,-0.069,0.074,0.073,-0.059,0.251,0.191
Obesity,0.031,0.231,0.169,0.115,0.3,-0.123,0.124,0.103
Depression_and_Mood_disorders,0.257,0.23,0,0.208,0.122,0.356,-0.045,0.192
Neuropathy_and_other_nervous_system_disorders,0.161,0.214,-0.151,0.195,0.161,0.122,0.129,0.162
Vision_defects,0.186,0.201,-0.035,0.145,0.03,0.021,0.086,0.177
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.411,0.165,-0.033,-0.019,0.071,0.06,-0.017,0.125
Alcohol-related_disorders,0.111,0.108,-0.05,-0.124,0.067,0.222,0.331,0.03
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.304,0.099,-0.034,0.124,0.176,-0.003,0.016,0.197
Urinary_incontinence,0.471,0.091,0.092,0.183,-0.068,0.03,0.192,0.017
Psoriasis_and_other_inflammatory,0.08,0.078,-0.043,0.073,0.173,0.101,-0.003,0.068
Cardiac_dysrhythmias,0.554,0.042,0.271,-0.067,-0.053,-0.228,0.075,0.033
Coagulation_and_hemorrhagic_disorders,0.399,0.032,0.297,-0.173,-0.079,0.081,0.085,-0.029
Disorders_of_lipid_metabolism,0.187,0.03,0.016,0.187,0.453,-0.201,0.073,0.134
Congestive_heart_failure__nonhypertensive,-0.003,0.021,1.002,0.023,-0.016,0.028,-0.008,0.027
Hypertension,0.031,0.018,0.453,0.071,0.456,-0.154,0.108,0.014
Hepatitis,-0.109,0.014,-0.031,0.048,0.178,0.563,0.182,-0.039
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.534,0.009,0.042,0.068,0.105,0.198,-0.086,-0.08
Osteoarthritis,0.442,0.001,0.055,0.209,0.204,-0.039,-0.041,0.008
Hepatic_steatosis_and_other_liver_diseases,-0.022,-0.011,-0.015,-0.018,-0.02,0.046,0.973,-0.005
Menopausal_disorders,0.01,-0.012,0.022,0.984,-0.027,0.03,-0.023,-0.098
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.423,-0.031,0.261,-0.153,0.002,0.244,0.091,0.011
Adictions,-0.015,-0.044,0.03,0.007,-0.074,0.871,0.079,0.015
Osteoporosis,0.379,-0.069,0.072,0.338,-0.003,-0.01,0.101,-0.022
Diabetes,0.127,-0.079,0.186,-0.022,0.473,-0.156,0.199,-0.032
Neoplasms,0.324,-0.093,0.112,0.106,-0.075,-0.011,0.022,0.022
Sexual_disorders,0.05,-0.093,-0.023,-0.353,0.555,0.281,-0.026,-0.002
Other_male_genital_disorders,-0.028,-0.161,0.034,-0.12,-0.024,0.007,0.012,0.932
Cataract,0.6,-0.241,-0.008,0.089,0.165,-0.177,0.085,-0.106
Ischemic_heart_disease,0.162,-0.263,0.342,-0.019,0.348,0.053,-0.039,-0.107
