"",ML8,ML6,ML3,ML7,ML2,ML10,ML11,ML4,ML1,ML5,ML9,ML12
Spondylosis__intervertebral_disc_disorders__other_back_problems,-0.018,1.001,-0.001,-0.023,-0.037,0.003,-0.009,-0.021,0.017,0.031,-0.015,-0.001
Osteoarthritis,0.062,0.279,0.076,0.097,0.234,0.066,0.133,0.202,-0.056,-0.095,0.1,-0.19
Neuropathy_and_other_nervous_system_disorders,0.027,0.216,0.12,-0.001,0.015,0.147,0.143,0.083,0.067,-0.085,0.209,-0.014
Thyroid_disorders,0.062,0.212,-0.051,0.269,0.128,0.001,0.009,0.109,-0.001,-0.063,-0.047,0.303
Sexual_disorders,0.07,0.169,0.093,0.153,0.167,0.191,0.198,0.037,-0.034,-0.174,0.052,0.041
Ischemic_heart_disease,0.222,0.169,-0.205,0.151,-0.018,-0.02,0.029,-0.002,0.069,0.118,0,0.145
Depression_and_Mood_disorders,0.105,0.139,0.087,0.062,0.027,-0.003,0.51,-0.016,-0.076,-0.06,0.069,0.117
Disorders_of_lipid_metabolism,0.284,0.134,0.022,0.002,0.214,0.096,0.058,0.16,0.056,0.052,0.042,0.103
Glaucoma,0.17,0.094,-0.086,-0.301,-0.066,0.117,-0.064,0.117,0.165,0.048,0.017,0.331
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.29,0.078,0.089,-0.022,-0.226,-0.003,0.237,0.112,-0.036,0.037,0.191,-0.237
Other_male_genital_disorders,0.148,0.064,-0.019,0.122,-0.014,0.484,0.023,-0.01,-0.091,-0.01,0.038,0.022
Hypertension,0.526,0.061,0.136,0.165,0.164,-0.097,-0.023,0.083,0.033,0.015,0.053,0.179
Anxiety_disorders,-0.062,0.039,0.099,0.053,-0.013,-0.004,0.277,0.079,-0.018,0.061,0.266,0.363
Obstructive_Sleep_apnea,-0.002,0.026,0.022,0.023,0.021,0.011,-0.004,0.008,-0.02,0.978,0.001,-0.001
Inflammatory_conditions_of_male_genital_organs,-0.081,0.016,0.045,0.019,-0.002,0.764,0.027,0.035,-0.015,0.053,0.077,-0.012
Hepatic_steatosis_and_other_liver_diseases,-0.004,0.016,0.035,0.031,0.006,-0.021,0.018,0.009,0.979,-0.017,0.027,-0.003
Miscellaneous_mental_health_disorders,-0.006,0.011,0.996,-0.004,0.018,0.006,-0.031,-0.002,0.038,0.023,-0.02,-0.024
Obesity,0.557,0.011,-0.025,-0.012,0.058,0.004,0.064,0.006,0.08,0.215,0.084,-0.094
Allergic_rhinitis,0.009,-0.002,-0.007,-0.011,0.062,0.115,-0.112,-0.034,0.084,0.001,0.696,-0.011
Esophageal_disorders,0.172,-0.017,-0.004,-0.122,-0.115,0.059,0.098,-0.031,0.096,0.063,0.354,0.049
Cardiac_dysrhythmias,0.007,-0.019,-0.011,0.984,-0.039,0.025,-0.005,-0.002,0.039,0.031,0.003,-0.004
Hyperplasia_of_prostate,-0.013,-0.023,-0.006,-0.008,-0.015,0.001,-0.015,1.01,0.005,0.006,-0.015,-0.003
Asthma,-0.068,-0.026,-0.051,0.14,0.066,-0.091,0.062,0.069,-0.008,0.076,0.468,0.057
Diabetes,0.482,-0.028,-0.025,0.052,0.059,0.384,-0.011,-0.017,0.111,0.062,-0.215,0.066
Gout,0.01,-0.038,0.007,-0.037,0.98,-0.003,0.012,-0.015,0.012,0.031,0.018,-0.005
Vision_defects,0.071,-0.041,0.087,-0.045,0.064,0.011,0.283,-0.089,0.038,0.067,0.11,0.07
Alcohol-related_disorders,-0.057,-0.042,-0.098,-0.014,0.052,0.079,0.64,0.026,0.189,0.037,-0.15,-0.044
Psoriasis_and_other_inflammatory,0.095,-0.046,-0.062,-0.066,0.072,-0.004,0.197,0.069,0.152,0.168,0.003,-0.023
Headache__including_migraine,0.06,-0.097,0.447,-0.054,-0.14,0.076,0.175,-0.008,-0.038,0.03,0.04,0.271
