"",ML9,ML7,ML3,ML8,ML4,ML2,ML12,ML11,ML5,ML6,ML1,ML10,ML13
Spondylosis__intervertebral_disc_disorders__other_back_problems,-0.018,1,-0.002,-0.023,-0.021,-0.036,-0.002,0.005,-0.011,0.019,0.031,-0.015,0.001
Osteoarthritis,0.045,0.281,0.07,0.101,0.209,0.232,0.09,0.069,0.06,-0.054,-0.099,0.085,-0.201
Neuropathy_and_other_nervous_system_disorders,0.008,0.219,0.112,0.003,0.095,0.009,0.116,0.141,0.116,0.063,-0.089,0.179,-0.037
Thyroid_disorders,0.07,0.204,-0.051,0.263,0.107,0.123,0.065,-0.004,-0.006,-0.003,-0.059,-0.032,0.306
Ischemic_heart_disease,0.217,0.168,-0.213,0.151,0.002,-0.026,0.033,-0.026,0.082,0.066,0.114,0.004,0.134
Sexual_disorders,0.061,0.166,0.085,0.154,0.044,0.162,0.18,0.189,0.078,-0.031,-0.176,0.044,0.017
Disorders_of_lipid_metabolism,0.279,0.14,0.014,0.006,0.172,0.205,0.018,0.097,0.138,0.054,0.042,0.027,0.085
Depression_and_Mood_disorders,0.077,0.105,0.082,0.049,-0.023,0.022,0.637,-0.025,-0.025,-0.076,-0.039,0.062,0.071
Glaucoma,0.186,0.093,-0.083,-0.304,0.117,-0.072,-0.011,0.107,0.016,0.158,0.049,0.032,0.315
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.261,0.08,0.075,-0.015,0.126,-0.233,0.166,-0.006,0.153,-0.037,0.028,0.162,-0.284
Other_male_genital_disorders,0.153,0.063,-0.019,0.121,-0.013,-0.015,0.056,0.468,0.003,-0.096,-0.006,0.046,0.022
Hypertension,0.53,0.059,0.136,0.162,0.086,0.158,0.004,-0.101,0.029,0.031,0.014,0.069,0.162
Anxiety_disorders,-0.072,0.032,0.094,0.051,0.095,-0.026,0.289,-0.009,0.123,-0.021,0.059,0.24,0.302
Obstructive_Sleep_apnea,-0.003,0.026,0.023,0.023,0.008,0.021,-0.007,0.01,0.001,-0.02,0.978,0.002,0
Inflammatory_conditions_of_male_genital_organs,-0.071,0.021,0.045,0.022,0.036,-0.002,0.01,0.762,0.025,-0.017,0.05,0.083,-0.009
Hepatic_steatosis_and_other_liver_diseases,-0.001,0.019,0.036,0.032,0.009,0.006,0.006,-0.021,0.011,0.977,-0.018,0.03,0.001
Miscellaneous_mental_health_disorders,-0.004,0.01,0.993,-0.004,-0.003,0.018,-0.019,0.006,-0.005,0.038,0.024,-0.017,-0.023
Obesity,0.547,0.009,-0.024,-0.013,0.005,0.057,0.086,-0.006,0.01,0.077,0.218,0.082,-0.11
Allergic_rhinitis,0.005,-0.009,-0.005,-0.012,-0.036,0.052,-0.051,0.091,-0.055,0.069,0.005,0.762,-0.013
Vision_defects,-0.01,-0.012,-0.006,-0.009,-0.023,0.005,-0.02,0.002,1.009,0.006,-0.001,-0.021,-0.004
Asthma,-0.095,-0.019,-0.057,0.147,0.087,0.055,0.021,-0.097,0.153,-0.015,0.067,0.43,0.04
Cardiac_dysrhythmias,0.008,-0.02,-0.011,0.983,-0.003,-0.038,0.001,0.024,-0.008,0.039,0.031,-0.001,-0.002
Hyperplasia_of_prostate,-0.012,-0.023,-0.006,-0.009,1.011,-0.015,-0.014,0.002,-0.022,0.006,0.007,-0.018,-0.002
Esophageal_disorders,0.156,-0.025,0.001,-0.125,-0.031,-0.118,0.16,0.039,-0.012,0.089,0.073,0.351,0.041
Diabetes,0.499,-0.027,-0.024,0.049,-0.021,0.059,-0.002,0.38,-0.003,0.113,0.062,-0.184,0.063
Gout,0.013,-0.037,0.008,-0.037,-0.014,0.977,0.013,-0.003,0.012,0.012,0.031,0.02,-0.001
Psoriasis_and_other_inflammatory,0.079,-0.052,-0.067,-0.067,0.072,0.069,0.194,-0.006,0.041,0.154,0.171,-0.007,-0.041
Alcohol-related_disorders,-0.078,-0.062,-0.105,-0.021,0.031,0.052,0.601,0.092,0.016,0.209,0.045,-0.156,-0.086
Headache__including_migraine,0.055,-0.101,0.442,-0.056,0.002,-0.147,0.171,0.079,0.086,-0.036,0.028,0.033,0.241
