"",ML1,ML2
Anxiety_disorders,-0.027,0.592
Neuropathy_and_other_nervous_system_disorders,0.036,0.514
Miscellaneous_mental_health_disorders,-0.054,0.497
Headache__including_migraine,-0.042,0.462
Depression_and_Mood_disorders,0.108,0.447
Allergic_rhinitis,-0.06,0.437
Asthma,-0.078,0.377
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.144,0.364
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.071,0.347
Osteoarthritis,0.174,0.332
Sexual_disorders,0.211,0.325
Esophageal_disorders,0.073,0.322
Vision_defects,0.071,0.32
Hyperplasia_of_prostate,0.179,0.264
Disorders_of_lipid_metabolism,0.49,0.237
Inflammatory_conditions_of_male_genital_organs,0.308,0.222
Hepatic_steatosis_and_other_liver_diseases,0.367,0.186
Hypertension,0.572,0.181
Alcohol-related_disorders,0.215,0.166
Other_male_genital_disorders,0.358,0.127
Glaucoma,0.231,0.125
Thyroid_disorders,0.326,0.125
Psoriasis_and_other_inflammatory,0.259,0.102
Obstructive_Sleep_apnea,0.465,0.084
Obesity,0.611,0.06
Cardiac_dysrhythmias,0.358,0.053
Ischemic_heart_disease,0.431,-0.027
Gout,0.397,-0.032
Diabetes,0.811,-0.159
