"",ML3,ML2,ML1
Diabetes,-0.137,0.825,0.026
Obesity,0.125,0.52,0.117
Hypertension,0.246,0.46,0.159
Ischemic_heart_disease,0.001,0.452,-0.067
Other_male_genital_disorders,0.121,0.424,-0.095
Disorders_of_lipid_metabolism,0.286,0.392,0.178
Obstructive_Sleep_apnea,0.134,0.379,0.139
Cardiac_dysrhythmias,0.082,0.379,-0.101
Inflammatory_conditions_of_male_genital_organs,0.215,0.357,-0.06
Thyroid_disorders,0.146,0.314,0.011
Hepatic_steatosis_and_other_liver_diseases,0.231,0.27,0.157
Glaucoma,0.132,0.258,-0.062
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.374,0.25,-0.271
Sexual_disorders,0.326,0.193,0.07
Alcohol-related_disorders,0.171,0.19,0.067
Hyperplasia_of_prostate,0.286,0.183,-0.067
Psoriasis_and_other_inflammatory,0.134,0.181,0.127
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.357,0.143,-0.208
Depression_and_Mood_disorders,0.44,0.126,-0.025
Osteoarthritis,0.359,0.1,0.138
Esophageal_disorders,0.338,0.07,-0.046
Neuropathy_and_other_nervous_system_disorders,0.511,0.046,-0.03
Gout,0,0.026,0.99
Vision_defects,0.335,0.009,0.109
Headache__including_migraine,0.457,-0.014,-0.1
Anxiety_disorders,0.587,-0.03,-0.013
Miscellaneous_mental_health_disorders,0.503,-0.1,0.071
Allergic_rhinitis,0.46,-0.143,0.134
Asthma,0.402,-0.157,0.11
