"",ML5,ML3,ML4,ML2,ML1
Diabetes,-0.088,0.872,0.01,0.021,0.037
Obesity,0.209,0.451,0.043,0.141,-0.018
Other_male_genital_disorders,0.179,0.383,0.043,-0.076,-0.027
Hypertension,0.303,0.382,0.125,0.188,-0.049
Inflammatory_conditions_of_male_genital_organs,0.119,0.351,0.171,-0.059,0.09
Obstructive_Sleep_apnea,0.158,0.331,0.117,0.157,-0.037
Disorders_of_lipid_metabolism,0.316,0.313,0.099,0.204,0.009
Ischemic_heart_disease,0.326,0.312,-0.257,-0.031,0.001
Cardiac_dysrhythmias,0.307,0.248,-0.132,-0.069,0.016
Glaucoma,0.16,0.246,0.045,-0.047,-0.06
Thyroid_disorders,0.347,0.193,-0.106,0.043,-0.002
Hepatic_steatosis_and_other_liver_diseases,0.204,0.169,0.078,0.161,0.234
Sexual_disorders,0.306,0.118,0.084,0.083,0.111
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.558,0.1,-0.027,-0.23,-0.017
Psoriasis_and_other_inflammatory,0.164,0.095,-0.006,0.138,0.124
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.298,0.083,0.132,-0.197,0.101
Headache__including_migraine,-0.015,0.07,0.649,-0.127,0.073
Hyperplasia_of_prostate,0.369,0.062,-0.015,-0.043,0.099
Esophageal_disorders,0.302,0.021,0.103,-0.032,0.037
Gout,-0.018,0.021,-0.012,0.994,0.018
Vision_defects,0.161,0.006,0.205,0.108,0.096
Neuropathy_and_other_nervous_system_disorders,0.414,0.003,0.187,-0.013,0.031
Depression_and_Mood_disorders,0.363,0.003,0.12,-0.019,0.292
Miscellaneous_mental_health_disorders,0.002,-0.001,0.763,0.05,-0.066
Alcohol-related_disorders,-0.009,-0.002,-0.014,0.011,0.999
Osteoarthritis,0.426,-0.036,0.016,0.162,0.114
Anxiety_disorders,0.414,-0.075,0.244,-0.003,0.112
Allergic_rhinitis,0.437,-0.17,0.113,0.16,-0.12
Asthma,0.402,-0.209,0.034,0.129,0
