"",ML5,ML6,ML2,ML7,ML4,ML3,ML1
Allergic_rhinitis,-0.1,0.472,0.038,0.157,-0.136,0.009,0.161
Anxiety_disorders,0.08,0.43,0.125,0.034,0.116,0.052,-0.023
Asthma,-0.102,0.429,-0.025,-0.028,-0.01,0.153,0.124
Neuropathy_and_other_nervous_system_disorders,0.054,0.385,0.112,0.202,0.029,-0.006,-0.015
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.291,0.363,0.018,0.107,-0.003,-0.017,-0.257
Osteoarthritis,0.048,0.31,0.047,0.105,0.111,0.082,0.151
Depression_and_Mood_disorders,0.112,0.307,0.087,0.056,0.3,0.037,-0.037
Esophageal_disorders,0.131,0.301,0.038,0.109,0.04,-0.108,-0.046
Hyperplasia_of_prostate,0.24,0.264,-0.019,0.001,0.11,0.014,-0.07
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.182,0.24,0.102,0.077,0.114,-0.024,-0.214
Sexual_disorders,0.049,0.216,0.065,0.216,0.107,0.127,0.098
Vision_defects,0.073,0.202,0.1,0.052,0.101,-0.043,0.099
Disorders_of_lipid_metabolism,0.428,0.201,0.026,0.109,0.025,0.005,0.186
Thyroid_disorders,0.266,0.161,-0.063,-0.02,0.01,0.257,0.034
Glaucoma,0.461,0.14,-0.056,0.054,-0.042,-0.286,-0.08
Hypertension,0.616,0.112,0.145,-0.129,-0.011,0.161,0.138
Psoriasis_and_other_inflammatory,0.205,0.103,-0.03,0.01,0.132,-0.037,0.12
Headache__including_migraine,0.095,0.097,0.464,0.061,0.094,-0.065,-0.141
Ischemic_heart_disease,0.424,0.096,-0.179,-0.027,0.019,0.16,-0.047
Hepatic_steatosis_and_other_liver_diseases,0.289,0.074,0.157,-0.112,0.261,0.145,0.128
Inflammatory_conditions_of_male_genital_organs,-0.056,0.056,0.055,0.722,0.052,0.022,0.012
Other_male_genital_disorders,0.08,0.055,-0.041,0.558,-0.053,0.102,-0.019
Obesity,0.546,0.052,0.014,0.071,0.008,0.012,0.122
Obstructive_Sleep_apnea,0.296,0.011,0.138,0.147,-0.025,0.115,0.155
Gout,0.027,0.009,-0.006,0.003,0.013,-0.03,0.99
Cardiac_dysrhythmias,0.002,0.001,-0.01,0.022,-0.003,0.995,-0.032
Alcohol-related_disorders,-0.029,-0.012,-0.02,0,1.005,-0.008,0.007
Miscellaneous_mental_health_disorders,-0.018,-0.017,1.006,-0.001,-0.025,-0.004,0.003
Diabetes,0.6,-0.277,-0.001,0.331,0.065,0.053,0.057
