"",ML5,ML1,ML4,ML7,ML6,ML3,ML2,ML8
Spondylosis__intervertebral_disc_disorders__other_back_problems,-0.007,1.004,0.002,-0.02,-0.01,-0.016,-0.028,0.004
Osteoarthritis,-0.046,0.282,0.053,0.138,0.156,0.086,0.205,0.071
Neuropathy_and_other_nervous_system_disorders,0.005,0.211,0.115,0.258,0.132,-0.007,0,0.152
Thyroid_disorders,0.202,0.195,-0.062,0.056,0.055,0.256,0.065,-0.048
Ischemic_heart_disease,0.366,0.17,-0.188,0.026,0.033,0.158,-0.023,-0.038
Sexual_disorders,-0.006,0.156,0.072,0.099,0.194,0.13,0.118,0.172
Depression_and_Mood_disorders,0.054,0.133,0.085,0.176,0.409,0.036,-0.03,0.015
Disorders_of_lipid_metabolism,0.398,0.132,0.02,0.129,0.078,0.002,0.186,0.089
Obstructive_Sleep_apnea,0.287,0.119,0.123,0.014,-0.095,0.112,0.175,0.153
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.166,0.091,0.089,0.192,0.157,-0.027,-0.22,0.064
Glaucoma,0.441,0.086,-0.066,0.099,0.016,-0.29,-0.091,0.048
Hepatic_steatosis_and_other_liver_diseases,0.232,0.063,0.147,0.017,0.297,0.142,0.138,-0.111
Other_male_genital_disorders,0.096,0.06,-0.036,0.034,-0.032,0.107,-0.023,0.525
Hypertension,0.63,0.047,0.13,0.103,-0.005,0.153,0.117,-0.13
Anxiety_disorders,0.104,0.034,0.112,0.404,0.206,0.043,-0.063,0.005
Obesity,0.556,0.034,-0.002,0.063,0.008,0.006,0.103,0.073
Inflammatory_conditions_of_male_genital_organs,-0.044,0.023,0.052,0.067,0.053,0.024,0.005,0.726
Miscellaneous_mental_health_disorders,-0.019,0.015,1.005,-0.024,-0.026,0,0.017,0.003
Allergic_rhinitis,-0.03,0.01,0.013,0.57,-0.149,-0.003,0.111,0.155
Hyperplasia_of_prostate,0.239,0.008,-0.021,0.203,0.193,0.01,-0.1,-0.004
Cardiac_dysrhythmias,0.006,-0.012,-0.007,0.009,0.003,0.994,-0.034,0.023
Esophageal_disorders,0.188,-0.014,0.015,0.355,0.047,-0.118,-0.092,0.102
Alcohol-related_disorders,-0.05,-0.023,-0.049,-0.063,0.792,-0.001,0.037,0.026
Psoriasis_and_other_inflammatory,0.199,-0.025,-0.028,0.058,0.215,-0.04,0.096,0.002
Asthma,-0.038,-0.025,-0.049,0.519,-0.009,0.14,0.072,-0.036
Diabetes,0.581,-0.028,-0.01,-0.242,0.059,0.055,0.052,0.34
Gout,0.021,-0.029,0.004,0.013,0.019,-0.033,0.985,-0.002
Vision_defects,0.092,-0.043,0.098,0.19,0.188,-0.048,0.061,0.035
Headache__including_migraine,0.155,-0.111,0.451,0.146,0.13,-0.07,-0.189,0.062
