"",ML2,ML4,ML1,ML3
Alcohol-related_disorders,0.03,0.608,-0.071,-0.165
Depression_and_Mood_disorders,0,0.588,0.102,0.062
Anxiety_disorders,-0.003,0.39,0.042,0.333
Sexual_disorders,0.185,0.288,0.111,0.078
Vision_defects,0.085,0.279,-0.07,0.159
Headache__including_migraine,0.092,0.268,-0.062,0.191
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.098,0.194,0.143,0.148
Osteoarthritis,0.133,0.157,0.226,0.139
Thyroid_disorders,0.263,0.101,0.165,0.05
Disorders_of_lipid_metabolism,0.509,0.1,0.083,0.145
Esophageal_disorders,0.123,0.099,0.016,0.331
Other_male_genital_disorders,0.354,0.094,0.089,-0.006
Asthma,-0.043,0.062,-0.036,0.519
Diabetes,0.784,0.014,-0.027,-0.19
Spondylosis__intervertebral_disc_disorders__other_back_problems,-0.003,-0.005,1.003,-0.017
Hypertension,0.623,-0.006,0.024,0.196
Obesity,0.635,-0.023,0.01,0.113
Allergic_rhinitis,0.037,-0.058,0.008,0.624
