"",ML1,ML4,ML2,ML3,ML6,ML5
Depression_and_Mood_disorders,-0.027,0.649,0.049,0.094,-0.01,0.02
Alcohol-related_disorders,0.07,0.552,-0.134,-0.093,0.016,-0.09
Anxiety_disorders,-0.056,0.362,0.167,0.036,0.294,0.14
Sexual_disorders,0.16,0.294,0.088,0.126,0.002,0.066
Headache__including_migraine,0.059,0.22,0.03,-0.07,0.29,0.105
Other_male_genital_disorders,0.342,0.199,0.114,0.08,-0.213,0.037
Esophageal_disorders,0.106,0.173,0.307,-0.001,0.006,-0.01
Vision_defects,0.078,0.146,-0.08,-0.042,0.451,-0.133
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.121,0.133,0.096,0.198,0.152,-0.427
Thyroid_disorders,0.192,0.12,-0.013,0.183,0.055,0.422
Osteoarthritis,0.119,0.083,0.096,0.291,0.103,-0.089
Diabetes,0.79,0.058,-0.071,-0.048,-0.132,0.009
Asthma,-0.071,0.025,0.328,-0.02,0.301,0.016
Disorders_of_lipid_metabolism,0.477,0.023,0.014,0.134,0.253,0.029
Spondylosis__intervertebral_disc_disorders__other_back_problems,-0.019,0,-0.022,0.874,-0.029,-0.001
Allergic_rhinitis,0,-0.011,0.862,-0.016,-0.034,-0.014
Obesity,0.632,-0.02,0.082,0.035,0.066,-0.115
Hypertension,0.583,-0.055,0.091,0.055,0.223,0.134
