"",ML10,ML12,ML14,ML13,ML8,ML1,ML11,ML9,ML5,ML3,ML2,ML6,ML7,ML4,ML15,ML16
Adictions,0.003,0.988,0.004,-0.021,0.036,0.002,-0.064,0.004,-0.046,-0.049,0.067,0.015,0.018,0.048,-0.03,0.032
Hepatitis,0.102,0.495,0.031,0.009,-0.001,-0.053,0.038,0.137,0.005,0.062,0.063,0.074,-0.041,0.076,0.039,0.139
Anxiety_disorders,0.107,0.346,0.088,0.086,-0.042,0.08,0.109,-0.008,0.127,0.101,0.019,-0.045,0.055,0.004,0.308,-0.198
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,-0.064,0.219,0.177,-0.047,0.099,0.154,0.103,0.077,0.261,-0.095,0.092,0.168,-0.168,-0.134,0.038,-0.17
Hepatic_steatosis_and_other_liver_diseases,0.06,0.21,0.08,0.103,0.104,0.063,0.093,0.042,0.207,0.116,-0.109,-0.023,0.007,-0.14,-0.092,0.611
Depression_and_Mood_disorders,-0.053,0.209,0.144,0.098,0.061,0.188,0.012,0,0.096,0.108,0.213,0.068,0.062,-0.136,0.096,-0.134
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.073,0.191,-0.071,0.232,0.016,-0.115,0.262,0.118,0.173,0.168,0.042,0.117,0.077,-0.01,0.072,0.067
Sexual_disorders,0.015,0.16,0.232,0.043,-0.064,-0.016,0.093,0.186,0.027,0.037,0.015,0.115,0.067,-0.047,0.037,-0.098
Schizophrenia_and_other_psychotic_disorders,-0.126,0.138,-0.075,-0.1,-0.06,0.04,0.049,0.07,0.133,0.006,0.868,-0.111,0.069,0.074,0.023,-0.041
Vision_defects,0.042,0.127,0.381,0.163,-0.222,-0.089,0.115,0.085,-0.05,0.107,-0.051,-0.116,-0.055,-0.029,0.251,-0.031
Asthma,0.027,0.114,-0.013,-0.019,-0.043,0.038,0.241,-0.152,0.201,-0.039,-0.041,-0.132,0.085,-0.1,0.373,-0.005
Headache__including_migraine,0.145,0.103,0.098,0.053,-0.045,0.328,-0.04,0.116,0.044,0.041,-0.043,0.065,0.036,0.125,0.112,-0.138
Congestive_heart_failure__nonhypertensive,0.573,0.1,0.102,0.018,0.178,-0.068,0.086,-0.203,0.05,0.014,-0.042,0.054,0.181,-0.028,-0.206,-0.252
Inflammatory_conditions_of_male_genital_organs,-0.025,0.069,0.609,-0.078,-0.132,0.114,0.077,-0.086,-0.045,-0.111,-0.047,0.089,0.286,0.113,0.014,0.02
