"",ML5,ML4,ML1,ML2,ML3
Chronic_kidney_disease,-0.16,0.775,0.07,-0.049,0.019
Hypertension,0.136,0.737,-0.07,0.114,-0.093
Congestive_heart_failure__nonhypertensive,0.011,0.677,0.134,0.014,-0.144
Diabetes,0.038,0.595,-0.093,0.007,0.199
Obesity,0.215,0.435,-0.195,-0.119,0.378
Gout,-0.035,0.433,-0.168,0.093,-0.006
Ischemic_heart_disease,0.189,0.397,0.088,-0.04,-0.216
Coagulation_and_hemorrhagic_disorders,0.03,0.37,0.171,0.095,-0.176
Disorders_of_lipid_metabolism,0.383,0.305,-0.293,0.01,0.086
Osteoarthritis,0.193,0.287,0.03,0.084,0.014
Epilepsy__convulsions,-0.068,0.22,0.25,0.118,0.118
Hepatic_steatosis_and_other_liver_diseases,0.044,0.216,0.221,0.307,-0.119
Acute_cerebrovascular_disease,0.046,0.191,0.078,0.127,-0.197
Thyroid_disorders,0.343,0.177,-0.056,-0.139,0.135
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.233,0.172,0.191,0.227,0.021
Vision_defects,0.279,0.12,0.093,-0.075,-0.019
Hepatitis,0.116,0.113,0.489,0.065,0.065
Esophageal_disorders,0.306,0.075,-0.017,0.054,0.092
Sexual_disorders,0.368,0.073,0.16,0.008,0.002
Neoplasms,0.052,0.063,-0.079,0.077,0.081
Neuropathy_and_other_nervous_system_disorders,0.292,0.06,0.069,0.067,0.146
Inflammatory_conditions_of_male_genital_organs,0.502,0.042,0.113,-0.113,-0.033
Headache__including_migraine,0.426,0.04,0.099,0.03,-0.028
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.317,0.039,0.103,0.134,-0.031
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.448,0.02,-0.073,0.02,-0.128
Alcohol-related_disorders,-0.017,0.013,-0.032,0.993,0.053
Anxiety_disorders,0.432,0.012,0.288,0.092,0.033
Other_male_genital_disorders,0.429,0.012,0.049,-0.022,0.103
Adictions,0.019,0.001,0.984,-0.025,0.069
Depression_and_Mood_disorders,0.419,-0.008,0.168,0.065,0.158
Miscellaneous_mental_health_disorders,0.52,-0.018,-0.035,-0.103,0.092
Schizophrenia_and_other_psychotic_disorders,0.006,-0.048,0.095,0.081,0.952
Allergic_rhinitis,0.45,-0.082,-0.193,0.009,-0.031
Asthma,0.331,-0.107,0.029,0.14,0.008
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.381,-0.116,0.192,0.219,0.017
Psoriasis_and_other_inflammatory,0.353,-0.116,0.031,0.179,-0.259
