"",ML5,ML6,ML1,ML4,ML3,ML2,ML7
Spondylosis__intervertebral_disc_disorders__other_back_problems,-0.036,0.514,-0.098,-0.133,0.009,0.073,0.039
Inflammatory_conditions_of_male_genital_organs,0.026,0.462,0.115,-0.064,0.154,-0.012,-0.035
Other_male_genital_disorders,-0.006,0.438,0.048,0.099,0.063,0.022,-0.046
Esophageal_disorders,-0.027,0.429,-0.04,0.098,0.02,0.188,-0.137
Vision_defects,0.064,0.411,0.089,-0.034,-0.044,0.048,-0.151
Anxiety_disorders,0.051,0.395,0.296,0.057,0.083,-0.068,0.105
Sexual_disorders,0.072,0.395,0.152,0.006,-0.01,-0.045,0.073
Allergic_rhinitis,-0.025,0.381,-0.194,-0.027,-0.021,-0.154,0.232
Disorders_of_lipid_metabolism,0.281,0.348,-0.317,0.088,0.041,0.012,0.104
Asthma,-0.101,0.315,0.033,0.038,0.055,0.011,0.068
Depression_and_Mood_disorders,0.033,0.303,0.166,0.169,0.148,-0.1,0.205
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.027,0.289,0.083,-0.004,0.064,0.059,0.132
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.136,0.274,0.144,0.083,-0.092,0.177,0.143
Neuropathy_and_other_nervous_system_disorders,0.014,0.258,0.036,0.16,0.051,0.12,0.082
Neoplasms,-0.03,0.252,-0.109,0.096,-0.15,0.15,-0.091
Headache__including_migraine,0.083,0.234,0.116,-0.032,0.321,-0.052,0.092
Psoriasis_and_other_inflammatory,-0.051,0.206,0.002,-0.216,-0.002,-0.032,0.406
Osteoarthritis,0.297,0.199,0.034,0.032,0.062,-0.073,0.071
Thyroid_disorders,0.132,0.18,-0.096,0.094,0.213,0.107,0.08
Ischemic_heart_disease,0.421,0.126,0.068,-0.217,0.02,-0.031,0.135
Hepatitis,0.08,0.125,0.44,0.09,-0.057,0.154,0.103
Diabetes,0.516,0.087,-0.167,0.22,-0.155,0.23,0.042
Chronic_kidney_disease,0.725,0.076,0.071,0.021,-0.114,0.023,-0.268
Acute_cerebrovascular_disease,0.151,0.057,0.082,-0.174,0.14,0.147,-0.112
Obesity,0.417,0.056,-0.195,0.346,0.288,0.007,-0.067
Hypertension,0.737,0.052,-0.084,-0.063,0.182,0.086,0.028
Epilepsy__convulsions,0.231,0.041,0.278,0.147,0.005,-0.084,-0.085
Alcohol-related_disorders,0.035,0.037,-0.066,0.29,-0.149,0.302,0.373
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,-0.013,0.012,0.125,0.074,0.09,0.012,0.682
Adictions,0.015,0.009,0.962,0.078,0.005,0.059,0.031
Miscellaneous_mental_health_disorders,-0.013,0.003,-0.001,0.012,0.993,0.031,0.009
Hepatic_steatosis_and_other_liver_diseases,-0.014,0,0.054,-0.047,0.035,0.993,-0.001
Schizophrenia_and_other_psychotic_disorders,-0.057,-0.002,0.091,0.974,0.019,-0.042,0.02
Congestive_heart_failure__nonhypertensive,0.756,-0.026,0.134,-0.121,-0.018,-0.113,0.102
Coagulation_and_hemorrhagic_disorders,0.396,-0.084,0.123,-0.143,0,0.105,0.243
Gout,0.46,-0.143,-0.201,0.024,-0.003,0.041,0.207
