"",ML6,ML7,ML8,ML3,ML2,ML4,ML1,ML9,ML5,ML10
Adictions,0.047,0.911,-0.02,0.029,0.03,0.05,-0.059,-0.077,0.013,0.019
Hepatitis,-0.039,0.56,0.009,-0.018,0.093,0.094,0.049,0.245,0.001,-0.032
Depression_and_Mood_disorders,-0.096,0.349,0.19,0.102,-0.029,-0.15,0.185,0.325,0.082,-0.019
Anxiety_disorders,0.088,0.342,0.372,0.159,0.021,-0.044,0.052,-0.049,0.003,0.106
Sexual_disorders,0.045,0.24,0.064,0.094,0.159,-0.089,0.147,0.235,-0.04,0.014
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.102,0.214,0.266,0.001,0.156,0.155,0.017,0.152,0.046,-0.106
Alcohol-related_disorders,0.076,0.12,0.294,-0.133,0.085,0.295,-0.06,0.052,0,-0.053
Asthma,-0.099,0.112,0.512,-0.089,-0.161,0.031,0.084,0.069,-0.022,0.099
Headache__including_migraine,0.169,0.11,0.281,0.055,0.166,-0.016,0.007,-0.103,-0.034,0.12
Hearing_loss_and_other_ear_and_sense_organ_disorders,-0.058,0.097,0.031,0.19,0.127,0.032,-0.008,0.011,0.173,0.299
Osteoarthritis,-0.002,0.079,-0.003,-0.067,-0.005,-0.114,0.199,0.201,0.229,0.456
Congestive_heart_failure__nonhypertensive,0.978,0.059,-0.046,0.013,-0.098,-0.047,0.054,-0.026,0.077,-0.004
Other_male_genital_disorders,0.181,0.045,0.185,0.32,0.184,0.027,0.017,-0.084,-0.003,-0.014
Psoriasis_and_other_inflammatory,0.095,0.037,0.263,0.123,0.065,-0.025,0.099,0.078,0.024,-0.409
Neuropathy_and_other_nervous_system_disorders,-0.069,0.033,-0.022,-0.025,0.982,-0.004,0.06,0.004,0.022,0.013
Hepatic_steatosis_and_other_liver_diseases,-0.031,0.031,-0.014,0.013,-0.012,0.989,0.043,-0.013,0.044,-0.001
Neoplasms,-0.029,0.02,0.019,-0.108,-0.291,0.138,0.279,0.135,0.04,0.179
Vision_defects,0.106,0.019,0.109,0.188,0.114,0.09,-0.013,-0.186,-0.175,0.487
Inflammatory_conditions_of_male_genital_organs,-0.018,0.014,-0.02,1.005,-0.028,0.008,0,0.011,-0.009,-0.002
Ischemic_heart_disease,0.307,0.012,-0.105,0.057,0.061,-0.046,0.174,0.12,0.235,0.04
Esophageal_disorders,-0.122,0.011,0.375,0.095,-0.138,0.2,0.005,0.159,0.017,0.116
Coagulation_and_hemorrhagic_disorders,0.037,-0.001,0.008,-0.009,0.018,0.044,-0.044,-0.022,0.984,-0.004
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.04,-0.035,0.004,0.005,0.056,0.041,0.981,-0.025,-0.042,-0.002
Thyroid_disorders,0.07,-0.041,0.124,0.132,0.087,0.084,-0.005,0.207,0.138,-0.026
Diabetes,0.247,-0.099,-0.12,0.134,0.144,0.186,-0.063,0.529,-0.027,-0.002
Obesity,0.227,-0.125,0.151,0.047,0.119,0.008,-0.176,0.341,-0.031,0.246
Hypertension,0.571,-0.139,0.204,-0.062,0.157,0.138,-0.045,0.231,-0.05,0.066
Allergic_rhinitis,-0.015,-0.201,0.553,0.084,0.054,-0.115,0.101,-0.14,0.145,-0.036
Disorders_of_lipid_metabolism,0.024,-0.261,0.13,0.217,-0.004,-0.003,0.139,0.353,0.113,0.136
