"",ML2,ML8,ML7,ML4,ML6,ML3,ML1,ML10,ML5,ML11,ML9
Adictions,0.054,0.867,0.037,0.059,0.024,-0.066,0.05,-0.056,0.016,0.002,-0.116
Hepatitis,-0.034,0.631,-0.031,-0.067,0.083,0.053,0.099,0.016,0.005,-0.016,0.288
Anxiety_disorders,0.082,0.38,0.153,0.028,0.003,0.047,-0.031,0.327,-0.009,0.149,-0.043
Depression_and_Mood_disorders,-0.113,0.342,0.121,0.157,-0.051,0.181,-0.167,0.086,0.081,0.072,0.264
Sexual_disorders,0.034,0.227,0.116,0.103,0.147,0.142,-0.098,0.014,-0.038,0.074,0.176
Headache__including_migraine,0.166,0.164,0.056,-0.07,0.161,0.009,0.006,0.263,-0.04,0.151,-0.068
Alcohol-related_disorders,0.054,0.114,-0.153,0.204,0.054,-0.061,0.272,0.18,-0.011,0.052,0.016
Asthma,-0.122,0.11,-0.094,0.242,-0.201,0.074,0.012,0.391,-0.046,0.161,0.04
Osteoarthritis,0.017,0.085,-0.063,-0.076,0.02,0.181,-0.098,-0.018,0.215,0.516,0.134
Psoriasis_and_other_inflammatory,0.063,0.062,0.118,0.141,0.025,0.111,-0.04,0.226,0.03,-0.348,0.118
Hearing_loss_and_other_ear_and_sense_organ_disorders,-0.058,0.054,0.218,0.065,0.134,-0.021,0.028,-0.033,0.165,0.345,-0.083
Congestive_heart_failure__nonhypertensive,0.971,0.048,0.021,0.021,-0.095,0.056,-0.046,-0.041,0.082,-0.006,-0.028
Esophageal_disorders,-0.139,0.041,0.102,0.087,-0.159,-0.002,0.196,0.296,0.005,0.181,0.154
Hepatic_steatosis_and_other_liver_diseases,-0.03,0.032,0.011,0.009,-0.012,0.042,0.984,-0.021,0.045,-0.014,-0.005
Neuropathy_and_other_nervous_system_disorders,-0.073,0.03,-0.023,0.053,0.966,0.069,-0.002,-0.008,0.022,0.014,0.004
Other_male_genital_disorders,0.167,0.029,0.34,0.079,0.172,0.017,0.029,0.141,-0.003,0.03,-0.124
Inflammatory_conditions_of_male_genital_organs,-0.015,0.019,0.941,0.001,-0.032,0.004,0.011,0.001,-0.016,-0.016,0.018
Vision_defects,0.117,0.003,0.211,-0.033,0.128,-0.026,0.107,0.094,-0.191,0.434,-0.222
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.014,0.003,0.002,0.994,0.038,-0.008,0.008,-0.021,0.005,-0.029,-0.02
Coagulation_and_hemorrhagic_disorders,0.04,0.001,-0.013,0.006,0.018,-0.044,0.047,0.032,0.977,0.007,-0.018
Ischemic_heart_disease,0.299,-0.001,0.081,0.039,0.06,0.177,-0.057,-0.117,0.24,0.016,0.125
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.043,-0.027,0.006,-0.005,0.061,0.976,0.041,0.025,-0.042,-0.003,-0.022
Neoplasms,-0.043,-0.047,-0.086,0.186,-0.29,0.266,0.1,-0.138,0.034,0.288,0.022
Thyroid_disorders,0.04,-0.069,0.147,0.219,0.057,-0.003,0.05,0.019,0.135,0.029,0.176
Diabetes,0.237,-0.078,0.149,-0.005,0.141,-0.059,0.184,-0.103,-0.017,0.017,0.535
Hypertension,0.557,-0.089,-0.084,0.049,0.134,-0.046,0.141,0.228,-0.062,0.08,0.287
Allergic_rhinitis,-0.013,-0.104,0.057,-0.052,0.028,0.088,-0.069,0.699,0.119,-0.067,-0.06
Obesity,0.216,-0.135,0.055,0.102,0.111,-0.183,0.004,0.082,-0.041,0.32,0.276
Disorders_of_lipid_metabolism,0.005,-0.259,0.237,0.088,-0.015,0.133,-0.013,0.082,0.107,0.194,0.328
