"",ML2,ML7,ML8,ML6,ML3,ML4,ML5,ML1,ML9,ML12,ML10,ML11
Adictions,0.04,0.97,0.023,0.007,0.021,0.037,0.013,-0.035,-0.051,-0.03,-0.032,-0.014
Hepatitis,-0.065,0.542,-0.047,0.079,0.006,0.097,0.002,0.051,0.23,0.037,0.05,0.056
Anxiety_disorders,0.069,0.346,0.162,0.013,0.092,-0.045,-0.002,0.047,-0.032,0.108,0.331,-0.029
Depression_and_Mood_disorders,-0.115,0.29,0.145,-0.005,0.096,-0.169,0.088,0.159,0.232,0.215,0.042,0.126
Sexual_disorders,0.015,0.211,0.121,0.155,-0.133,-0.097,-0.047,0.124,0.169,0.215,0.103,0.095
Headache__including_migraine,0.153,0.12,0.057,0.153,0.003,-0.008,-0.044,0.002,-0.082,0.077,0.336,-0.065
Osteoarthritis,-0.001,0.104,-0.061,0.021,0.004,-0.119,0.218,0.181,0.211,0.252,0.104,-0.34
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.119,0.102,0.039,0.23,0.231,0.094,0.039,-0.043,0.015,0.337,-0.081,0.283
Hearing_loss_and_other_ear_and_sense_organ_disorders,-0.037,0.044,0.24,0.173,-0.045,0.022,0.158,-0.05,-0.08,0.307,0.052,-0.193
Congestive_heart_failure__nonhypertensive,0.97,0.041,0.025,-0.091,-0.035,-0.045,0.083,0.051,-0.01,0.01,-0.029,0.009
Inflammatory_conditions_of_male_genital_organs,-0.007,0.04,0.883,-0.052,-0.037,0.027,-0.028,0.015,0.039,-0.044,0.022,0.007
Hepatic_steatosis_and_other_liver_diseases,-0.039,0.038,0.019,-0.012,-0.01,0.985,0.045,0.044,0.003,0,-0.014,-0.007
Alcohol-related_disorders,0.094,0.037,-0.162,0.131,0.119,0.269,-0.021,-0.113,-0.068,0.271,0.176,0.165
Vision_defects,0.124,0.029,0.257,0.144,0.115,0.094,-0.175,-0.014,-0.125,0.088,0.119,-0.389
Ischemic_heart_disease,0.28,0.028,0.082,0.047,-0.021,-0.042,0.249,0.191,0.186,-0.066,-0.08,-0.037
Esophageal_disorders,-0.152,0.024,0.118,-0.141,0.056,0.181,0.005,-0.022,0.136,0.245,0.337,0.016
Neuropathy_and_other_nervous_system_disorders,-0.076,0.02,-0.029,0.983,-0.046,-0.002,0.019,0.073,0.01,-0.034,-0.003,-0.004
Asthma,-0.034,0.018,-0.027,-0.047,1.002,-0.011,-0.001,0.032,-0.003,-0.028,0.001,-0.015
Psoriasis_and_other_inflammatory,0.062,0.016,0.103,0.028,-0.079,-0.034,0.011,0.081,0.005,0.046,0.21,0.504
Coagulation_and_hemorrhagic_disorders,0.04,0.006,-0.02,0.015,0.001,0.044,0.981,-0.04,-0.019,-0.008,0.013,0.003
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.043,-0.022,0.004,0.065,0.038,0.044,-0.039,0.967,-0.018,0.013,0.007,0.005
Other_male_genital_disorders,0.205,-0.041,0.389,0.232,0.122,0.017,-0.002,-0.018,-0.2,0.135,0.019,0.058
Hypertension,0.505,-0.063,-0.101,0.111,0.024,0.141,-0.048,-0.02,0.368,-0.05,0.296,-0.038
Neoplasms,-0.001,-0.072,-0.086,-0.209,-0.072,0.087,0.014,0.187,-0.024,0.585,-0.063,-0.043
Diabetes,0.195,-0.078,0.156,0.13,0.01,0.18,-0.01,-0.047,0.551,-0.017,-0.12,0.028
Thyroid_disorders,0.067,-0.105,0.181,0.124,0.198,0.06,0.148,-0.025,0.161,0.093,-0.085,0.125
Allergic_rhinitis,-0.048,-0.134,0.099,0.004,0.121,-0.091,0.144,0.117,-0.092,-0.118,0.569,0.073
Obesity,0.213,-0.14,0.087,0.158,0.176,-0.014,-0.024,-0.189,0.324,0.182,0.039,-0.144
Disorders_of_lipid_metabolism,-0.013,-0.232,0.257,-0.007,0.058,-0.012,0.119,0.135,0.367,0.11,0.096,-0.041
