"",ML3,ML11,ML7,ML2,ML9,ML1,ML6,ML5,ML8,ML4,ML10,ML13,ML12
Inflammatory_conditions_of_male_genital_organs,0.07,0.646,0.05,-0.066,0.014,-0.041,-0.045,0.11,-0.088,-0.085,0.045,0.107,0.043
Other_male_genital_disorders,-0.012,0.502,0.201,0.201,0.014,-0.043,0.014,-0.069,0.031,0.13,-0.011,0.044,-0.11
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.012,0.408,-0.028,0.113,-0.031,0.15,0.127,-0.036,0.142,-0.045,0.074,0.047,-0.118
Vision_defects,0.044,0.391,0.113,0.121,-0.029,0.196,-0.094,0.007,-0.204,0.135,0.149,-0.177,0.033
Esophageal_disorders,0.018,0.268,-0.222,-0.17,0.028,0.018,0.031,0.083,0.038,0.059,0.234,0.067,0.289
Allergic_rhinitis,-0.136,0.265,-0.127,0.025,0.131,-0.026,0.011,-0.057,0.195,0.147,-0.209,-0.159,0.412
Anxiety_disorders,0.348,0.251,0.005,-0.022,0.068,0.068,0.135,0.093,-0.005,0.066,-0.129,-0.043,0.264
Headache__including_migraine,0.133,0.207,0.077,0.129,0.032,0.011,0.053,0.028,-0.014,0.015,-0.067,-0.08,0.257
Disorders_of_lipid_metabolism,-0.278,0.198,-0.015,-0.021,0.108,0.179,0.014,0.085,0.07,0.024,0.045,0.269,0.173
Sexual_disorders,0.177,0.173,-0.008,0.124,0.128,0.126,0.057,0.107,-0.06,-0.151,-0.118,0.246,0.033
Obesity,-0.17,0.142,0.193,0.157,-0.211,0.189,-0.103,-0.067,-0.024,0.209,0.09,0.35,0.095
Depression_and_Mood_disorders,0.234,0.123,-0.13,-0.046,0.177,-0.034,0.129,0.039,0.092,0.057,-0.2,0.495,0.025
Psoriasis_and_other_inflammatory,0.035,0.088,0.016,0.003,0.144,-0.178,0.216,0.235,0.039,-0.131,-0.169,0.019,0.126
Neoplasms,-0.078,0.076,-0.024,-0.286,0.263,0.145,0.073,0.018,0.031,-0.064,0.193,0.126,-0.135
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.144,0.053,0.077,0.151,0.043,-0.122,0.211,0.202,0.064,0.18,0.082,0.184,-0.059
Congestive_heart_failure__nonhypertensive,0.049,0.049,0.947,-0.095,0.061,0.003,0.045,0.048,0.091,-0.036,-0.051,-0.012,0.035
Hepatic_steatosis_and_other_liver_diseases,0.11,0.04,-0.085,-0.003,0.091,-0.064,0.123,0.043,0.097,-0.011,0.795,-0.037,0.023
Diabetes,-0.127,0.033,0.223,0.153,-0.084,0.051,-0.017,0.101,-0.043,-0.014,0.292,0.363,0.088
Ischemic_heart_disease,0,0.026,0.306,0.073,0.181,-0.091,-0.1,-0.076,0.264,-0.009,0.041,0.194,0.066
Adictions,0.987,0.018,0.051,0.024,-0.047,0.023,-0.029,-0.04,0.012,0.03,0.045,-0.009,-0.029
Neuropathy_and_other_nervous_system_disorders,0.033,0.006,-0.082,0.964,0.07,-0.006,0.033,0.033,0.021,-0.042,-0.006,-0.006,0.005
Thyroid_disorders,-0.033,-0.008,0.017,0.02,-0.022,0.018,-0.035,0.992,0.01,0.03,0.006,-0.019,-0.019
Osteoarthritis,0.032,-0.016,-0.019,-0.014,0.042,0.985,0.03,0.021,0.042,-0.011,-0.04,-0.014,-0.005
Spondylosis__intervertebral_disc_disorders__other_back_problems,-0.041,-0.017,0.056,0.066,0.974,0.049,-0.038,-0.015,-0.042,0.038,0.044,0.001,-0.004
Alcohol-related_disorders,-0.035,-0.017,0.034,0.022,-0.039,0.029,0.992,-0.035,-0.022,0.024,0.04,-0.005,-0.005
Coagulation_and_hemorrhagic_disorders,0.004,-0.025,0.053,0.018,-0.046,0.046,-0.019,0.019,0.972,0.001,0.043,-0.003,-0.009
Asthma,0.027,-0.026,-0.029,-0.039,0.03,-0.011,0.025,0.033,0,0.986,-0.01,0,-0.009
Hepatitis,0.518,-0.085,-0.077,0.09,0.042,0.067,0.031,0.061,-0.006,-0.001,0.103,0.169,0.103
Hypertension,-0.055,-0.128,0.388,0.115,-0.026,0.076,0.035,0.027,-0.033,0.024,0.159,0.134,0.571
