"",ML3,ML1,ML2
Congestive_heart_failure__nonhypertensive,-0.043,1.009,0.048
Hypertension,0.396,0.5,-0.136
Ischemic_heart_disease,0.2,0.389,0.004
Coagulation_and_hemorrhagic_disorders,0.104,0.355,0.112
Diabetes,0.406,0.263,-0.105
Obesity,0.405,0.215,-0.148
Other_male_genital_disorders,0.349,0.134,0.094
Osteoarthritis,0.357,0.103,0.027
Thyroid_disorders,0.373,0.099,-0.042
Headache__including_migraine,0.319,0.085,0.122
Disorders_of_lipid_metabolism,0.553,0.085,-0.282
Inflammatory_conditions_of_male_genital_organs,0.38,0.075,0.115
Psoriasis_and_other_inflammatory,0.208,0.055,0.028
Anxiety_disorders,0.377,0.051,0.336
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.422,0.047,0.22
Adictions,-0.022,0.041,0.999
Neoplasms,0.177,0.027,-0.059
Vision_defects,0.313,0.025,0.079
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.436,0.013,-0.083
Sexual_disorders,0.403,0.01,0.171
Alcohol-related_disorders,0.298,-0.001,0.123
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.368,-0.012,0.127
Allergic_rhinitis,0.343,-0.038,-0.164
Hepatitis,0.268,-0.05,0.505
Hepatic_steatosis_and_other_liver_diseases,0.333,-0.053,0.211
Depression_and_Mood_disorders,0.423,-0.055,0.24
Esophageal_disorders,0.461,-0.125,0.015
Asthma,0.339,-0.133,0.078
Neuropathy_and_other_nervous_system_disorders,0.496,-0.228,0.117
