"",ML3,ML4,ML1,ML2
Diabetes,-0.047,0.665,0.199,-0.088
Hepatic_steatosis_and_other_liver_diseases,-0.071,0.566,-0.102,0.231
Neuropathy_and_other_nervous_system_disorders,0.228,0.408,-0.254,0.113
Hypertension,0.143,0.406,0.463,-0.136
Obesity,0.202,0.323,0.19,-0.154
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.234,0.291,0.032,0.215
Hepatitis,0.078,0.288,-0.069,0.509
Disorders_of_lipid_metabolism,0.394,0.283,0.069,-0.301
Thyroid_disorders,0.208,0.262,0.082,-0.047
Alcohol-related_disorders,0.132,0.253,-0.018,0.125
Esophageal_disorders,0.354,0.211,-0.135,-0.002
Ischemic_heart_disease,0.095,0.173,0.374,0.003
Sexual_disorders,0.334,0.148,0.008,0.155
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.298,0.142,-0.015,0.113
Osteoarthritis,0.286,0.14,0.1,0.012
Coagulation_and_hemorrhagic_disorders,0.039,0.101,0.347,0.113
Depression_and_Mood_disorders,0.403,0.095,-0.051,0.219
Neoplasms,0.128,0.075,0.026,-0.062
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.441,0.061,0.018,-0.108
Inflammatory_conditions_of_male_genital_organs,0.428,0.029,0.079,0.086
Vision_defects,0.341,0.025,0.031,0.057
Psoriasis_and_other_inflammatory,0.224,0.018,0.058,0.014
Asthma,0.386,0.003,-0.124,0.052
Congestive_heart_failure__nonhypertensive,-0.005,-0.017,1.003,0.047
Other_male_genital_disorders,0.425,-0.017,0.143,0.066
Adictions,0.015,-0.02,0.048,0.99
Headache__including_migraine,0.388,-0.024,0.096,0.097
Anxiety_disorders,0.544,-0.108,0.069,0.297
Allergic_rhinitis,0.562,-0.184,-0.016,-0.208
