"",ML4,ML3,ML5,ML2,ML8,ML7,ML1,ML6
Adictions,0.044,0.991,0.027,0.012,-0.015,-0.003,0.021,-0.034
Hepatitis,-0.054,0.497,-0.002,0.122,0.144,0.011,0.077,0.152
Anxiety_disorders,0.058,0.321,0.175,0.02,0.025,0.423,0.078,-0.025
Depression_and_Mood_disorders,-0.012,0.208,0.134,0.043,0.234,0.235,0.022,-0.022
Hepatic_steatosis_and_other_liver_diseases,-0.098,0.197,0.019,0.054,0.417,-0.148,-0.056,0.369
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.116,0.166,-0.001,0.181,0.44,0.129,-0.114,0.062
Sexual_disorders,0.061,0.124,0.155,0.213,0.124,0.076,0.139,-0.053
Headache__including_migraine,0.115,0.116,0.08,0.152,-0.047,0.315,0.004,0.031
Alcohol-related_disorders,0.013,0.112,-0.138,0.083,0.305,0.128,0.057,0.123
Asthma,-0.153,0.111,-0.061,-0.153,0.151,0.488,0.028,0.123
Coagulation_and_hemorrhagic_disorders,0.378,0.09,-0.15,0.023,0.214,-0.008,0.167,-0.051
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.009,0.069,0.235,0.132,0.186,-0.017,0.168,-0.053
Vision_defects,-0.005,0.058,0.281,0.088,-0.058,0.118,0.159,0.046
Congestive_heart_failure__nonhypertensive,0.987,0.04,0.02,-0.081,-0.006,-0.025,0.003,0.03
Inflammatory_conditions_of_male_genital_organs,-0.009,0.027,0.938,-0.037,-0.033,-0.009,-0.015,0.001
Neuropathy_and_other_nervous_system_disorders,-0.069,0.027,-0.02,0.999,-0.022,-0.016,0.003,0.022
Osteoarthritis,-0.014,0.026,-0.013,-0.003,-0.017,-0.014,1.008,-0.002
Esophageal_disorders,-0.181,0.023,0.136,-0.145,0.293,0.281,0.011,0.251
Other_male_genital_disorders,0.197,0.013,0.351,0.199,0.117,0.143,-0.05,-0.153
Ischemic_heart_disease,0.417,-0.02,0.046,0.117,0.119,-0.004,-0.05,0.063
Psoriasis_and_other_inflammatory,0.129,-0.021,0.091,0.104,0.196,0.163,-0.151,-0.112
Thyroid_disorders,0.096,-0.077,0.141,0.096,0.228,0.027,0.084,0.102
Hypertension,0.396,-0.077,-0.051,0.11,-0.062,0.218,0.058,0.569
Diabetes,0.165,-0.103,0.19,0.138,0.144,-0.207,0.053,0.512
Neoplasms,0.047,-0.104,-0.055,-0.19,0.526,-0.031,0.14,-0.119
Obesity,0.134,-0.123,0.114,0.068,-0.006,0.096,0.16,0.361
Allergic_rhinitis,-0.005,-0.157,0.062,0.05,-0.079,0.591,0.004,-0.048
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.135,-0.17,0.045,0.322,0.28,0.19,0.144,-0.249
Disorders_of_lipid_metabolism,0.033,-0.296,0.261,0.025,0.152,0.134,0.215,0.207
