"",ML12,ML13,ML7,ML6,ML5,ML9,ML10,ML1,ML11,ML4,ML3,ML2,ML8
Sexual_disorders,-0.232,0.522,0.089,0.006,-0.037,0.236,0.072,-0.034,0.067,-0.05,0.172,0.101,0.093
Disorders_of_lipid_metabolism,0.245,0.434,0.247,-0.02,-0.074,0.052,0.013,0.003,0.006,-0.1,0.032,0.153,0.091
Obstructive_Sleep_apnea,0.069,0.398,0.033,0.042,0.173,0.068,-0.04,0.068,-0.05,0.022,-0.095,0.001,0.055
Obesity,0.189,0.379,0.066,0.014,-0.096,0.082,-0.069,0.166,0.062,-0.049,0.126,0.026,0.078
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.044,0.355,0.055,0.072,-0.046,-0.034,0.152,0.147,0.002,0.273,-0.18,-0.008,0.124
Psoriasis_and_other_inflammatory,-0.038,0.345,0.247,-0.215,0.079,0.276,0.148,0.069,-0.087,0.1,0.104,-0.342,-0.209
Ischemic_heart_disease,0.093,0.335,-0.175,0.065,0.176,-0.153,0.041,-0.014,0.336,0.001,0.179,0.085,-0.011
Esophageal_disorders,0.02,0.332,0.166,0.163,-0.019,0.041,0.172,0.17,-0.235,0.031,-0.203,-0.045,0.05
Other_male_genital_disorders,0.195,0.309,0.097,0.328,-0.044,0.061,-0.053,-0.422,-0.048,-0.053,0.106,0.152,-0.042
Anxiety_disorders,0.045,0.262,-0.293,0.135,0.093,0.279,0.01,0.016,0.085,0.145,0.101,0.105,0.097
Allergic_rhinitis,0.178,0.261,-0.243,0.16,-0.124,0.066,0.021,0.221,-0.201,0.336,-0.028,-0.122,-0.113
Vision_defects,0.269,0.244,-0.145,0.122,0.212,-0.102,0.14,0.242,-0.265,0.053,-0.096,-0.123,-0.021
Headache__including_migraine,0.037,0.226,-0.075,0.215,0.18,0.116,0.132,-0.183,0.098,0.154,0.2,-0.089,-0.115
Chronic_kidney_disease,0.461,0.213,0.044,-0.049,0.15,-0.064,-0.081,0.039,0.287,-0.286,0.103,-0.05,-0.167
Depression_and_Mood_disorders,-0.032,0.206,0.053,0.185,0.119,0.216,0.211,-0.117,0.107,0.257,-0.137,0.072,0.102
Thyroid_disorders,-0.091,0.2,0.159,0.197,-0.163,0.078,0.029,0.169,0.034,-0.073,0.058,0.072,0.057
Hypertension,0.405,0.168,0.165,0.194,0.08,0.182,-0.053,0.063,0.129,-0.037,0.175,-0.025,0.052
Osteoarthritis,0.209,0.136,0.028,0.069,-0.112,0.24,0.144,0.043,0.152,0.087,0.033,-0.022,0.027
