"",ML2,ML3,ML1
Congestive_heart_failure__nonhypertensive,-0.183,0.73,0.139
Coagulation_and_hemorrhagic_disorders,0.013,0.707,-0.008
Cardiac_dysrhythmias,0.128,0.661,-0.102
Chronic_ulcer_of_skin,-0.051,0.547,-0.044
Urinary_incontinence,0.119,0.466,0.051
Chronic_kidney_disease,0.127,0.41,0.136
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.243,0.395,-0.106
Ischemic_heart_disease,0.149,0.386,-0.108
Acute_cerebrovascular_disease,-0.068,0.379,0.103
Hypertension,0.416,0.335,0.215
Transient_cerebral_ischemia,0.124,0.313,0.116
Gout,0.154,0.254,0.098
Cataract,0.21,0.246,0.273
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.327,0.245,-0.052
Diabetes,0.248,0.227,0.379
Peripheral_and_visceral_atherosclerosis,0.139,0.225,-0.13
Obesity,0.321,0.198,0.099
Neoplasms,0.002,0.19,0.042
Neuropathy_and_other_nervous_system_disorders,0.362,0.166,-0.224
Hyperplasia_of_prostate,0.383,0.146,0.083
Osteoarthritis,0.446,0.131,0.035
Glaucoma,0.334,0.108,-0.013
Vision_defects,0.337,0.108,-0.102
Thyroid_disorders,0.251,0.104,0.092
Headache__including_migraine,0.433,0.102,-0.096
Anxiety_disorders,0.514,0.1,-0.276
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.381,0.074,0.102
Obstructive_Sleep_apnea,0.314,0.065,0.082
Depression_and_Mood_disorders,0.451,0.055,0.059
Inflammatory_conditions_of_male_genital_organs,0.316,0.042,-0.087
Disorders_of_lipid_metabolism,0.458,0.037,0.292
Psoriasis_and_other_inflammatory,0.275,0.036,0.18
Diverticulosis_and_diverticulitis,0.444,0.031,-0.197
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.428,0.026,0
Retinal_detachments__defects__vascular_occlusion__and_retinopathy,-0.019,0.017,0.997
Sexual_disorders,0.404,0,0.021
Hepatic_steatosis_and_other_liver_diseases,0.287,-0.004,0.073
Other_non-traumatic_joint_disorders,0.273,-0.011,0.276
Other_nutritional__endocrine__and_metabolic_disorders,0.364,-0.023,0.05
Conduction_disorders,0.258,-0.031,0.398
Allergic_rhinitis,0.467,-0.072,-0.207
Asthma,0.211,-0.098,0.201
Esophageal_disorders,0.512,-0.173,0.146
Myodesopsia_and_other_eye_disorders,0.336,-0.204,-0.129
Other_male_genital_disorders,0.553,-0.322,0.127
