"",ML4,ML5,ML2,ML3,ML1
Congestive_heart_failure__nonhypertensive,-0.14,0.759,0.121,0.004,-0.086
Coagulation_and_hemorrhagic_disorders,0.028,0.701,-0.004,0.052,0.058
Cardiac_dysrhythmias,0.095,0.634,-0.083,0.173,0.105
Chronic_ulcer_of_skin,-0.007,0.504,-0.037,-0.078,0.11
Urinary_incontinence,0.141,0.451,0.057,0.021,-0.01
Chronic_kidney_disease,0.183,0.399,0.14,-0.127,0.048
Acute_cerebrovascular_disease,-0.001,0.352,0.102,-0.15,0.065
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.256,0.34,-0.079,-0.102,0.22
Transient_cerebral_ischemia,0.153,0.33,0.11,0.068,-0.145
Ischemic_heart_disease,0.101,0.322,-0.075,0.06,0.237
Gout,0.264,0.312,0.072,-0.079,-0.246
Hypertension,0.361,0.286,0.252,0.133,0.148
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.376,0.252,-0.05,0.022,-0.101
Cataract,0.137,0.226,0.295,0.204,0.055
Diabetes,0.113,0.163,0.424,0.29,0.191
Obesity,0.308,0.152,0.127,0.007,0.132
Neoplasms,-0.06,0.149,0.064,0.047,0.176
Osteoarthritis,0.448,0.117,0.055,0.037,0.035
Neuropathy_and_other_nervous_system_disorders,0.392,0.114,-0.197,-0.096,0.202
Hyperplasia_of_prostate,0.333,0.106,0.114,0.081,0.102
Vision_defects,0.309,0.097,-0.085,0.118,-0.02
Thyroid_disorders,0.178,0.083,0.115,0.19,0.051
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.347,0.077,0.116,0.114,-0.074
Diverticulosis_and_diverticulitis,0.63,0.072,-0.219,-0.166,-0.262
Obstructive_Sleep_apnea,0.332,0.065,0.09,0.027,-0.062
Glaucoma,0.232,0.056,0.027,0.203,0.18
Anxiety_disorders,0.477,0.055,-0.24,0.116,0.125
Depression_and_Mood_disorders,0.425,0.049,0.077,0.17,-0.073
Headache__including_migraine,0.345,0.034,-0.05,0.16,0.215
Retinal_detachments__defects__vascular_occlusion__and_retinopathy,-0.047,0.028,0.997,-0.041,-0.047
Inflammatory_conditions_of_male_genital_organs,-0.02,0.027,-0.038,0.999,-0.059
Other_non-traumatic_joint_disorders,0.316,0.022,0.272,-0.059,-0.095
Peripheral_and_visceral_atherosclerosis,-0.035,0.016,-0.03,-0.06,0.998
Psoriasis_and_other_inflammatory,0.382,0.012,0.187,-0.273,0.07
Disorders_of_lipid_metabolism,0.463,0.007,0.316,-0.05,0.059
Hepatic_steatosis_and_other_liver_diseases,0.295,-0.021,0.087,-0.034,0.031
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.324,-0.038,0.047,0.159,0.225
Conduction_disorders,0.285,-0.043,0.408,-0.162,0.03
Other_nutritional__endocrine__and_metabolic_disorders,0.368,-0.048,0.068,0.013,0.023
Sexual_disorders,0.397,-0.056,0.055,-0.02,0.191
Allergic_rhinitis,0.402,-0.085,-0.181,0.195,0.012
Asthma,0.099,-0.143,0.236,0.12,0.193
Esophageal_disorders,0.465,-0.156,0.16,0.155,-0.137
Myodesopsia_and_other_eye_disorders,0.323,-0.228,-0.109,0.041,0.064
Other_male_genital_disorders,0.407,-0.369,0.175,0.273,0.108
