"",ML6,ML4,ML1,ML3,ML2,ML5
Congestive_heart_failure__nonhypertensive,-0.086,1.009,0.062,-0.02,-0.054,-0.004
Coagulation_and_hemorrhagic_disorders,0.147,0.517,-0.022,0.086,0.185,-0.002
Cardiac_dysrhythmias,0.247,0.468,-0.093,0.162,0.102,-0.033
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.338,0.32,-0.171,-0.074,0.13,0.18
Chronic_kidney_disease,0.333,0.304,0.132,-0.075,0.122,-0.273
Ischemic_heart_disease,0.341,0.295,-0.174,-0.169,0.189,0.017
Chronic_ulcer_of_skin,0.114,0.281,-0.057,0.032,0.264,-0.005
Urinary_incontinence,0.265,0.243,-0.006,-0.088,0.332,0.101
Gout,0.243,0.212,0.149,0.135,-0.093,-0.271
Osteoarthritis,0.344,0.195,0.052,0.23,-0.147,0.075
Cataract,0.204,0.185,0.306,0.199,-0.103,0.03
Hypertension,0.492,0.185,0.22,0.115,0.068,-0.007
Transient_cerebral_ischemia,0.147,0.154,0.067,0.017,0.403,0.091
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.237,0.118,-0.035,0.265,0.038,0.181
Obesity,0.392,0.107,0.114,0.068,-0.039,-0.044
Other_non-traumatic_joint_disorders,0.133,0.098,0.301,0.2,-0.17,0.068
Thyroid_disorders,0.266,0.08,0.12,0.072,-0.122,-0.065
Anxiety_disorders,0.334,0.074,-0.282,0.253,0.116,0.161
Depression_and_Mood_disorders,0.26,0.064,0.05,0.247,0.056,0.238
Neuropathy_and_other_nervous_system_disorders,0.455,0.063,-0.175,0.073,-0.183,-0.159
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.319,0.061,-0.012,0.108,-0.019,0.145
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.342,0.06,0.08,0.024,-0.068,0.224
Retinal_detachments__defects__vascular_occlusion__and_retinopathy,-0.012,0.055,0.969,-0.065,0.073,0.083
Neoplasms,0.178,0.052,0.012,-0.197,0.146,-0.055
Inflammatory_conditions_of_male_genital_organs,0.38,0.039,-0.109,-0.132,-0.133,0.085
Headache__including_migraine,0.386,0.032,-0.127,0.051,0.11,0.179
Asthma,-0.031,-0.001,0.078,-0.009,-0.027,0.992
Hyperplasia_of_prostate,0.372,-0.001,0.073,0.062,0.113,0.135
Diverticulosis_and_diverticulitis,-0.039,-0.005,-0.055,1.001,0.04,-0.012
Sexual_disorders,0.295,-0.012,0.048,0.228,0.035,-0.042
Peripheral_and_visceral_atherosclerosis,0.384,-0.021,-0.193,-0.297,0.147,0.165
Conduction_disorders,0.246,-0.025,0.408,0.07,-0.165,0.128
Diabetes,0.449,-0.028,0.387,-0.062,0.11,-0.082
Psoriasis_and_other_inflammatory,0.146,-0.029,0.212,0.279,0.042,0.08
Glaucoma,0.385,-0.032,-0.009,0.013,0.058,-0.003
Acute_cerebrovascular_disease,-0.044,-0.036,0.043,0.044,1,-0.039
Disorders_of_lipid_metabolism,0.493,-0.043,0.322,0.077,-0.045,-0.112
Obstructive_Sleep_apnea,0.279,-0.043,0.082,0.1,0.178,0.009
Allergic_rhinitis,0.363,-0.094,-0.215,0.09,-0.159,0.324
Vision_defects,0.421,-0.12,-0.109,-0.056,0.157,0.028
Esophageal_disorders,0.389,-0.158,0.17,0.103,-0.058,-0.011
Hepatic_steatosis_and_other_liver_diseases,0.341,-0.165,0.131,0.094,-0.062,-0.144
Other_nutritional__endocrine__and_metabolic_disorders,0.219,-0.204,0.089,0.295,0.161,0.088
Myodesopsia_and_other_eye_disorders,0.278,-0.239,-0.083,0.122,-0.138,-0.038
Other_male_genital_disorders,0.459,-0.272,0.139,0.016,-0.098,-0.01
