"",ML5,ML6,ML1,ML7,ML3,ML2,ML4
Urinary_incontinence,0.074,0.506,0.017,0.119,0.007,-0.081,0.297
Congestive_heart_failure__nonhypertensive,-0.107,0.492,0.451,-0.097,0.162,-0.066,-0.092
Chronic_ulcer_of_skin,-0.111,0.482,0.096,0.043,-0.039,0.044,0.226
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.169,0.408,0.046,0.201,-0.138,-0.082,0.112
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,-0.039,0.352,0.033,0.317,-0.021,0.266,0.018
Cataract,-0.053,0.335,0.132,0.192,0.307,0.203,-0.127
Chronic_kidney_disease,0.383,0.328,0.082,-0.283,0.097,-0.069,0.104
Cardiac_dysrhythmias,0.119,0.31,0.511,-0.051,-0.078,0.132,0.017
Transient_cerebral_ischemia,0.048,0.308,-0.03,0.096,0.084,0.023,0.39
Conduction_disorders,0.188,0.301,-0.218,0.036,0.391,0.093,-0.167
Hypertension,0.48,0.266,0.093,-0.041,0.192,0.11,0.038
Neuropathy_and_other_nervous_system_disorders,0.228,0.251,0.078,0.09,-0.219,0.085,-0.19
Ischemic_heart_disease,0.352,0.208,0.118,-0.007,-0.165,-0.187,0.172
Neoplasms,0.105,0.205,-0.048,0.006,-0.001,-0.185,0.144
Gout,0.305,0.193,0.147,-0.334,0.108,0.141,-0.122
Headache__including_migraine,0.287,0.164,-0.11,0.283,-0.125,0.045,0.127
Osteoarthritis,0.258,0.163,0.099,0.144,0.053,0.216,-0.153
Peripheral_and_visceral_atherosclerosis,0.252,0.136,0.109,0.155,-0.2,-0.302,0.103
Myodesopsia_and_other_eye_disorders,0.281,0.128,-0.339,-0.06,-0.135,0.155,-0.113
Glaucoma,0.208,0.127,0.054,0.184,-0.036,0.018,0.05
Hyperplasia_of_prostate,0.183,0.119,0.097,0.31,0.064,0.053,0.097
Other_non-traumatic_joint_disorders,0.107,0.116,0.031,0.041,0.3,0.196,-0.178
Depression_and_Mood_disorders,0.185,0.111,-0.054,0.279,0.068,0.234,0.066
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.153,0.109,-0.026,0.387,-0.007,0.095,0.006
Diabetes,0.41,0.103,0.07,-0.029,0.339,-0.054,0.089
Asthma,-0.192,0.054,-0.015,0.672,0.199,-0.047,-0.072
Anxiety_disorders,0.262,0.053,0.071,0.29,-0.279,0.224,0.116
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.194,0.023,0.143,0.371,0.09,-0.001,-0.077
Disorders_of_lipid_metabolism,0.5,0.021,-0.009,0.007,0.267,0.08,-0.034
Inflammatory_conditions_of_male_genital_organs,0.251,0.012,0.114,0.308,-0.121,-0.155,-0.13
Acute_cerebrovascular_disease,-0.007,0.002,0.036,-0.031,0.05,0.047,0.983
Obesity,0.483,-0.011,0.191,-0.092,0.082,0.047,-0.067
Diverticulosis_and_diverticulitis,-0.028,-0.013,0.008,-0.02,-0.058,1,0.042
Retinal_detachments__defects__vascular_occlusion__and_retinopathy,0.034,-0.028,0.023,0.04,0.982,-0.065,0.075
Coagulation_and_hemorrhagic_disorders,0.017,-0.033,0.988,0.035,0.012,0.016,0.055
Vision_defects,0.378,-0.056,0.151,0.113,-0.15,-0.071,0.127
Other_male_genital_disorders,0.54,-0.058,-0.403,0.166,0.077,0.026,-0.023
Thyroid_disorders,0.2,-0.078,0.229,0.122,0.102,0.052,-0.127
Psoriasis_and_other_inflammatory,0.214,-0.079,0.059,-0.007,0.205,0.269,0.029
Allergic_rhinitis,0.224,-0.111,0.162,0.404,-0.209,0.058,-0.182
Other_nutritional__endocrine__and_metabolic_disorders,0.174,-0.145,0.062,0.146,0.067,0.291,0.149
Hepatic_steatosis_and_other_liver_diseases,0.326,-0.152,0.171,-0.056,0.072,0.095,-0.085
Obstructive_Sleep_apnea,0.404,-0.152,0.063,-0.02,0.06,0.083,0.176
Sexual_disorders,0.35,-0.174,0.067,0.083,0.027,0.211,0.057
Esophageal_disorders,0.348,-0.261,0.129,0.287,0.127,0.077,-0.039
