"",ML9,ML10,ML7,ML5,ML6,ML3,ML2,ML4,ML1,ML8
Spondylosis__intervertebral_disc_disorders__other_back_problems,-0.145,0.52,0.102,0.25,0.08,0.162,-0.08,-0.001,0.005,0.022
Headache__including_migraine,0.145,0.461,0.021,-0.06,0.027,0.165,0.1,0.07,0.053,-0.247
Allergic_rhinitis,0.133,0.459,-0.205,-0.118,-0.086,0.029,0.069,-0.204,0.04,0.148
Esophageal_disorders,0.037,0.4,-0.122,0.275,0.025,-0.208,0.022,0.006,-0.152,0.383
Depression_and_Mood_disorders,0.123,0.395,0.081,0.036,0.036,-0.128,0.111,0.085,0.008,-0.105
Anxiety_disorders,-0.128,0.38,0.104,0.296,-0.072,0.104,0.039,0.146,-0.034,0.173
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.065,0.357,-0.012,0.008,0.245,-0.143,0.062,-0.007,0.1,0.021
Hyperplasia_of_prostate,0.024,0.357,-0.052,0.101,0.071,0.043,0.029,0.093,0.119,0.104
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.1,0.34,0.111,0.022,0.091,-0.096,0.265,-0.098,-0.174,0.147
Sexual_disorders,0.257,0.308,0.055,-0.123,-0.263,0.22,0.137,0.066,-0.112,-0.019
Glaucoma,0.096,0.298,-0.065,0.071,-0.072,0.146,-0.083,0.082,0.14,0.037
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.029,0.291,0.259,-0.014,0.243,0.187,0.069,0.038,0.042,-0.122
Osteoarthritis,0.148,0.287,0.139,0.084,0.09,0.007,0.085,-0.153,0.055,0.048
Thyroid_disorders,0.137,0.255,-0.061,0.066,0.047,0.011,-0.224,-0.097,0.166,0.21
Disorders_of_lipid_metabolism,0.468,0.226,-0.018,0.081,0.079,0.003,0.087,-0.04,-0.076,0.01
Cataract,0.051,0.22,0.082,0.092,0.174,-0.008,-0.034,-0.106,0.181,0.11
Hypertension,0.555,0.18,0.095,0.037,0.055,0.088,-0.002,0.057,0.162,-0.062
Urinary_incontinence,0.117,0.095,0.22,0.044,0.309,-0.086,0.122,0.294,-0.002,-0.071
Neoplasms,0.063,0.067,-0.017,-0.049,0.037,0.131,-0.035,0.11,0.242,-0.201
Gout,0.578,0.063,0.122,-0.163,-0.249,-0.202,-0.048,-0.014,0.138,-0.015
Psoriasis_and_other_inflammatory,0.367,0.049,-0.052,0.111,0.011,0.061,-0.058,0.042,-0.089,0.16
Other_male_genital_disorders,0.034,0.013,-0.015,0.97,-0.089,0.002,0.034,-0.022,0.064,-0.081
Peripheral_and_visceral_atherosclerosis,-0.012,0.012,-0.042,-0.002,0.012,0.998,-0.026,-0.013,0.025,0.022
Obstructive_Sleep_apnea,0.344,0.011,-0.032,0.146,0.033,-0.106,0.09,0.189,-0.053,0.089
Chronic_ulcer_of_skin,0.005,0.01,0.02,-0.095,0.965,0.017,-0.016,0.032,0.043,-0.014
Congestive_heart_failure__nonhypertensive,-0.009,0.004,0.937,-0.025,0.041,-0.058,-0.087,-0.048,0.096,0.082
Coagulation_and_hemorrhagic_disorders,0.04,0.003,0.202,-0.235,-0.012,0.087,0.084,0.114,0.225,0.727
Hepatic_steatosis_and_other_liver_diseases,0.297,-0.002,-0.296,0.067,0.025,0.008,-0.016,-0.083,0.165,0.226
Acute_cerebrovascular_disease,-0.004,-0.003,-0.045,-0.015,0.013,-0.015,-0.008,1,0.009,0.03
Cardiac_dysrhythmias,0.015,-0.006,0.064,0.076,0.054,0.03,0.082,0.024,0.914,0.061
Vision_defects,-0.043,-0.01,-0.063,0.013,-0.012,-0.024,0.996,-0.003,0.059,0.012
Chronic_kidney_disease,0.318,-0.024,0.302,0.077,-0.018,0.026,0.143,0.124,0.12,-0.095
Ischemic_heart_disease,0.194,-0.069,0.423,0.085,-0.019,0.269,0.216,0.135,-0.188,-0.015
Diabetes,0.587,-0.129,-0.07,0.194,0.204,0.091,-0.092,0.099,0.022,0.096
Obesity,0.436,-0.154,0.098,0.221,0.191,0.106,0.161,-0.106,-0.131,0.22
