"",ML10,ML5,ML7,ML6,ML8,ML2,ML9,ML4,ML1,ML3,ML11
Other_male_genital_disorders,-0.041,1.001,-0.096,-0.065,-0.013,0.007,-0.079,-0.019,0.059,0.037,0.024
Esophageal_disorders,0.125,0.297,0.05,0.057,-0.135,-0.187,0.429,0,-0.168,0.033,0.286
Anxiety_disorders,0.089,0.296,-0.066,0.015,0.079,0.117,0.188,0.135,-0.057,0.052,0.326
Obesity,0.169,0.274,0.242,0.131,0.095,0.101,0.235,-0.102,-0.107,0.133,-0.366
Diabetes,0.163,0.268,0.28,0.277,-0.08,0.108,0.123,0.11,0.029,-0.108,-0.288
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.067,0.248,0.099,0.087,0.062,0.199,0.045,-0.012,-0.042,-0.051,0.524
Obstructive_Sleep_apnea,0.257,0.191,0.073,0.091,-0.03,-0.126,0.111,0.189,-0.024,0.06,-0.205
Psoriasis_and_other_inflammatory,0.279,0.152,0.063,0.152,-0.063,0.048,0.181,0.04,-0.068,-0.086,-0.174
Disorders_of_lipid_metabolism,0.405,0.141,0.154,0.217,-0.033,-0.006,0.054,-0.043,-0.059,0.059,-0.047
Chronic_kidney_disease,0.088,0.126,0.035,0.281,0.276,0.053,-0.086,0.125,0.102,0.14,-0.083
Hypertension,0.311,0.123,0.144,0.35,0.073,0.106,-0.013,0.058,0.155,-0.014,-0.043
Hyperplasia_of_prostate,0.166,0.117,0.085,-0.003,-0.055,0.041,0.141,0.088,0.116,0.032,0.269
Ischemic_heart_disease,0.133,0.115,0.003,0.045,0.419,0.257,-0.012,0.136,-0.175,0.198,-0.152
Osteoarthritis,0.215,0.112,0.123,0.096,0.126,0.008,0.078,-0.158,0.054,0.079,0.146
Cataract,0.008,0.111,0.189,0.064,0.077,0.016,0.139,-0.104,0.161,-0.018,0.234
Hepatic_steatosis_and_other_liver_diseases,0.169,0.106,0.046,0.002,-0.272,-0.015,0.262,-0.076,0.194,-0.035,-0.136
Glaucoma,0.11,0.102,-0.047,0.096,-0.073,0.162,0.077,0.081,0.12,-0.069,0.271
Cardiac_dysrhythmias,0.006,0.074,0.041,0.029,0.067,0.018,0.046,0.023,0.917,0.072,-0.005
Thyroid_disorders,0.329,0.073,0.063,-0.017,-0.059,-0.03,0.228,-0.104,0.199,-0.254,0.028
Urinary_incontinence,-0.021,0.065,0.347,0.186,0.192,-0.042,-0.062,0.295,-0.033,0.136,0.101
Depression_and_Mood_disorders,0.481,0.05,0.052,-0.089,0.09,-0.189,-0.072,0.075,0.054,0.069,0.137
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.292,0.042,0.11,-0.048,0.117,-0.119,0.192,-0.103,-0.154,0.248,0.174
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.221,0.016,0.268,0.027,-0.019,-0.147,0.052,-0.013,0.102,0.055,0.237
Vision_defects,-0.005,0.011,-0.011,-0.007,-0.07,-0.017,0.013,-0.008,0.053,0.991,-0.01
Peripheral_and_visceral_atherosclerosis,0,0,0.013,-0.049,-0.049,0.996,0.02,-0.014,0.016,-0.017,0.028
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.067,-0.003,0.282,0.184,0.219,0.226,-0.112,0.031,0.003,0.085,0.26
Acute_cerebrovascular_disease,0.01,-0.012,0.01,-0.021,-0.044,-0.017,0.031,1.002,0.012,-0.01,0.012
Congestive_heart_failure__nonhypertensive,0.013,-0.02,0.031,0.014,0.938,-0.066,0.073,-0.047,0.099,-0.092,0.019
Headache__including_migraine,0.504,-0.044,0.064,0.022,0.007,0.12,-0.218,0.056,0.08,0.066,0.193
Neoplasms,0.104,-0.046,0.054,0.085,-0.031,0.128,-0.209,0.105,0.239,-0.042,0.019
Gout,-0.053,-0.079,-0.091,1.009,0.004,-0.052,-0.008,-0.02,0.017,-0.004,0.019
Allergic_rhinitis,0.327,-0.091,-0.049,0.081,-0.213,0.018,0.2,-0.214,0.044,0.062,0.252
Sexual_disorders,0.692,-0.108,-0.237,-0.085,0.065,0.119,0.007,0.052,-0.036,0.066,-0.066
Chronic_ulcer_of_skin,-0.06,-0.113,0.967,-0.103,0.025,0.028,-0.015,0.039,0.051,-0.016,-0.002
Coagulation_and_hemorrhagic_disorders,-0.052,-0.228,-0.016,0.034,0.21,0.094,0.747,0.117,0.222,0.09,-0.011
