"",ML11,ML6,ML9,ML8,ML7,ML12,ML3,ML2,ML4,ML1,ML5,ML10
Gout,-0.05,1.006,0.001,-0.093,-0.077,0.003,-0.05,0.02,-0.023,0.019,-0.006,-0.013
Hypertension,0.314,0.34,0.077,0.145,0.098,-0.047,0.112,0.11,0.057,0.18,-0.019,-0.029
Chronic_kidney_disease,0.1,0.289,0.252,0.026,0.172,0.098,0.031,-0.233,0.131,0.06,0.148,0.016
Diabetes,0.169,0.285,-0.09,0.281,0.27,-0.059,0.096,-0.044,0.121,0.018,-0.098,0.228
Disorders_of_lipid_metabolism,0.36,0.218,-0.035,0.135,0.148,0.125,-0.001,0.006,-0.035,-0.074,0.068,0.109
Urinary_incontinence,-0.041,0.185,0.185,0.32,0.077,0.208,-0.035,-0.058,0.3,-0.059,0.135,-0.06
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.02,0.168,0.237,0.266,-0.038,0.095,0.262,0.189,0.025,0.03,0.074,-0.241
Psoriasis_and_other_inflammatory,0.294,0.158,-0.075,0.054,0.173,0.063,0.026,-0.11,0.051,-0.094,-0.076,0.301
Obesity,0.261,0.129,0.094,0.271,0.258,-0.326,0.071,0.036,-0.096,-0.073,0.137,0.336
Obstructive_Sleep_apnea,0.268,0.089,-0.025,0.083,0.165,-0.151,-0.127,0.112,0.194,-0.001,0.063,0.136
Osteoarthritis,0.161,0.085,0.144,0.101,0.072,0.144,0.037,0.182,-0.157,0.07,0.074,-0.006
Glaucoma,0.032,0.084,-0.052,-0.079,0.056,0.247,0.201,0.199,0.081,0.13,-0.076,-0.052
Neoplasms,0.11,0.076,-0.029,0.071,-0.062,-0.149,0.135,0.094,0.095,0.273,-0.051,-0.264
Allergic_rhinitis,0.233,0.071,-0.19,-0.087,-0.124,0.298,0.053,0.181,-0.212,0.046,0.062,0.109
Spondylosis__intervertebral_disc_disorders__other_back_problems,-0.032,0.069,0.088,0.048,0.215,0.419,0.248,0.199,-0.014,-0.044,-0.06,-0.093
Cataract,-0.063,0.062,0.086,0.145,0.103,0.365,0.038,0.013,-0.097,0.135,-0.017,0.096
Ischemic_heart_disease,0.137,0.047,0.418,0.01,0.103,-0.101,0.258,0.005,0.141,-0.17,0.202,-0.008
Coagulation_and_hemorrhagic_disorders,-0.094,0.03,0.248,-0.038,-0.293,0.078,0.115,0.177,0.131,0.252,0.095,0.622
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.142,0.029,-0.027,0.208,0.042,0.531,-0.135,-0.116,-0.003,0.042,0.06,0.074
Cardiac_dysrhythmias,0.004,0.026,0.065,0.041,0.068,-0.005,0.012,-0.045,0.02,0.931,0.071,0.014
Esophageal_disorders,0.015,0.019,-0.046,0.024,0.072,-0.02,-0.076,0.973,-0.001,-0.035,0.003,0.016
Congestive_heart_failure__nonhypertensive,0.016,0.013,0.945,0.029,-0.019,0.004,-0.067,-0.052,-0.044,0.104,-0.092,0.039
Headache__including_migraine,0.455,0.01,0.009,0.049,-0.044,0.144,0.137,0.071,0.049,0.085,0.061,-0.258
Hepatic_steatosis_and_other_liver_diseases,0.153,0.009,-0.274,0.037,0.115,0.052,-0.026,-0.054,-0.067,0.181,-0.023,0.341
Anxiety_disorders,0.013,0.004,0.102,-0.104,0.268,0.286,0.15,0.147,0.138,-0.058,0.052,0.103
Hyperplasia_of_prostate,0.096,-0.008,-0.048,0.04,0.118,0.378,0.06,0.007,0.093,0.089,0.034,0.114
Vision_defects,-0.008,-0.01,-0.072,-0.016,0.009,-0.005,-0.017,-0.004,-0.008,0.053,0.995,-0.002
Thyroid_disorders,0.274,-0.021,-0.043,0.043,0.044,0.139,-0.014,0.12,-0.098,0.207,-0.252,0.201
Acute_cerebrovascular_disease,0.013,-0.024,-0.045,0.007,-0.012,-0.007,-0.016,0,1.004,0.012,-0.01,0.013
Peripheral_and_visceral_atherosclerosis,0.008,-0.05,-0.053,0.019,0.006,-0.007,0.99,-0.075,-0.014,0.015,-0.016,0.02
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.201,-0.053,0.137,0.067,0.01,0.304,-0.084,0.15,-0.095,-0.162,0.251,0.121
Other_male_genital_disorders,-0.041,-0.07,-0.014,-0.103,0.974,0.03,0.014,0.094,-0.017,0.059,0.036,-0.046
Sexual_disorders,0.67,-0.093,0.07,-0.237,-0.127,-0.009,0.124,0.093,0.053,-0.019,0.066,-0.008
Depression_and_Mood_disorders,0.426,-0.096,0.093,0.028,0.051,0.201,-0.174,0.049,0.075,0.047,0.069,-0.084
Chronic_ulcer_of_skin,-0.06,-0.106,0.027,0.957,-0.115,0.028,0.035,0.026,0.043,0.059,-0.02,-0.015
