"",ML13,ML7,ML3,ML12,ML2,ML14,ML4,ML6,ML8,ML9,ML5,ML10,ML1,ML11
Chronic_ulcer_of_skin,-0.06,0.979,-0.103,0.028,-0.103,0.013,-0.032,-0.022,0.047,0.025,-0.018,0.042,-0.006,0.007
Urinary_incontinence,0.02,0.341,0.175,0.151,0.069,0.1,0.085,-0.079,0.287,-0.07,0.13,-0.07,-0.06,0.007
Diabetes,0.154,0.281,0.245,-0.173,0.227,-0.148,0.15,0.155,0.077,-0.052,-0.134,0.015,0.112,0.274
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.147,0.263,0.03,-0.086,0.06,0.46,0.086,-0.055,-0.03,-0.128,0.054,-0.185,0.143,0.056
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,-0.045,0.251,0.158,0.328,-0.082,0.084,0.092,0.16,0.056,0.168,0.096,0.258,-0.271,-0.004
Obesity,0.391,0.251,0.122,0.075,0.258,-0.364,-0.054,0.077,-0.096,0.05,0.124,0.089,0.141,-0.038
Cataract,-0.099,0.18,0.033,0.079,0.088,0.226,0.332,0.073,-0.123,-0.039,-0.002,-0.046,0.158,0.064
Hypertension,0.259,0.152,0.349,0.164,0.103,-0.031,0.069,0.093,0.077,0.086,0.024,0.144,-0.036,-0.027
Disorders_of_lipid_metabolism,0.372,0.145,0.191,-0.102,0.121,0.071,0.146,0.042,-0.068,-0.005,0.047,-0.062,0.003,0.138
Cardiac_dysrhythmias,-0.142,0.117,0.088,0.306,0.171,0.079,0.055,0.078,0.071,-0.137,0.203,0.115,0.429,-0.089
Osteoarthritis,0.065,0.097,0.064,0.165,0.031,0.119,0.171,0.185,-0.16,0.159,0.078,-0.007,-0.039,0.124
Neoplasms,0.034,0.093,0.101,0.064,-0.026,-0.062,0.014,-0.11,0.118,0.058,0.005,0.19,-0.104,-0.023
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.241,0.088,-0.073,0.018,-0.002,0.216,0.118,-0.061,-0.135,0.149,0.212,-0.163,0.086,0.137
Hyperplasia_of_prostate,0.06,0.079,-0.009,-0.079,0.132,0.346,0.157,-0.015,0.071,-0.019,0.044,0.016,0.186,0.042
Psoriasis_and_other_inflammatory,0.383,0.07,0.157,-0.175,0.185,0.055,-0.029,-0.036,0.02,-0.097,-0.107,0.001,0.21,0.064
Thyroid_disorders,0.235,0.07,-0.013,0,0.065,0.158,0.073,0.127,-0.097,0.094,-0.226,-0.009,0.24,-0.005
Headache__including_migraine,0.337,0.058,0.032,0.085,-0.041,0.277,-0.008,0.021,0.076,0.057,0.097,0.177,-0.236,-0.016
Obstructive_Sleep_apnea,0.283,0.057,0.106,0.06,0.161,-0.129,-0.211,0.231,0.228,0.152,0.072,-0.052,-0.015,-0.104
Spondylosis__intervertebral_disc_disorders__other_back_problems,-0.041,0.052,0.091,0.14,0.207,0.492,-0.044,0.083,0.018,0.195,-0.048,0.265,-0.091,-0.144
Congestive_heart_failure__nonhypertensive,0.038,0.043,0.024,0.898,-0.012,-0.009,0.026,-0.078,-0.045,-0.078,-0.098,-0.09,0.141,0.141
Peripheral_and_visceral_atherosclerosis,0.036,0.028,-0.055,-0.082,0.012,-0.003,0.057,-0.026,-0.019,-0.091,-0.023,0.954,0.054,0.097
Chronic_kidney_disease,0.06,0.027,0.28,0.233,0.148,0.071,0.077,0.08,0.123,-0.245,0.144,-0.003,-0.008,0.131
Esophageal_disorders,0.004,0.024,0.018,-0.06,0.073,-0.007,0.059,-0.032,-0.011,0.963,-0.003,-0.084,0.055,0.039
Depression_and_Mood_disorders,0.283,0.021,-0.09,0.139,0.021,0.311,-0.006,0.19,0.09,0.049,0.08,-0.165,-0.14,0.07
Acute_cerebrovascular_disease,0.003,0.013,-0.025,-0.056,-0.015,0.002,0.027,-0.011,0.991,-0.009,-0.009,-0.022,0.037,0.044
Coagulation_and_hemorrhagic_disorders,0.003,0.001,0.046,0.222,-0.227,0.002,0.006,0.104,0.12,0.15,0.092,0.098,0.765,0.014
Ischemic_heart_disease,-0.022,-0.015,0.003,0.08,0.013,-0.004,-0.069,0.004,0.048,0.04,0.048,0.081,-0.03,0.947
Vision_defects,-0.001,-0.017,-0.01,-0.076,0.016,-0.019,0.001,-0.012,-0.008,-0.012,0.996,-0.024,0.022,0.036
Hepatic_steatosis_and_other_liver_diseases,-0.024,-0.035,-0.035,-0.051,0.001,0.002,0.01,1.009,-0.013,-0.035,-0.014,-0.024,0.027,0.004
Glaucoma,0,-0.047,-0.011,0.008,-0.005,-0.032,0.991,0.006,0.031,0.043,0.001,0.036,-0.023,-0.061
Anxiety_disorders,0.126,-0.07,0.029,0.027,0.306,0.315,-0.05,-0.197,0.125,0.14,0.039,0.141,0.179,-0.044
Allergic_rhinitis,0.145,-0.076,0.08,-0.189,-0.121,0.351,-0.019,0.147,-0.212,0.188,0.056,0.043,0.121,0.066
Gout,-0.042,-0.096,1.014,-0.01,-0.072,0.006,-0.005,-0.033,-0.023,0.015,-0.007,-0.045,0,0.008
Other_male_genital_disorders,-0.038,-0.106,-0.072,-0.005,0.948,0.02,0.024,0.027,-0.021,0.091,0.045,0.012,-0.092,0.034
Sexual_disorders,0.712,-0.224,-0.093,0.066,-0.123,0.039,0.041,-0.026,0.047,0.073,0.069,0.119,-0.045,0.053
