"",ML2,ML1
Congestive_heart_failure__nonhypertensive,-0.135,0.753
Coagulation_and_hemorrhagic_disorders,0.022,0.7
Cardiac_dysrhythmias,0.055,0.68
Chronic_ulcer_of_skin,-0.047,0.533
Urinary_incontinence,0.115,0.478
Chronic_kidney_disease,0.201,0.432
Hypertension,0.466,0.372
Acute_cerebrovascular_disease,0,0.366
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.222,0.364
Ischemic_heart_disease,0.206,0.334
Cataract,0.206,0.308
Gout,0.171,0.268
Diabetes,0.359,0.262
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.281,0.226
Neoplasms,0.028,0.192
Peripheral_and_visceral_atherosclerosis,0.146,0.192
Obesity,0.402,0.189
Hyperplasia_of_prostate,0.376,0.16
Osteoarthritis,0.407,0.148
Glaucoma,0.306,0.11
Thyroid_disorders,0.284,0.106
Vision_defects,0.33,0.072
Disorders_of_lipid_metabolism,0.542,0.067
Obstructive_Sleep_apnea,0.373,0.066
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.431,0.062
Depression_and_Mood_disorders,0.419,0.06
Headache__including_migraine,0.427,0.057
Anxiety_disorders,0.43,0.04
Psoriasis_and_other_inflammatory,0.368,0.032
Hepatic_steatosis_and_other_liver_diseases,0.281,0.023
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.43,0.007
Sexual_disorders,0.435,-0.025
Allergic_rhinitis,0.426,-0.126
Esophageal_disorders,0.545,-0.173
Other_male_genital_disorders,0.591,-0.322
