"",ML2,ML4,ML1,ML3
Spondylosis__intervertebral_disc_disorders__other_back_problems,-0.13,0.663,-0.042,0.074
Hyperplasia_of_prostate,0.012,0.468,0.102,0.093
Esophageal_disorders,0.126,0.457,0.128,-0.372
Anxiety_disorders,0.054,0.454,0.078,-0.029
Allergic_rhinitis,0.031,0.414,0.125,-0.318
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,-0.006,0.398,0.041,0.248
Glaucoma,-0.003,0.392,0.043,0.092
Cataract,-0.057,0.383,0.135,0.26
Headache__including_migraine,0.173,0.371,-0.128,0.111
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.148,0.365,0.096,-0.071
Osteoarthritis,0.174,0.353,0.081,-0.015
Depression_and_Mood_disorders,0.182,0.345,-0.065,0.054
Other_male_genital_disorders,0.372,0.335,-0.474,-0.09
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.081,0.301,0.044,0.323
Thyroid_disorders,0.1,0.241,0.185,-0.1
Disorders_of_lipid_metabolism,0.486,0.19,-0.059,-0.015
Sexual_disorders,0.335,0.158,0.04,-0.183
Cardiac_dysrhythmias,0.082,0.135,0.497,0.297
Hypertension,0.557,0.135,0.045,0.2
Vision_defects,0.252,0.133,0.144,-0.11
Peripheral_and_visceral_atherosclerosis,0.093,0.126,0.066,0.195
Urinary_incontinence,0.176,0.111,0.034,0.52
Hepatic_steatosis_and_other_liver_diseases,0.252,0.073,0.139,-0.171
Chronic_ulcer_of_skin,0.033,0.068,0.097,0.581
Neoplasms,0.066,0.039,-0.045,0.244
Coagulation_and_hemorrhagic_disorders,0.052,0.037,0.988,-0.036
Psoriasis_and_other_inflammatory,0.422,0.026,0.051,-0.135
Congestive_heart_failure__nonhypertensive,0.045,-0.011,0.442,0.407
Chronic_kidney_disease,0.395,-0.016,0.071,0.295
Ischemic_heart_disease,0.402,-0.051,0.072,0.2
Obstructive_Sleep_apnea,0.53,-0.055,0.033,-0.134
Diabetes,0.602,-0.07,-0.003,0.178
Gout,0.371,-0.078,0.128,0.029
Acute_cerebrovascular_disease,0.157,-0.079,0.179,0.306
Obesity,0.641,-0.088,0.104,-0.066
