"",ML7,ML5,ML6,ML4,ML3,ML1,ML2,ML8
Diabetes,-0.088,0.681,0.212,-0.078,0.077,0.021,-0.107,0.012
Hypertension,0.12,0.539,0.103,0.167,0.083,-0.016,0.01,0.094
Obesity,-0.017,0.539,-0.093,0.103,0.079,0.067,0.127,-0.09
Disorders_of_lipid_metabolism,0.242,0.442,0.061,0.009,-0.02,-0.059,0.047,-0.123
Gout,-0.021,0.44,-0.022,0.16,-0.264,0.09,-0.039,0.058
Obstructive_Sleep_apnea,0.045,0.432,0.068,-0.047,-0.115,0.04,0.088,-0.145
Psoriasis_and_other_inflammatory,0.136,0.406,-0.046,-0.053,0.036,0.09,-0.081,-0.19
Hepatic_steatosis_and_other_liver_diseases,0.041,0.403,-0.143,-0.245,-0.007,0.19,0.011,0.279
Chronic_kidney_disease,-0.093,0.342,0.085,0.323,0.026,-0.05,0.182,0.084
Other_male_genital_disorders,0.266,0.338,-0.116,-0.025,0.039,-0.494,0.18,0.148
Ischemic_heart_disease,-0.073,0.233,0.064,0.36,0.244,-0.053,0.193,-0.285
Thyroid_disorders,0.335,0.172,-0.023,-0.006,0.012,0.2,-0.228,-0.025
Osteoarthritis,0.335,0.168,-0.079,0.203,0.011,-0.012,0.081,0.116
Sexual_disorders,0.3,0.155,-0.044,0.05,0.169,0.034,0.089,-0.463
Esophageal_disorders,0.577,0.137,-0.07,-0.171,-0.211,0.167,0.02,-0.071
Depression_and_Mood_disorders,0.347,0.13,0.1,0.114,-0.112,-0.107,0.103,-0.056
Cardiac_dysrhythmias,-0.015,0.102,0.089,0.263,0.108,0.348,0.215,0.369
Glaucoma,0.287,0.097,0.086,-0.071,0.154,0.019,-0.031,0.304
Acute_cerebrovascular_disease,-0.139,0.081,0.543,-0.187,0.055,0.217,0.064,-0.111
Headache__including_migraine,0.341,0.071,0.111,0.094,0.191,-0.17,0.088,-0.109
Urinary_incontinence,0.016,0.067,0.709,0.113,-0.054,-0.051,0.09,0.009
Cataract,0.257,0.059,0.162,0.098,0.012,0.065,-0.018,0.357
Coagulation_and_hemorrhagic_disorders,0.078,0.058,0.021,0.147,0.061,0.891,0.084,0.033
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.408,0.043,0.097,0.072,-0.117,0.044,0.2,-0.135
Chronic_ulcer_of_skin,-0.044,0.039,0.553,0.089,0.127,0.056,-0.122,0.129
Hyperplasia_of_prostate,0.383,0.034,0.163,-0.054,0.072,0.081,0.056,0.171
Neoplasms,-0.018,0.033,0.184,0.045,0.163,-0.064,-0.013,0.029
Allergic_rhinitis,0.475,0.026,-0.112,-0.153,0.003,0.151,0.036,-0.041
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.211,0.006,0.204,0.296,0.23,-0.085,0.055,0.074
Peripheral_and_visceral_atherosclerosis,-0.003,0.005,-0.011,-0.051,1.001,0.042,-0.021,-0.009
Congestive_heart_failure__nonhypertensive,-0.009,-0.007,0.032,0.938,-0.063,0.147,-0.082,0.005
Vision_defects,-0.013,-0.038,0.011,-0.059,-0.02,0.035,1.005,0
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.372,-0.044,0.488,-0.036,-0.121,0.018,0.013,0.028
Anxiety_disorders,0.48,-0.057,0.087,0.037,0.124,0.048,0.077,-0.13
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.579,-0.091,-0.002,0.118,0.21,-0.108,-0.039,0.162
