"",ML8,ML6,ML1,ML3,ML4,ML5,ML2,ML7,ML9
Gout,-0.05,0.789,0.017,-0.135,-0.202,0.059,-0.127,0.031,0.014
Hypertension,0.149,0.565,0.016,0.087,0.144,0.073,0.135,0.015,0.003
Diabetes,0.033,0.41,0.076,0.216,0.268,-0.101,0.111,-0.207,0.079
Chronic_kidney_disease,0.006,0.377,0.005,0.133,-0.007,0.245,0.065,-0.006,0.245
Disorders_of_lipid_metabolism,0.357,0.333,-0.024,0.123,0.127,-0.064,-0.018,0.014,0.006
Glaucoma,-0.065,0.262,0.087,0.075,-0.043,-0.09,0.2,0.369,-0.015
Hepatic_steatosis_and_other_liver_diseases,-0.063,0.239,0.293,0.108,0.068,-0.282,0.026,-0.028,-0.189
Obesity,0.234,0.21,0.184,0.275,0.244,0.038,0.055,-0.405,-0.177
Cataract,-0.128,0.185,0.154,0.114,0.153,0.074,0.028,0.348,-0.031
Urinary_incontinence,0.043,0.184,-0.037,0.059,0.297,0.133,-0.062,0.132,0.47
Psoriasis_and_other_inflammatory,0.265,0.177,0.108,0.119,0.084,-0.076,0.032,-0.165,-0.09
Obstructive_Sleep_apnea,0.254,0.169,0.115,0.181,0.115,-0.069,-0.124,-0.223,0.046
Osteoarthritis,0.185,0.156,0.08,0.125,0.12,0.131,0,0.176,-0.203
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.132,0.131,-0.075,0.001,0.276,0.235,0.205,0.219,-0.016
Allergic_rhinitis,0.309,0.126,0.165,-0.078,-0.062,-0.203,0.002,0.278,-0.229
Cardiac_dysrhythmias,-0.231,0.113,0.497,0.181,0.073,0.231,0.112,0.112,0.154
Headache__including_migraine,0.425,0.109,-0.176,-0.025,0.097,0.04,0.162,0.208,0.026
Hyperplasia_of_prostate,0.097,0.091,0.172,0.125,0.094,-0.073,0.057,0.322,0.045
Neoplasms,0.03,0.088,-0.09,-0.038,0.072,0.046,0.169,0.035,0.14
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.192,0.064,0.047,0.033,0.223,-0.017,-0.149,0.337,0.203
Depression_and_Mood_disorders,0.386,0.044,-0.054,0.075,0.089,0.083,-0.145,0.17,0.049
Ischemic_heart_disease,0.286,0.042,-0.013,0.128,-0.008,0.334,0.224,-0.191,0.196
Congestive_heart_failure__nonhypertensive,0.019,0.032,0.129,-0.012,0.044,0.941,-0.06,0.003,-0.04
Coagulation_and_hemorrhagic_disorders,0.01,0.015,0.907,-0.177,-0.005,0.15,0.057,-0.013,0.044
Thyroid_disorders,0.174,0.012,0.216,0.07,0.096,0.016,-0.003,0.084,-0.169
Acute_cerebrovascular_disease,0.051,0.003,0.182,-0.052,0.14,-0.135,0.036,-0.052,0.613
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.399,0.001,0.12,0.076,0.074,0.033,-0.162,0.186,0.01
Sexual_disorders,0.73,-0.004,-0.014,-0.094,-0.192,0.05,0.138,-0.062,0.056
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.112,-0.006,-0.001,0.238,0.108,0.083,0.173,0.465,-0.163
Vision_defects,0.224,-0.018,0.289,0.197,-0.101,-0.195,-0.074,-0.007,0.338
Other_male_genital_disorders,-0.042,-0.023,-0.108,1.001,-0.093,-0.01,0.009,0.01,0.001
Esophageal_disorders,0.288,-0.027,0.307,0.284,0.063,-0.187,-0.26,0.176,-0.178
Peripheral_and_visceral_atherosclerosis,0.022,-0.032,0.042,0.003,0.011,-0.052,0.992,0.02,-0.009
Chronic_ulcer_of_skin,-0.063,-0.068,-0.005,-0.105,0.979,0.043,0.025,0.003,0.05
Anxiety_disorders,0.271,-0.133,0.167,0.307,-0.069,0.056,0.068,0.24,0.14
