"",ML9,ML3,ML10,ML6,ML8,ML2,ML5,ML1,ML7,ML4
Congestive_heart_failure__nonhypertensive,-0.016,1.004,-0.055,0.053,-0.017,0.008,-0.044,0.014,-0.088,0.049
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,-0.005,0.49,0.105,-0.042,-0.104,0.066,-0.053,0.129,-0.091,0.238
Ischemic_heart_disease,0.11,0.394,0.183,-0.236,-0.056,-0.005,0.32,0.038,0.28,0.002
Cardiac_dysrhythmias,-0.053,0.387,0.358,0.173,0.078,0.07,0.118,0.046,-0.054,0.068
Heart_valve_disorders,-0.072,0.33,0.132,0.351,-0.105,-0.04,0.132,-0.126,0.221,-0.222
Coagulation_and_hemorrhagic_disorders,-0.072,0.318,0.386,0.013,-0.049,0.065,0.032,0.003,0.025,0.227
Chronic_kidney_disease,0.084,0.302,0.172,0.252,0.467,-0.136,-0.114,-0.093,-0.024,-0.148
Hypertension,0.383,0.256,0.179,-0.025,0.402,0.184,0.15,0.073,-0.128,0.016
Glaucoma,0.1,0.235,0.073,-0.098,0.105,-0.06,0.255,-0.059,0.159,0.064
Headache__including_migraine,0.365,0.233,-0.048,-0.178,0.034,-0.191,0.106,0.238,0.14,-0.104
Peripheral_and_visceral_atherosclerosis,0.182,0.231,0.017,0.029,0.151,0.268,0.203,-0.192,0.07,0.028
Other_circulatory_disease,0.21,0.204,0.051,0.04,0.109,-0.012,0.206,-0.171,0.172,0.136
Chronic_ulcer_of_skin,0.025,0.201,0.126,0.377,0.089,-0.144,-0.022,-0.117,0.086,0.147
Diabetes,0.289,0.166,0.072,0.226,0.306,0.174,0.104,-0.118,-0.084,-0.077
Allergic_rhinitis,0.466,0.137,-0.035,0.023,-0.256,-0.001,-0.285,0.132,0.275,0.06
Cataract,0.044,0.118,0.257,0.18,0.2,-0.07,-0.085,-0.012,0.309,-0.213
Diverticulosis_and_diverticulitis,0.117,0.109,0.235,-0.027,-0.092,0.144,0.003,0.321,0.062,0.101
Hyperplasia_of_prostate,0.118,0.099,0.169,0.119,0.141,0.149,0.087,-0.023,0.001,0.096
Depression_and_Mood_disorders,0.39,0.099,-0.151,0.181,0.111,-0.167,0.1,0.228,0.21,-0.092
Neoplasms,0.009,0.079,-0.055,0.109,0.093,-0.143,0.007,-0.05,-0.001,0.227
Osteoporosis,-0.029,0.077,0.032,0.022,0.049,-0.082,0.048,0.016,0.09,0.961
Esophageal_disorders,0.066,0.07,-0.226,0.018,0.115,0.052,-0.069,0.179,0.121,0.015
Obesity,0.212,0.069,0.238,0.021,0.238,0.33,0.055,0.271,-0.18,-0.023
Urinary_incontinence,-0.008,0.053,-0.016,0.94,0.02,0.025,-0.02,0.15,0.047,0.004
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.049,0.035,0.151,0.404,0.048,-0.139,0.094,-0.024,-0.057,0.129
Osteoarthritis,0.285,0.025,0.338,0.086,0,-0.074,-0.007,0.151,0.194,0.036
Myodesopsia_and_other_eye_disorders,0.147,0.024,-0.044,0.093,0.14,-0.076,-0.173,-0.023,0.231,0.244
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.443,0.022,0.113,0.082,-0.074,-0.174,-0.13,0.032,0.241,0.135
Gout,-0.051,0.021,0.597,0.025,-0.045,0.108,-0.065,0.189,0.019,0.175
Hepatic_steatosis_and_other_liver_diseases,-0.04,0.02,-0.013,0.016,-0.081,0.957,-0.023,0.111,0.122,-0.088
Other_non-traumatic_joint_disorders,0.008,0.017,0.536,0.081,-0.187,-0.173,0.29,0.182,0.012,-0.094
Obstructive_Sleep_apnea,0.012,0.012,0.049,0.119,0.111,0.109,-0.021,0.907,0.015,0.034
Alcohol-related_disorders,0.13,0.011,0.105,-0.021,-0.013,0.441,0.061,-0.159,0.11,0.106
Anxiety_disorders,0.379,0.003,-0.05,0.056,-0.063,-0.119,0.031,0.256,0.16,-0.102
Sexual_disorders,0.326,0.003,-0.138,-0.108,0.186,-0.008,0.02,0.224,0.028,-0.064
Transient_cerebral_ischemia,0.186,-0.005,0.227,0.197,-0.086,-0.214,0.323,0.042,-0.063,-0.118
Disorders_of_lipid_metabolism,0.564,-0.018,0.132,0.013,0.098,0.029,0.143,0.06,-0.029,-0.02
Psoriasis_and_other_inflammatory,0.207,-0.023,0.478,-0.291,0.268,0.078,-0.279,-0.186,0.106,0.03
Other_male_genital_disorders,0.423,-0.03,-0.319,-0.189,0.028,0.149,-0.006,0.101,-0.058,0.32
Acute_cerebrovascular_disease,-0.011,-0.044,-0.024,-0.008,0.041,0.003,0.989,-0.02,0.04,0.049
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.304,-0.046,0.175,0.15,0.169,-0.116,-0.135,-0.147,0.045,0
Retinal_detachments__defects__vascular_occlusion__and_retinopathy,-0.064,-0.067,-0.063,-0.003,0.969,-0.076,0.052,0.109,0.074,0.077
Inflammatory_conditions_of_male_genital_organs,0.484,-0.089,0.02,0.023,-0.066,0.156,-0.224,-0.048,0.078,-0.079
Vision_defects,0.471,-0.099,0.118,0.154,-0.157,0.073,0.029,-0.007,-0.242,0.199
Neuropathy_and_other_nervous_system_disorders,-0.01,-0.124,-0.001,0.042,0.061,0.152,0.056,0.017,0.922,0.11
Thyroid_disorders,0.099,-0.131,0.362,0.116,-0.021,-0.097,-0.079,0.169,-0.169,0.231
Irritable_bowel_and_other_GI_disorders,0.245,-0.249,-0.088,0.427,-0.051,0.299,0.118,-0.197,-0.015,0.194
