"",ML13,ML10,ML11,ML6,ML1,ML5,ML12,ML7,ML9,ML2,ML4,ML8,ML3
Congestive_heart_failure__nonhypertensive,-0.081,0.92,0.104,-0.023,0.071,-0.115,0.013,-0.067,-0.047,-0.102,0.004,0.143,0.061
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,-0.004,0.531,0.11,-0.086,-0.038,-0.092,0.064,-0.053,0.129,0.109,-0.146,-0.101,0.24
Ischemic_heart_disease,0.14,0.448,0.051,-0.042,-0.248,0.28,-0.012,0.29,0.017,0.099,-0.088,0.041,0.006
Headache__including_migraine,0.394,0.317,-0.083,0.01,0.025,0.214,-0.145,0.102,-0.166,-0.092,0.186,-0.158,-0.179
Other_circulatory_disease,0.184,0.278,-0.087,0.075,-0.018,0.195,-0.057,0.216,0.066,0.081,-0.213,-0.073,0.158
Diabetes,0.162,0.262,-0.12,0.282,0.158,-0.091,0.086,0.134,0.252,0.142,-0.088,0.012,-0.044
Chronic_kidney_disease,0.176,0.252,0.08,0.446,0.166,-0.045,-0.166,-0.152,-0.101,0.032,-0.02,0.174,-0.145
Peripheral_and_visceral_atherosclerosis,0.001,0.251,0.087,0.146,-0.12,0.061,0.184,0.191,0.175,0.226,-0.155,-0.003,0.033
Glaucoma,-0.054,0.24,0.222,0.094,-0.124,0.166,-0.131,0.238,0.041,0.1,0.165,-0.054,-0.03
Hypertension,0.426,0.233,0.151,0.388,-0.027,-0.104,0.148,0.11,-0.035,0.084,0.199,0.052,-0.035
Depression_and_Mood_disorders,0.107,0.208,-0.075,0.133,0.267,0.244,-0.173,0.126,0.213,0.084,0.055,-0.073,-0.117
Allergic_rhinitis,0.332,0.172,-0.062,-0.246,0.075,0.321,0,-0.294,0.037,0.069,0.186,0.051,0.018
Chronic_ulcer_of_skin,-0.064,0.122,0.201,0.091,0.239,0.055,-0.204,-0.037,0.108,0.084,-0.002,0.193,0.15
Cardiac_dysrhythmias,-0.064,0.119,0.899,0.057,0.11,-0.043,0.065,0.085,0.102,-0.132,-0.015,-0.03,0.029
Coagulation_and_hemorrhagic_disorders,0.151,0.104,0.489,-0.042,-0.088,0.01,0.084,-0.039,-0.111,-0.05,0.014,0.231,0.237
Diverticulosis_and_diverticulitis,0.291,0.099,0.167,-0.036,-0.03,0.068,0.186,-0.051,-0.005,0.186,-0.001,0.093,0.095
Anxiety_disorders,0.239,0.098,0.005,-0.062,0.186,0.219,-0.096,0.066,0.176,0.006,-0.005,-0.195,-0.127
Heart_valve_disorders,0.025,0.094,0.008,-0.025,0.08,0.078,-0.047,0.04,0.028,0.044,0.011,0.937,-0.064
Cataract,0.057,0.093,0.274,0.196,0.096,0.307,-0.102,-0.117,0.022,0.118,-0.073,0.044,-0.242
Obesity,0.439,0.087,-0.063,0.236,0.132,-0.174,0.37,0.091,0.208,-0.138,-0.023,0.055,0.073
Hyperplasia_of_prostate,0.194,0.083,0.198,0.136,0.018,0.016,0.09,0.015,-0.192,0.296,0.148,0.035,-0.008
Osteoporosis,0.002,0.083,0.02,0.05,0.016,0.12,-0.1,0.047,-0.044,0.059,0.114,-0.078,0.908
Neoplasms,-0.051,0.079,0.229,0.044,0.138,0.067,-0.16,-0.007,-0.226,0.054,0.038,-0.328,0.098
Sexual_disorders,0.228,0.063,-0.294,0.183,0.106,0.05,0.043,0.1,0.262,-0.334,0.116,0.012,0.02
Obstructive_Sleep_apnea,0.234,0.061,0.031,0.185,0.462,0.071,0.303,-0.015,-0.028,-0.144,0.084,-0.104,0.06
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.331,0.055,0.103,-0.086,0.083,0.291,-0.214,-0.131,0.093,0.098,0.134,-0.048,0.067
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.171,0.046,0.244,0.117,0.075,0.105,-0.223,-0.131,0.072,0.27,-0.022,-0.332,-0.133
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.094,0.041,0.063,0.067,0.263,-0.072,-0.151,0.081,0.128,0.184,-0.332,0.085,0.201
Disorders_of_lipid_metabolism,0.522,0.027,-0.033,0.093,0.016,0.006,0,0.141,0.15,0.074,0.091,0.063,-0.014
Urinary_incontinence,-0.034,0.021,0.094,0.019,0.902,0.06,0.027,-0.027,-0.021,0.133,-0.094,0.109,0.018
Alcohol-related_disorders,0.123,0.016,0.158,-0.063,-0.068,0.159,0.383,0.055,-0.038,0.117,-0.023,-0.181,0.052
Osteoarthritis,0.376,0.011,0.179,-0.009,0.131,0.225,-0.061,0.01,0.19,-0.099,-0.016,0.037,0.07
Hepatic_steatosis_and_other_liver_diseases,-0.015,0.011,0.046,-0.083,0.035,0.135,0.946,-0.027,0.025,0.116,0.057,-0.028,-0.093
Vision_defects,0.318,0.001,0.11,-0.221,0.231,-0.148,-0.009,0.076,0.141,0.079,0.201,-0.324,0.095
Myodesopsia_and_other_eye_disorders,-0.059,-0.002,0.148,0.163,0.003,0.23,-0.14,-0.204,0.031,0.204,0.231,0.06,0.143
Esophageal_disorders,-0.013,-0.013,0.066,0.113,0.145,0.148,0.088,-0.082,-0.175,-0.14,0.364,0.02,-0.067
Gout,0.442,-0.025,0.203,-0.06,0.077,0.045,0.17,-0.088,-0.112,-0.117,-0.072,0.07,0.227
