"",ML18,ML13,ML17,ML15,ML12,ML1,ML11,ML16,ML8,ML9,ML3,ML6,ML10,ML14,ML2,ML7,ML5,ML4
Congestive_heart_failure__nonhypertensive,-0.059,0.89,0.027,0.001,-0.041,0.103,-0.125,0.074,0.001,-0.067,-0.119,-0.043,0.142,0.012,0.061,0.013,0.093,-0.049
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.031,0.491,0.066,0.054,-0.07,0.166,-0.106,-0.158,0.154,-0.122,0.155,-0.16,-0.099,-0.197,0.257,-0.028,0.04,0.11
Ischemic_heart_disease,0.165,0.4,0.004,0.116,-0.045,-0.022,0.265,-0.179,-0.06,0.26,0.013,0.108,0.031,-0.012,0.006,-0.139,0.226,-0.022
Headache__including_migraine,0.466,0.305,0.067,0.047,0.015,-0.12,0.153,0.033,0.026,0.104,-0.106,0.12,-0.148,0.187,-0.143,0.04,-0.058,-0.186
Other_circulatory_disease,0.213,0.297,0.067,0.066,0.056,-0.094,0.16,-0.009,-0.04,0.261,0.122,0.207,-0.085,-0.232,0.176,0.133,-0.132,0.077
Diabetes,0.001,0.274,0.201,-0.103,0.211,-0.031,-0.067,0.221,0.154,0.193,0.222,0.257,0.026,-0.029,-0.07,-0.072,-0.113,0.17
Glaucoma,-0.046,0.242,-0.228,0.225,0.109,0.103,0.087,-0.079,-0.005,0.242,0.054,0.064,-0.073,0.119,0.017,0.233,0.124,0.091
Chronic_kidney_disease,0.083,0.212,-0.058,0.058,0.428,0.015,-0.078,0.263,0.08,-0.161,-0.051,0.15,0.183,0.063,-0.144,-0.17,0.183,-0.163
Depression_and_Mood_disorders,0.182,0.196,-0.106,0.103,0.143,-0.109,0.186,0.26,0.163,0.101,0.077,-0.021,-0.068,0.03,-0.077,0.045,0.058,0.187
Hypertension,0.207,0.179,0.265,0.147,0.356,0.146,-0.099,-0.072,0.177,0.025,0.095,0.008,0.043,0.22,-0.031,-0.022,0.207,-0.097
Chronic_ulcer_of_skin,0.056,0.179,-0.069,-0.078,0.121,0.155,0.097,0.385,-0.275,0.063,0.005,0.202,0.188,0.118,0.129,-0.254,-0.203,0.106
Allergic_rhinitis,0.273,0.139,-0.018,0.058,-0.271,-0.067,0.253,0.066,0.152,-0.318,0.087,0.106,0.069,0.154,0.039,0.124,0.043,0.012
Cardiac_dysrhythmias,-0.037,0.125,-0.014,0.169,0.077,0.816,-0.041,0.121,-0.094,0.064,-0.173,0.016,-0.052,-0.008,0.021,0.05,0.09,0.115
Diverticulosis_and_diverticulitis,0.286,0.106,0.325,0.237,0.029,0.169,0.135,-0.203,-0.009,-0.155,0.221,-0.204,0.047,-0.008,0.091,-0.19,-0.135,-0.009
Hyperplasia_of_prostate,0.052,0.09,-0.03,0.249,0.137,0.121,0.008,0.038,0.002,-0.003,0.294,0.102,0.006,0.163,-0.007,0.06,0.016,-0.174
Heart_valve_disorders,0.016,0.089,-0.012,0.123,-0.036,0.011,0.079,0.075,0.043,0.014,0.049,-0.039,0.926,-0.003,-0.067,0.009,0.045,0.01
Coagulation_and_hemorrhagic_disorders,0.148,0.088,0.087,-0.084,-0.082,0.539,0.004,-0.057,-0.05,-0.013,-0.02,0.221,0.253,0.028,0.217,0.045,-0.042,-0.145
Cataract,0.182,0.084,-0.21,0.174,0.236,0.191,0.269,0.107,0.058,-0.162,0.056,0.002,0.031,-0.058,-0.229,-0.083,0.092,0.013
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.295,0.071,-0.099,0.134,0.225,0.158,0.067,0.041,-0.122,-0.163,0.193,-0.079,-0.34,-0.021,-0.079,-0.114,-0.066,0.111
Peripheral_and_visceral_atherosclerosis,-0.004,0.066,-0.002,-0.127,0.037,0.029,0.025,-0.019,-0.055,0.094,0.079,0.021,0.037,-0.074,0.009,0.031,0.945,0.083
Osteoporosis,-0.051,0.064,-0.031,-0.025,0.05,0.031,0.116,0.009,0.024,0.05,0.054,0.015,-0.069,0.104,0.926,-0.01,0.009,-0.044
Anxiety_disorders,0.325,0.062,-0.011,0.051,-0.101,0.005,0.107,0.146,0.205,0.051,0.063,0.109,-0.17,-0.096,-0.083,0.285,0.048,0.142
Obesity,0.083,0.059,0.815,-0.017,0.133,-0.025,-0.089,0.093,-0.034,0.088,-0.079,0.163,0.036,0.037,0.023,-0.028,0.06,0.126
Obstructive_Sleep_apnea,0.08,0.058,0.484,0.232,0.176,0.027,0.124,0.242,0.165,-0.117,-0.054,-0.293,-0.149,-0.003,0.06,0.143,-0.015,-0.024
Neoplasms,0.194,0.047,-0.239,-0.082,0.072,0.231,-0.009,0.1,-0.007,-0.025,0.037,-0.096,-0.292,-0.029,0.143,0.163,0.073,-0.2
Urinary_incontinence,-0.03,0.033,0.104,0.037,0.016,0.097,0.074,0.84,0.012,-0.044,0.16,-0.196,0.118,-0.129,0.023,0.099,-0.004,-0.019
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.105,0.025,-0.06,-0.026,0.044,0.134,-0.125,0.265,0.157,0.093,0.246,0.135,0.119,-0.354,0.217,0.014,-0.058,0.071
Osteoarthritis,0.341,0.02,0.18,0.176,0.023,0.09,0.228,0.119,-0.109,-0.021,-0.151,0.048,0.011,0.011,0.084,-0.051,0.016,0.189
Other_non-traumatic_joint_disorders,-0.034,0.019,-0.062,0.927,-0.048,0.087,-0.044,0.003,0.008,0.158,0.077,0.072,0.124,-0.035,-0.045,0.02,-0.165,0.034
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.448,0.014,-0.077,-0.058,-0.077,0.129,0.192,0.062,0.121,-0.155,0.098,0.086,0.001,0.089,0.12,0.073,0.023,0.05
Sexual_disorders,0.022,0.008,-0.043,-0.013,0.092,-0.075,0,0.002,0.976,0.018,-0.114,0.001,0.058,0.034,0.024,0,-0.063,0.084
Hepatic_steatosis_and_other_liver_diseases,-0.283,0.006,0.55,-0.132,-0.21,0.193,0.314,-0.046,0.061,-0.055,0.272,-0.025,-0.054,0.096,-0.215,0.059,0.057,-0.017
