"",ML1,ML2
Hypertension,0.336,0.556
Disorders_of_lipid_metabolism,0.118,0.546
Other_male_genital_disorders,-0.373,0.541
Obesity,0.149,0.497
Allergic_rhinitis,-0.07,0.49
Obstructive_Sleep_apnea,0.169,0.478
Neuropathy_and_other_nervous_system_disorders,-0.096,0.465
Hepatic_steatosis_and_other_liver_diseases,-0.274,0.443
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.118,0.436
Sexual_disorders,-0.14,0.426
Inflammatory_conditions_of_male_genital_organs,-0.149,0.418
Alcohol-related_disorders,-0.162,0.406
Depression_and_Mood_disorders,0.188,0.397
Anxiety_disorders,0.019,0.378
Osteoarthritis,0.336,0.369
Vision_defects,0.032,0.336
Headache__including_migraine,0.161,0.331
Psoriasis_and_other_inflammatory,0.03,0.326
Diabetes,0.286,0.321
Diverticulosis_and_diverticulitis,0.238,0.309
Myodesopsia_and_other_eye_disorders,0.015,0.304
Osteoporosis,0.144,0.304
Retinal_detachments__defects__vascular_occlusion__and_retinopathy,0.15,0.297
Peripheral_and_visceral_atherosclerosis,0.161,0.295
Irritable_bowel_and_other_GI_disorders,-0.082,0.282
Esophageal_disorders,-0.139,0.279
Hyperplasia_of_prostate,0.252,0.257
Gout,0.309,0.244
Other_circulatory_disease,0.267,0.239
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.187,0.224
Glaucoma,0.272,0.167
Ischemic_heart_disease,0.391,0.161
Thyroid_disorders,0.221,0.144
Urinary_incontinence,0.47,0.13
Chronic_kidney_disease,0.485,0.118
Cataract,0.433,0.102
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.4,0.095
Cardiac_dysrhythmias,0.698,0.045
Coagulation_and_hemorrhagic_disorders,0.551,0.034
Neoplasms,0.175,0.007
Acute_cerebrovascular_disease,0.263,0
Congestive_heart_failure__nonhypertensive,0.665,-0.002
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.455,-0.017
Other_non-traumatic_joint_disorders,0.501,-0.019
Chronic_ulcer_of_skin,0.531,-0.042
Transient_cerebral_ischemia,0.512,-0.088
Heart_valve_disorders,0.51,-0.124
