"",ML3,ML4,ML1,ML2
Cardiac_dysrhythmias,-0.018,0.73,0.125,0.039
Congestive_heart_failure__nonhypertensive,-0.019,0.699,0.069,-0.041
Coagulation_and_hemorrhagic_disorders,-0.027,0.664,-0.046,0.065
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.043,0.48,-0.039,0.069
Ischemic_heart_disease,0.195,0.475,-0.198,0.035
Other_non-traumatic_joint_disorders,0.027,0.416,0.112,-0.122
Gout,0.13,0.41,0.025,0.143
Hypertension,0.554,0.365,-0.044,0.09
Heart_valve_disorders,-0.147,0.341,0.348,-0.028
Transient_cerebral_ischemia,0.029,0.333,0.175,-0.205
Chronic_kidney_disease,0.239,0.318,0.22,-0.239
Glaucoma,0.242,0.3,-0.109,-0.084
Cataract,0.165,0.283,0.175,-0.042
Chronic_ulcer_of_skin,0.055,0.276,0.341,-0.178
Obesity,0.328,0.253,0.048,0.303
Peripheral_and_visceral_atherosclerosis,0.204,0.25,-0.028,0.196
Diverticulosis_and_diverticulitis,0.226,0.245,0.037,0.222
Osteoarthritis,0.408,0.23,0.106,-0.014
Psoriasis_and_other_inflammatory,0.364,0.218,-0.379,0.037
Hyperplasia_of_prostate,0.232,0.212,0.089,0.103
Diabetes,0.313,0.195,0.176,0.072
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.068,0.188,0.377,-0.177
Acute_cerebrovascular_disease,0.078,0.187,0.018,-0.058
Other_circulatory_disease,0.333,0.18,0.012,-0.061
Thyroid_disorders,0.179,0.136,0.111,-0.092
Osteoporosis,0.344,0.121,0.01,-0.113
Obstructive_Sleep_apnea,0.323,0.079,0.352,0.263
Headache__including_migraine,0.492,0.079,-0.088,-0.137
Neoplasms,0.102,0.077,0.083,-0.178
Disorders_of_lipid_metabolism,0.582,0.069,0.003,0.012
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.327,0.066,0.081,-0.154
Alcohol-related_disorders,0.183,0.039,-0.072,0.412
Urinary_incontinence,0.015,0.038,0.98,0.035
Hepatic_steatosis_and_other_liver_diseases,-0.047,0.022,0.026,1.003
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.508,0.006,0.088,-0.112
Retinal_detachments__defects__vascular_occlusion__and_retinopathy,0.469,0.006,0.032,-0.198
Vision_defects,0.301,-0.003,0.104,0.049
Myodesopsia_and_other_eye_disorders,0.313,-0.042,0.092,-0.062
Depression_and_Mood_disorders,0.499,-0.068,0.277,-0.113
Allergic_rhinitis,0.415,-0.079,0.074,0.123
Anxiety_disorders,0.419,-0.102,0.145,-0.032
Inflammatory_conditions_of_male_genital_organs,0.323,-0.112,-0.012,0.196
Esophageal_disorders,0.227,-0.136,0.084,0.084
Neuropathy_and_other_nervous_system_disorders,0.374,-0.148,0.125,0.295
Sexual_disorders,0.45,-0.157,-0.029,0.01
Irritable_bowel_and_other_GI_disorders,0.166,-0.252,0.361,0.247
Other_male_genital_disorders,0.479,-0.264,-0.169,0.147
