"",ML4,ML5,ML2,ML3,ML1
Allergic_rhinitis,0.084,0.571,0.044,0.058,-0.261
Neuropathy_and_other_nervous_system_disorders,-0.115,0.549,0.117,-0.108,0.191
Other_male_genital_disorders,-0.176,0.509,-0.193,0.069,0.058
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.222,0.451,0.044,0.007,-0.043
Depression_and_Mood_disorders,0.129,0.426,0.237,-0.13,0.193
Irritable_bowel_and_other_GI_disorders,-0.205,0.385,0.355,-0.072,-0.061
Inflammatory_conditions_of_male_genital_organs,-0.062,0.385,-0.03,0.219,-0.162
Alcohol-related_disorders,-0.031,0.358,-0.055,0.145,-0.079
Vision_defects,0.127,0.338,0.085,0.061,-0.183
Anxiety_disorders,0.055,0.326,0.118,0.054,-0.016
Myodesopsia_and_other_eye_disorders,0.03,0.325,0.067,-0.096,0.181
Hepatic_steatosis_and_other_liver_diseases,-0.255,0.319,0.092,0.386,-0.233
Disorders_of_lipid_metabolism,0.183,0.316,-0.028,0.328,0.059
Osteoporosis,0.189,0.307,-0.015,-0.065,0.207
Osteoarthritis,0.35,0.292,0.08,0.135,0.008
Sexual_disorders,-0.063,0.291,-0.05,0.062,0.209
Hyperplasia_of_prostate,0.271,0.283,0.089,-0.14,0.136
Hypertension,0.384,0.247,-0.057,0.284,0.328
Headache__including_migraine,0.276,0.243,-0.126,0.099,0.082
Diverticulosis_and_diverticulitis,0.252,0.237,0.038,0.201,-0.092
Esophageal_disorders,-0.114,0.227,0.078,-0.02,0.14
Obstructive_Sleep_apnea,-0.007,0.225,0.349,0.347,0.161
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.211,0.224,0.053,-0.093,0.135
Glaucoma,0.404,0.205,-0.118,-0.195,0.171
Other_circulatory_disease,0.278,0.192,-0.015,0.07,0.133
Psoriasis_and_other_inflammatory,0.231,0.175,-0.393,0.234,0.15
Peripheral_and_visceral_atherosclerosis,0.201,0.173,-0.019,0.139,0.102
Ischemic_heart_disease,0.523,0.156,-0.2,0.035,0.007
Cataract,0.364,0.141,0.167,-0.185,0.191
Gout,0.363,0.084,0.035,0.24,-0.083
Neoplasms,0.175,0.083,0.07,-0.25,0.156
Diabetes,0.197,0.082,0.171,0.212,0.218
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.48,0.055,-0.033,0.103,-0.126
Other_non-traumatic_joint_disorders,0.503,0.053,0.105,-0.084,-0.132
Urinary_incontinence,0.03,0.028,0.973,0.059,0.012
Thyroid_disorders,0.171,0.024,0.091,0.226,-0.035
Retinal_detachments__defects__vascular_occlusion__and_retinopathy,-0.064,-0.014,0.002,0.063,0.999
Coagulation_and_hemorrhagic_disorders,0.6,-0.018,-0.031,0.117,-0.074
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.249,-0.024,0.358,-0.022,0.069
Cardiac_dysrhythmias,0.668,-0.029,0.145,0.016,0.045
Chronic_ulcer_of_skin,0.344,-0.034,0.327,-0.094,0.109
Acute_cerebrovascular_disease,0.178,-0.036,0.016,-0.009,0.207
Obesity,0.033,-0.042,0.037,0.979,0.072
Transient_cerebral_ischemia,0.408,-0.088,0.161,0.022,-0.052
Chronic_kidney_disease,0.368,-0.107,0.201,0.028,0.393
Congestive_heart_failure__nonhypertensive,0.708,-0.11,0.079,0.07,-0.072
Heart_valve_disorders,0.329,-0.143,0.354,0.04,-0.124
