"",ML5,ML6,ML4,ML1,ML2,ML3
Allergic_rhinitis,0,0.644,0.054,-0.201,0.057,-0.233
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.056,0.607,0.069,-0.038,-0.144,-0.077
Depression_and_Mood_disorders,-0.077,0.482,0.25,0.151,-0.104,0.114
Disorders_of_lipid_metabolism,0.134,0.475,-0.018,0.086,0.028,0.139
Other_male_genital_disorders,-0.225,0.435,-0.196,0.087,0.148,0.029
Osteoarthritis,0.253,0.426,0.099,0.028,-0.021,0.018
Inflammatory_conditions_of_male_genital_organs,-0.051,0.426,-0.023,-0.074,0.16,-0.212
Anxiety_disorders,-0.043,0.422,0.124,-0.019,-0.041,0.038
Headache__including_migraine,0.146,0.41,-0.106,0.068,-0.126,0.105
Vision_defects,0.045,0.406,0.09,-0.176,0.015,0.036
Neuropathy_and_other_nervous_system_disorders,-0.241,0.357,0.102,0.193,0.311,0.176
Osteoporosis,0.052,0.314,0,0.17,-0.098,0.165
Sexual_disorders,-0.089,0.302,-0.056,0.222,0.04,0.011
Other_circulatory_disease,0.136,0.297,-0.001,0.101,-0.046,0.247
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.106,0.285,0.076,0.137,-0.147,-0.125
Myodesopsia_and_other_eye_disorders,-0.032,0.27,0.082,0.194,-0.051,-0.119
Hypertension,0.414,0.269,-0.055,0.376,0.158,0.122
Psoriasis_and_other_inflammatory,0.283,0.269,-0.379,0.24,0.051,-0.259
Diverticulosis_and_diverticulitis,0.261,0.25,0.038,-0.036,0.213,0.013
Irritable_bowel_and_other_GI_disorders,-0.295,0.241,0.341,-0.067,0.235,0.158
Ischemic_heart_disease,0.419,0.192,-0.198,-0.033,0.041,0.344
Thyroid_disorders,0.172,0.188,0.112,-0.002,-0.099,-0.074
Obstructive_Sleep_apnea,0.107,0.186,0.341,0.255,0.3,-0.046
Hyperplasia_of_prostate,0.185,0.176,0.086,0.127,0.122,0.098
Alcohol-related_disorders,0.037,0.176,-0.08,-0.022,0.411,0.095
Esophageal_disorders,-0.118,0.151,0.072,0.163,0.102,-0.057
Glaucoma,0.254,0.145,-0.109,0.106,-0.058,0.274
Other_non-traumatic_joint_disorders,0.372,0.129,0.118,-0.2,-0.142,0.278
Obesity,0.315,0.125,0.041,0.24,0.35,0.016
Transient_cerebral_ischemia,0.249,0.123,0.18,-0.126,-0.218,0.299
Diabetes,0.235,0.109,0.168,0.251,0.122,0.079
Cataract,0.264,0.108,0.184,0.191,-0.022,-0.082
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.135,0.107,0.377,0.03,-0.175,0.102
Neoplasms,0.036,0.096,0.083,0.103,-0.171,0.032
Gout,0.467,0.094,0.036,-0.017,0.147,-0.054
Peripheral_and_visceral_atherosclerosis,0.226,0.092,-0.031,0.119,0.227,0.211
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.501,0.089,-0.022,-0.088,0.055,-0.048
Chronic_ulcer_of_skin,0.241,0.075,0.346,0.08,-0.172,0.001
Urinary_incontinence,0.042,0.027,0.976,0.029,0.045,-0.022
Coagulation_and_hemorrhagic_disorders,0.608,0.027,-0.018,-0.049,0.057,0.047
Chronic_kidney_disease,0.404,-0.024,0.219,0.41,-0.172,-0.15
Cardiac_dysrhythmias,0.665,-0.035,0.153,0.049,0.054,0.1
Congestive_heart_failure__nonhypertensive,0.763,-0.043,0.092,-0.046,-0.037,-0.067
Retinal_detachments__defects__vascular_occlusion__and_retinopathy,-0.058,-0.049,0.012,1.004,-0.05,0.042
Acute_cerebrovascular_disease,-0.015,-0.052,0,0.035,-0.004,0.994
Hepatic_steatosis_and_other_liver_diseases,0.025,-0.062,0.029,-0.059,1.004,-0.022
Heart_valve_disorders,0.321,-0.077,0.358,-0.145,-0.037,0.128
