"",ML6,ML7,ML3,ML2,ML5,ML4,ML1
Allergic_rhinitis,-0.026,0.596,0.055,-0.282,0.025,0.02,0.196
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.075,0.545,0.053,-0.09,-0.195,0.076,0.204
Disorders_of_lipid_metabolism,0.131,0.514,-0.021,0.113,0.011,0.112,-0.04
Headache__including_migraine,0.112,0.46,-0.058,0.064,-0.126,-0.133,0.076
Anxiety_disorders,-0.064,0.443,0.137,-0.04,-0.065,-0.006,0.116
Other_male_genital_disorders,-0.202,0.433,-0.218,0.095,0.135,0.137,-0.019
Sexual_disorders,-0.206,0.43,0.028,0.205,0.076,-0.253,0.018
Vision_defects,0.058,0.41,0.085,-0.139,0.04,0.13,-0.189
Inflammatory_conditions_of_male_genital_organs,-0.058,0.395,-0.055,-0.116,0.141,0.147,0.024
Osteoarthritis,0.27,0.388,0.125,-0.008,-0.043,-0.091,0.188
Depression_and_Mood_disorders,-0.003,0.377,0.234,0.148,-0.143,0.099,0.156
Hypertension,0.372,0.361,-0.045,0.42,0.166,0.074,-0.159
Obesity,0.165,0.314,0.097,0.26,0.387,-0.081,-0.18
Obstructive_Sleep_apnea,-0.013,0.3,0.401,0.227,0.318,-0.149,0.022
Psoriasis_and_other_inflammatory,0.207,0.28,-0.358,0.183,0.051,-0.074,0.065
Diverticulosis_and_diverticulitis,0.273,0.247,0.006,-0.042,0.173,0.157,0.039
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.131,0.231,0.025,0.12,-0.178,0.202,0.001
Thyroid_disorders,0.131,0.229,0.108,0.003,-0.087,0.076,-0.128
Other_circulatory_disease,0.25,0.183,-0.027,0.123,-0.101,0.113,0.172
Esophageal_disorders,-0.169,0.175,0.121,0.126,0.115,-0.179,0.11
Gout,0.383,0.172,0.078,-0.047,0.146,-0.132,0.052
Osteoporosis,0.205,0.151,-0.061,0.168,-0.178,0.19,0.251
Diabetes,0.209,0.15,0.143,0.289,0.107,0.19,-0.123
Myodesopsia_and_other_eye_disorders,0.041,0.145,0.017,0.143,-0.121,0.187,0.224
Alcohol-related_disorders,0.091,0.126,-0.101,-0.025,0.37,0.089,0.134
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.475,0.112,-0.035,-0.073,0.056,0.112,-0.137
Chronic_kidney_disease,0.257,0.087,0.249,0.398,-0.153,-0.045,-0.118
Hyperplasia_of_prostate,0.268,0.085,0.032,0.157,0.083,0.251,-0.008
Transient_cerebral_ischemia,0.343,0.077,0.206,-0.071,-0.201,-0.066,-0.028
Other_non-traumatic_joint_disorders,0.46,0.07,0.103,-0.149,-0.169,0.101,0.01
Congestive_heart_failure__nonhypertensive,0.655,0.069,0.153,-0.033,0.019,-0.152,-0.211
Neuropathy_and_other_nervous_system_disorders,-0.012,0.052,0.049,0.071,0.128,-0.017,0.953
Ischemic_heart_disease,0.595,0.049,-0.237,-0.006,-0.038,0.111,0.249
Neoplasms,0.08,0.038,0.08,0.107,-0.172,0.006,0.029
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.205,0.023,0.334,0.063,-0.198,0.21,-0.042
Glaucoma,0.401,0.016,-0.145,0.139,-0.112,0.115,0.155
Irritable_bowel_and_other_GI_disorders,-0.077,0.012,0.103,-0.002,0.081,0.967,-0.014
Urinary_incontinence,0.018,0.009,0.961,0.013,0.02,0.112,0.046
Peripheral_and_visceral_atherosclerosis,0.338,0.002,-0.091,0.157,0.17,0.244,0.058
Cataract,0.323,-0.01,0.16,0.142,-0.069,0.025,0.232
Coagulation_and_hemorrhagic_disorders,0.64,-0.015,0.004,-0.05,0.057,-0.084,0.051
Chronic_ulcer_of_skin,0.298,-0.02,0.319,0.071,-0.202,0.094,0.083
Cardiac_dysrhythmias,0.692,-0.051,0.211,0.067,0.094,-0.201,-0.037
Hepatic_steatosis_and_other_liver_diseases,0.02,-0.059,0.009,-0.084,0.965,0.091,0.121
Retinal_detachments__defects__vascular_occlusion__and_retinopathy,-0.066,-0.067,0.008,1.005,-0.069,-0.003,0.092
Heart_valve_disorders,0.356,-0.12,0.344,-0.147,-0.085,0.045,0.146
Acute_cerebrovascular_disease,0.304,-0.223,-0.044,0.195,-0.084,0.176,0.184
