"",ML7,ML8,ML6,ML5,ML2,ML3,ML4,ML1
Allergic_rhinitis,-0.02,0.569,0.047,-0.227,0.058,-0.252,0.109,0.122
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.036,0.543,0.087,-0.053,-0.116,-0.101,0.172,0.017
Disorders_of_lipid_metabolism,0.082,0.529,-0.016,0.089,0.037,0.147,-0.028,0.053
Inflammatory_conditions_of_male_genital_organs,-0.087,0.494,0.008,-0.056,0.187,-0.209,-0.069,-0.062
Depression_and_Mood_disorders,-0.134,0.482,0.208,0.13,-0.125,0.128,-0.058,0.213
Anxiety_disorders,-0.1,0.437,0.069,-0.048,-0.081,0.055,-0.075,0.245
Headache__including_migraine,0.087,0.43,-0.156,0.047,-0.166,0.128,-0.079,0.235
Osteoarthritis,0.217,0.401,0.085,0.012,-0.029,0.017,0.062,0.139
Vision_defects,0.029,0.368,0.105,-0.19,0.037,0.011,0.162,-0.008
Psoriasis_and_other_inflammatory,0.273,0.333,-0.309,0.274,0.104,-0.263,0.039,-0.192
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.087,0.325,0.133,0.17,-0.095,-0.128,0.003,-0.156
Sexual_disorders,-0.137,0.318,-0.107,0.191,0.002,0.028,-0.057,0.219
Hypertension,0.355,0.315,-0.048,0.381,0.159,0.137,-0.007,0.08
Other_circulatory_disease,0.122,0.291,0.058,0.118,0.015,0.224,0.159,-0.173
Other_male_genital_disorders,-0.239,0.291,-0.207,0.027,0.15,-0.013,0.316,0.101
Neuropathy_and_other_nervous_system_disorders,-0.232,0.247,0.117,0.165,0.346,0.136,0.245,-0.009
Diabetes,0.195,0.233,0.211,0.291,0.159,0.094,-0.094,-0.117
Ischemic_heart_disease,0.376,0.228,-0.196,-0.034,0.038,0.349,0.043,0.046
Irritable_bowel_and_other_GI_disorders,-0.287,0.208,0.402,-0.059,0.307,0.116,0.186,-0.211
Cataract,0.238,0.194,0.205,0.23,-0.007,-0.055,-0.172,-0.024
Diverticulosis_and_diverticulitis,0.221,0.19,-0.027,-0.094,0.152,0.012,0.11,0.319
Transient_cerebral_ischemia,0.219,0.183,0.175,-0.103,-0.219,0.322,-0.137,0.034
Myodesopsia_and_other_eye_disorders,-0.03,0.176,0.106,0.167,-0.022,-0.157,0.281,-0.03
Other_non-traumatic_joint_disorders,0.342,0.155,0.077,-0.203,-0.178,0.301,-0.096,0.179
Glaucoma,0.235,0.155,-0.083,0.116,-0.032,0.269,0.081,-0.06
Peripheral_and_visceral_atherosclerosis,0.212,0.153,0.032,0.155,0.281,0.204,0.032,-0.19
Hyperplasia_of_prostate,0.176,0.152,0.111,0.132,0.146,0.086,0.092,-0.026
Alcohol-related_disorders,0.047,0.152,-0.023,-0.005,0.464,0.07,0.117,-0.161
Obesity,0.267,0.143,-0.012,0.213,0.297,0.038,-0.054,0.274
Thyroid_disorders,0.159,0.106,0.08,-0.05,-0.126,-0.092,0.207,0.169
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.121,0.1,0.393,0.028,-0.154,0.089,0.116,-0.032
Chronic_kidney_disease,0.381,0.094,0.256,0.46,-0.146,-0.121,-0.154,-0.09
Esophageal_disorders,-0.124,0.076,0.036,0.133,0.077,-0.059,0.035,0.172
Chronic_ulcer_of_skin,0.235,0.069,0.389,0.09,-0.132,-0.019,0.161,-0.116
Obstructive_Sleep_apnea,0.041,0.045,0.12,0.109,0.11,-0.019,0.041,0.897
Heart_valve_disorders,0.313,0.034,0.394,-0.088,-0.009,0.151,-0.189,-0.124
Gout,0.467,0.025,0.004,-0.055,0.112,-0.065,0.173,0.191
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.483,0.022,-0.037,-0.124,0.028,-0.065,0.223,0.138
Urinary_incontinence,0.036,-0.008,0.95,0.016,0.035,-0.024,0.012,0.139
Congestive_heart_failure__nonhypertensive,0.73,-0.009,0.104,-0.036,-0.049,-0.059,0.045,0.046
Neoplasms,0.053,-0.01,0.107,0.091,-0.143,0.001,0.226,-0.051
Osteoporosis,0.083,-0.024,0.016,0.048,-0.066,0.042,0.977,0.021
Coagulation_and_hemorrhagic_disorders,0.62,-0.032,0.001,-0.057,0.065,0.026,0.219,0.004
Cardiac_dysrhythmias,0.65,-0.034,0.163,0.059,0.05,0.105,0.049,0.049
Acute_cerebrovascular_disease,-0.032,-0.049,-0.008,0.035,0.009,0.992,0.044,-0.019
Hepatic_steatosis_and_other_liver_diseases,0.028,-0.066,0.016,-0.064,0.983,-0.019,-0.079,0.104
Retinal_detachments__defects__vascular_occlusion__and_retinopathy,-0.088,-0.068,-0.006,0.98,-0.055,0.049,0.083,0.1
