"",ML8,ML9,ML6,ML5,ML1,ML2,ML4,ML3,ML7
Disorders_of_lipid_metabolism,0.03,0.591,0.003,0.081,0.073,0.021,0.136,-0.015,-0.015
Vision_defects,-0.049,0.479,0.145,-0.169,0.002,0.068,0.024,-0.223,0.207
Inflammatory_conditions_of_male_genital_organs,-0.096,0.476,0.014,-0.072,-0.042,0.155,-0.227,0.093,-0.071
Allergic_rhinitis,0.021,0.455,0.033,-0.26,0.15,-0.008,-0.286,0.259,0.072
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.065,0.451,0.075,-0.083,0.044,-0.18,-0.135,0.249,0.137
Hypertension,0.287,0.446,-0.025,0.389,0.091,0.172,0.137,-0.136,0.023
Anxiety_disorders,-0.097,0.372,0.063,-0.072,0.269,-0.125,0.034,0.152,-0.093
Depression_and_Mood_disorders,-0.095,0.37,0.198,0.105,0.243,-0.173,0.102,0.189,-0.079
Headache__including_migraine,0.097,0.368,-0.161,0.028,0.258,-0.2,0.103,0.114,-0.094
Other_male_genital_disorders,-0.285,0.362,-0.179,0.03,0.105,0.154,-0.007,-0.071,0.336
Diabetes,0.142,0.335,0.229,0.297,-0.108,0.167,0.096,-0.093,-0.069
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.072,0.334,0.133,0.159,-0.144,-0.118,-0.141,0.065,-0.002
Osteoarthritis,0.243,0.327,0.069,-0.015,0.164,-0.084,-0.014,0.215,0.03
Sexual_disorders,-0.16,0.319,-0.097,0.181,0.233,-0.012,0.022,0.016,-0.051
Psoriasis_and_other_inflammatory,0.292,0.287,-0.316,0.256,-0.175,0.07,-0.291,0.141,0.024
Obesity,0.184,0.265,0.014,0.225,0.283,0.321,0.048,-0.171,-0.019
Other_circulatory_disease,0.157,0.248,0.052,0.105,-0.156,-0.022,0.201,0.155,0.141
Irritable_bowel_and_other_GI_disorders,-0.282,0.238,0.418,-0.055,-0.205,0.301,0.119,0.002,0.198
Peripheral_and_visceral_atherosclerosis,0.202,0.205,0.034,0.149,-0.183,0.262,0.193,0.056,0.031
Transient_cerebral_ischemia,0.216,0.183,0.175,-0.099,0.045,-0.217,0.315,-0.037,-0.131
Alcohol-related_disorders,0.055,0.17,-0.022,-0.015,-0.154,0.435,0.056,0.115,0.109
Ischemic_heart_disease,0.42,0.166,-0.22,-0.061,0.061,-0.021,0.312,0.253,0.001
Diverticulosis_and_diverticulitis,0.223,0.164,-0.029,-0.102,0.334,0.133,-0.001,0.063,0.1
Hyperplasia_of_prostate,0.189,0.152,0.115,0.135,-0.015,0.143,0.079,0.005,0.096
Chronic_kidney_disease,0.336,0.146,0.257,0.46,-0.081,-0.145,-0.123,-0.039,-0.146
Thyroid_disorders,0.123,0.146,0.097,-0.035,0.173,-0.102,-0.083,-0.136,0.227
Myodesopsia_and_other_eye_disorders,-0.012,0.138,0.091,0.141,-0.022,-0.075,-0.175,0.229,0.245
Glaucoma,0.279,0.102,-0.097,0.103,-0.049,-0.065,0.245,0.15,0.059
Other_non-traumatic_joint_disorders,0.374,0.089,0.066,-0.205,0.195,-0.188,0.284,0.038,-0.106
Cataract,0.311,0.073,0.166,0.194,-0.006,-0.075,-0.093,0.321,-0.224
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.147,0.064,0.396,0.041,-0.022,-0.142,0.089,-0.047,0.125
Chronic_ulcer_of_skin,0.255,0.046,0.379,0.086,-0.108,-0.149,-0.028,0.078,0.146
Gout,0.446,0.04,-0.001,-0.06,0.198,0.096,-0.075,0.053,0.16
Congestive_heart_failure__nonhypertensive,0.714,0.037,0.111,-0.01,0.05,-0.01,-0.056,-0.185,0.068
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.489,0.018,-0.028,-0.103,0.145,0.057,-0.064,-0.124,0.239
Esophageal_disorders,-0.091,0.011,0.028,0.121,0.181,0.056,-0.068,0.105,0.021
Obstructive_Sleep_apnea,0.027,-0.003,0.121,0.101,0.915,0.103,-0.018,0.013,0.036
Acute_cerebrovascular_disease,-0.023,-0.009,-0.007,0.035,-0.019,-0.002,0.987,0.041,0.041
Urinary_incontinence,0.032,-0.016,0.943,0.015,0.15,0.022,-0.018,0.042,0.006
Neuropathy_and_other_nervous_system_disorders,-0.078,-0.018,0.036,0.063,0.017,0.15,0.059,0.931,0.1
Neoplasms,0.064,-0.02,0.108,0.096,-0.051,-0.14,0.003,-0.004,0.225
Cardiac_dysrhythmias,0.656,-0.026,0.16,0.072,0.058,0.062,0.099,-0.051,0.054
Heart_valve_disorders,0.363,-0.029,0.363,-0.106,-0.115,-0.051,0.128,0.198,-0.225
Osteoporosis,0.1,-0.03,0.022,0.051,0.019,-0.082,0.042,0.086,0.959
Hepatic_steatosis_and_other_liver_diseases,0.037,-0.04,0.012,-0.077,0.109,0.956,-0.027,0.124,-0.088
Coagulation_and_hemorrhagic_disorders,0.646,-0.058,-0.008,-0.052,0.012,0.06,0.013,0.039,0.208
Retinal_detachments__defects__vascular_occlusion__and_retinopathy,-0.092,-0.059,-0.009,0.967,0.103,-0.071,0.049,0.079,0.076
