"",ML10,ML11,ML2,ML9,ML6,ML7,ML4,ML8,ML5,ML3,ML1
Cardiac_dysrhythmias,0.003,0.603,0.258,-0.115,-0.068,0.269,0.038,0.098,-0.087,0.122,0.163
Coagulation_and_hemorrhagic_disorders,-0.128,0.602,0.03,0.052,-0.009,0.246,0.221,0.096,0.094,0.065,-0.107
Congestive_heart_failure__nonhypertensive,0.246,0.6,0.234,-0.252,-0.035,-0.062,-0.061,-0.004,-0.023,0.066,0.043
Glaucoma,0.062,0.512,-0.188,0.192,0.134,0.078,0.053,-0.195,-0.184,0.151,0.031
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.158,0.438,-0.015,-0.117,-0.034,0.012,-0.125,0.034,0.097,-0.06,0.172
Ischemic_heart_disease,0.035,0.373,0.015,0.315,-0.034,0.147,0.14,0.019,0.087,-0.147,-0.088
Gout,0.212,0.357,-0.036,0.082,-0.051,-0.042,0.192,0.133,0.106,-0.046,0.034
Osteoporosis,-0.087,0.338,0.144,0.301,0.296,-0.164,-0.054,-0.243,0.258,-0.019,0.115
Hypertension,0.396,0.328,0.038,-0.08,0.203,0.129,0.066,0.072,0.082,0.031,0.168
Chronic_kidney_disease,0.548,0.313,0.039,-0.015,-0.1,-0.101,0.156,-0.204,-0.049,-0.122,-0.08
Peripheral_and_visceral_atherosclerosis,0.06,0.307,-0.086,0.122,-0.115,0.044,0.088,0.141,0.079,0.006,0.138
Hyperplasia_of_prostate,0.119,0.29,-0.184,0.1,0.106,0.09,0.033,0.07,0.224,0.018,0.025
Acute_cerebrovascular_disease,-0.11,0.252,-0.055,0.25,0.04,0.313,-0.303,-0.131,-0.08,-0.053,0.135
Diverticulosis_and_diverticulitis,0.411,0.22,-0.106,0.174,0.067,0.003,-0.121,0.237,0.134,-0.281,-0.105
Neoplasms,-0.105,0.166,0.14,0.018,-0.021,0.008,-0.159,-0.231,0.132,0.241,0.17
Cataract,0.133,0.152,0.226,0.276,-0.132,0.042,0.025,-0.033,0.142,-0.024,-0.023
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.356,0.151,0.062,0.103,0.023,-0.204,-0.088,-0.186,0.094,-0.15,0.031
Obesity,0.37,0.116,-0.027,-0.122,0.075,0.085,0.22,0.353,0.193,-0.023,0.032
Osteoarthritis,0.311,0.11,0.151,0.233,0.039,0.093,0.113,0.016,0.196,-0.041,-0.08
Diabetes,0.375,0.087,0.336,-0.051,0.026,-0.001,0.202,0.128,-0.156,-0.038,-0.012
Obstructive_Sleep_apnea,0.522,0.066,0.021,0.11,0.014,-0.003,-0.193,0.308,0.209,0.189,-0.071
Headache__including_migraine,0.35,0.052,0.104,0.099,0.139,-0.013,0.132,-0.125,0.056,0.092,-0.103
Esophageal_disorders,-0.021,0.045,-0.089,0.028,0.102,-0.06,0.067,0.031,-0.001,0.956,-0.092
Transient_cerebral_ischemia,-0.053,0.043,0.03,-0.022,-0.059,0.959,-0.087,-0.037,0.074,-0.061,-0.071
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.228,0.042,0.222,-0.001,-0.292,0.174,0.053,-0.168,0.013,0.078,0.163
Psoriasis_and_other_inflammatory,-0.005,0.035,0.057,0.035,-0.086,-0.078,0.959,-0.009,0.076,0.077,0.102
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.318,0.035,0.023,0.24,0.186,0.247,0.128,-0.224,-0.145,0.077,0.128
Hepatic_steatosis_and_other_liver_diseases,-0.053,0.027,-0.035,0.121,0.053,-0.051,-0.012,0.928,-0.056,0.031,0.137
Alcohol-related_disorders,-0.066,0.017,-0.059,0.044,0.004,-0.078,0.072,0.104,0.017,-0.097,0.944
Disorders_of_lipid_metabolism,0.331,0.008,0.077,0.002,0.127,0.164,0.143,0.006,0.131,0.175,0.089
Chronic_ulcer_of_skin,-0.065,0.004,0.978,0.06,0.068,0.028,0.057,-0.047,0.009,-0.097,-0.073
Other_male_genital_disorders,-0.025,0.001,0.04,-0.019,0.977,-0.067,-0.097,0.029,0.01,0.118,0.015
Vision_defects,0.16,-0.028,0.113,-0.157,0.41,0.16,0.145,0.085,0.14,-0.26,0.059
Urinary_incontinence,0.384,-0.033,0.413,0.062,-0.237,0.088,-0.361,0.109,0.116,0.232,0.129
Thyroid_disorders,-0.03,-0.055,-0.011,-0.035,0.007,0.047,0.055,-0.042,0.999,0,0.011
Neuropathy_and_other_nervous_system_disorders,0.003,-0.064,0.055,0.964,-0.029,-0.024,0.02,0.105,-0.04,0.037,0.049
Depression_and_Mood_disorders,0.432,-0.07,0.094,0.195,0.062,0.135,-0.047,-0.158,0.005,0.081,0.152
Allergic_rhinitis,0.185,-0.116,0.099,0.171,0.18,0.107,0.142,0.054,-0.04,0.151,0.153
Anxiety_disorders,0.346,-0.173,-0.061,0.135,-0.015,0.228,0.18,-0.045,0.04,0.288,-0.017
Inflammatory_conditions_of_male_genital_organs,0.199,-0.21,0.09,0.064,0.388,0.204,0.215,0.212,-0.122,-0.156,-0.066
Sexual_disorders,0.394,-0.233,-0.21,-0.022,0.168,0.188,0.104,-0.104,-0.057,0.06,0.356
