"",ML11,ML12,ML9,ML6,ML10,ML2,ML8,ML5,ML1,ML3,ML4,ML7
Cardiac_dysrhythmias,-0.027,0.675,-0.104,0.229,-0.061,0.077,0.233,-0.087,0.087,0.043,0.112,0.145
Coagulation_and_hemorrhagic_disorders,-0.146,0.642,0.062,0.01,0.003,0.036,0.22,0.091,0.086,0.235,0.057,-0.12
Congestive_heart_failure__nonhypertensive,0.232,0.636,-0.217,0.202,-0.03,-0.061,-0.062,-0.031,-0.035,-0.091,0.058,0.039
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.079,0.536,-0.067,-0.052,-0.025,-0.143,0.03,0.086,-0.003,-0.164,-0.076,0.175
Glaucoma,0.086,0.425,0.168,-0.186,0.135,0.234,0.027,-0.182,-0.185,0.102,0.158,0.01
Gout,0.202,0.373,0.114,-0.053,-0.048,-0.07,-0.035,0.102,0.108,0.164,-0.049,0.039
Osteoporosis,-0.111,0.306,0.282,0.138,0.308,0.177,-0.206,0.258,-0.226,-0.008,-0.018,0.095
Chronic_kidney_disease,0.549,0.294,0.019,0.024,-0.107,-0.031,-0.097,-0.049,-0.232,0.118,-0.119,-0.077
Hyperplasia_of_prostate,0.107,0.282,0.104,-0.188,0.109,0.078,0.068,0.225,0.065,0.044,0.019,0.016
Diverticulosis_and_diverticulitis,0.344,0.279,0.225,-0.132,0.069,-0.105,0.021,0.129,0.2,-0.166,-0.288,-0.1
Ischemic_heart_disease,0.115,0.252,0.275,0.032,-0.035,0.312,0.079,0.095,0.04,0.2,-0.133,-0.111
Hypertension,0.493,0.236,-0.09,0.043,0.189,0.166,0.092,0.09,0.066,0.068,0.04,0.157
Neoplasms,-0.153,0.206,0.023,0.125,-0.015,-0.006,0.004,0.129,-0.232,-0.16,0.232,0.165
Peripheral_and_visceral_atherosclerosis,0.15,0.204,0.086,-0.071,-0.117,0.268,-0.015,0.084,0.159,0.135,0.018,0.118
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.301,0.196,0.151,0.034,0.022,-0.151,-0.175,0.086,-0.22,-0.14,-0.159,0.042
Cataract,0.079,0.194,0.312,0.206,-0.132,-0.12,0.063,0.139,-0.057,-0.016,-0.03,-0.013
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.207,0.152,0.309,-0.015,0.175,-0.278,0.303,-0.148,-0.273,0.041,0.061,0.152
Osteoarthritis,0.294,0.134,0.26,0.136,0.034,-0.029,0.093,0.199,-0.003,0.079,-0.043,-0.077
Obstructive_Sleep_apnea,0.477,0.106,0.147,0.005,0.009,-0.034,0.003,0.212,0.283,-0.24,0.188,-0.07
Transient_cerebral_ischemia,-0.07,0.072,-0.035,0.034,-0.073,0.113,0.933,0.088,-0.039,-0.077,-0.065,-0.081
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.208,0.064,0.001,0.217,-0.3,0.086,0.153,0.023,-0.166,0.044,0.079,0.154
Obesity,0.474,0.058,-0.127,-0.017,0.063,0.106,0.058,0.201,0.348,0.212,-0.013,0.025
Esophageal_disorders,-0.012,0.045,0.028,-0.091,0.101,-0.025,-0.058,-0.002,0.034,0.054,0.957,-0.093
Hepatic_steatosis_and_other_liver_diseases,-0.019,0.044,0.13,-0.036,0.056,-0.043,-0.045,-0.059,0.919,-0.024,0.032,0.142
Urinary_incontinence,0.31,0.043,0.1,0.389,-0.245,-0.074,0.104,0.12,0.086,-0.418,0.226,0.133
Psoriasis_and_other_inflammatory,0.058,0.032,0.047,0.062,-0.092,-0.126,-0.062,0.079,-0.013,0.928,0.08,0.116
Alcohol-related_disorders,-0.072,0.028,0.035,-0.06,0.001,0.044,-0.085,0.02,0.109,0.077,-0.099,0.945
Allergic_rhinitis,0.075,0.025,0.25,0.063,0.173,-0.42,0.194,-0.047,0.001,0.034,0.132,0.19
Chronic_ulcer_of_skin,-0.045,0.022,0.057,0.969,0.066,-0.003,0.022,0.015,-0.043,0.045,-0.099,-0.074
Vision_defects,0.152,0.011,-0.146,0.109,0.406,-0.028,0.162,0.148,0.076,0.13,-0.262,0.06
Headache__including_migraine,0.388,-0.003,0.095,0.109,0.129,0.108,-0.035,0.065,-0.123,0.13,0.101,-0.11
Diabetes,0.509,-0.017,-0.069,0.349,0.009,0.153,-0.033,-0.145,0.131,0.201,-0.023,-0.018
Other_male_genital_disorders,-0.014,-0.018,-0.029,0.04,0.978,0.018,-0.069,0.011,0.032,-0.084,0.118,0.012
Acute_cerebrovascular_disease,0.066,-0.021,0.096,0.007,0.033,0.948,0.122,-0.051,-0.033,-0.104,-0.017,0.058
Depression_and_Mood_disorders,0.383,-0.052,0.212,0.086,0.049,0.038,0.132,0.015,-0.168,-0.075,0.082,0.151
Thyroid_disorders,-0.026,-0.059,-0.034,-0.001,0.01,-0.033,0.05,1,-0.041,0.046,-0.001,0.013
Disorders_of_lipid_metabolism,0.437,-0.082,-0.015,0.091,0.108,0.133,0.138,0.142,0.008,0.136,0.186,0.085
Neuropathy_and_other_nervous_system_disorders,-0.05,-0.095,0.964,0.055,-0.031,0.082,-0.033,-0.036,0.113,0.028,0.042,0.05
Inflammatory_conditions_of_male_genital_organs,0.146,-0.105,0.124,0.068,0.377,-0.341,0.275,-0.123,0.167,0.128,-0.168,-0.034
Anxiety_disorders,0.319,-0.145,0.154,-0.063,-0.03,-0.034,0.237,0.051,-0.055,0.141,0.289,-0.011
Sexual_disorders,0.383,-0.23,-0.01,-0.206,0.147,-0.023,0.202,-0.046,-0.115,0.069,0.063,0.365
