"",ML14,ML8,ML1,ML7,ML12,ML9,ML10,ML3,ML11,ML5,ML4,ML6,ML2,ML13
Obstructive_Sleep_apnea,-0.043,0.967,0.064,0.044,0.002,0.006,0.001,-0.071,-0.047,-0.011,-0.048,0.07,0.054,-0.073
Diverticulosis_and_diverticulitis,0.188,0.384,0.211,0.203,0.092,-0.15,-0.113,-0.094,0.021,-0.011,-0.094,0.076,-0.337,-0.112
Obesity,0.279,0.374,-0.016,-0.168,0.016,-0.018,0.142,0.242,0.034,0.156,0.035,0.166,-0.03,-0.273
Depression_and_Mood_disorders,0.104,0.339,-0.074,0.145,-0.023,0.08,0.102,-0.041,0.068,0.222,0.167,-0.008,0.069,0.304
Sexual_disorders,0.076,0.324,-0.253,-0.074,0.088,-0.188,0.022,0.115,0.163,0.154,0.387,-0.093,0.036,0.221
Urinary_incontinence,0.16,0.283,0.075,0.08,-0.259,0.364,-0.079,-0.396,0.091,0.015,0.135,0.109,0.205,-0.033
Anxiety_disorders,-0.02,0.281,0.005,0.115,-0.076,-0.091,0.025,0.174,0.156,0.2,-0.022,0.032,0.259,0.155
Gout,0.238,0.251,0.194,0.102,0.007,-0.045,-0.127,0.224,0.021,-0.201,0.039,0.044,-0.103,-0.101
Headache__including_migraine,0.269,0.236,-0.101,0.092,0.18,0.118,0.048,0.187,0.031,-0.212,-0.1,0.004,0.047,0.163
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.113,0.188,0.324,-0.111,-0.057,-0.043,-0.113,-0.139,0.005,0.096,0.194,0.085,-0.069,0.082
Osteoarthritis,0.21,0.173,0.15,0.24,-0.001,0.096,0.001,0.078,0.048,0.173,-0.089,0.198,-0.045,0.07
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.038,0.145,0.048,-0.039,-0.344,0.215,0.13,0.056,0.104,0.123,0.165,0.028,0.081,0.26
Hepatic_steatosis_and_other_liver_diseases,0.018,0.121,0.037,0.161,0.052,-0.04,-0.056,-0.034,-0.031,0.067,0.183,-0.059,0.04,-0.832
Hypertension,0.621,0.118,0.076,-0.078,0.198,0.026,0.099,0.051,0.148,-0.079,0.151,0.073,0.034,-0.086
Congestive_heart_failure__nonhypertensive,0.381,0.109,0.412,-0.22,-0.002,0.198,-0.107,-0.072,-0.02,-0.127,0.039,-0.034,0.048,0.033
Allergic_rhinitis,0.1,0.106,-0.14,0.226,0.172,0.097,-0.45,0.065,0.252,-0.035,0.209,-0.079,0.118,-0.025
Chronic_kidney_disease,0.596,0.094,0.153,0.022,-0.077,-0.001,-0.083,0.125,-0.049,-0.118,-0.1,-0.062,-0.134,0.208
Osteoporosis,-0.085,0.089,0.194,0.261,0.339,0.157,0.171,0.04,-0.187,-0.1,0.099,0.232,-0.037,0.234
Cardiac_dysrhythmias,-0.025,0.082,0.909,-0.085,-0.049,0.13,0.088,0.047,0.119,0.096,0.098,-0.063,0.073,-0.016
Vision_defects,0.048,0.082,0.09,-0.136,0.409,0.086,-0.028,0.151,0.143,0.063,0.063,0.127,-0.286,-0.029
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.209,0.056,0.038,0.286,0.171,-0.009,-0.299,0.064,0.33,0.015,0.148,-0.162,0.05,0.255
Neuropathy_and_other_nervous_system_disorders,-0.063,0.042,-0.095,0.953,-0.033,0.059,0.09,0.033,-0.02,0.053,0.055,-0.037,0.051,-0.1
Esophageal_disorders,-0.007,0.041,0.081,0.042,0.109,-0.1,-0.047,0.048,-0.052,-0.062,-0.102,0.004,0.946,-0.031
Diabetes,0.57,0.041,-0.153,-0.08,-0.06,0.339,0.164,0.144,-0.022,0.171,-0.01,-0.121,0.022,-0.114
Thyroid_disorders,-0.034,0.039,-0.083,-0.034,0.016,0.004,-0.034,0.043,0.06,-0.02,0.014,0.987,0.007,0.029
Disorders_of_lipid_metabolism,0.48,0.036,-0.176,-0.023,0.048,0.081,0.133,0.082,0.147,0.144,0.084,0.159,0.224,-0.012
Ischemic_heart_disease,0.231,0.026,0.08,0.273,-0.027,0.044,0.291,0.195,0.115,-0.035,-0.107,0.092,-0.122,-0.04
Acute_cerebrovascular_disease,0.034,0.022,0.043,0.118,0.066,0.004,0.913,-0.104,0.13,-0.139,0.053,-0.06,-0.032,0.049
Coagulation_and_hemorrhagic_disorders,0.043,0.02,0.502,0.079,0.064,0.01,-0.018,0.263,0.254,-0.166,-0.128,0.075,0.028,-0.101
Inflammatory_conditions_of_male_genital_organs,-0.027,0,0.064,0.053,0.143,0.007,-0.117,0.039,0.055,0.943,-0.038,-0.027,-0.063,-0.036
Other_male_genital_disorders,0.011,-0.003,-0.042,-0.03,0.942,0.046,0.037,-0.087,-0.07,0.15,0.024,0.012,0.134,-0.032
Cataract,0.179,-0.016,0.195,0.317,-0.135,0.168,-0.129,-0.041,0.052,0.045,-0.031,0.158,-0.02,0.053
Hyperplasia_of_prostate,0.253,-0.03,0.187,0.141,0.163,-0.197,0.009,0.04,0.126,-0.156,0.012,0.219,0.014,-0.085
Chronic_ulcer_of_skin,-0.008,-0.031,0.082,0.064,0.068,0.948,-0.012,0.042,0.025,-0.003,-0.077,0.021,-0.107,0.031
Glaucoma,0.234,-0.046,0.289,0.162,0.117,-0.196,0.237,0.079,0.015,0.061,0,-0.156,0.182,0.201
Psoriasis_and_other_inflammatory,0.025,-0.063,0.063,0.047,-0.093,0.054,-0.108,0.924,-0.081,0.051,0.105,0.077,0.071,0.029
Transient_cerebral_ischemia,-0.039,-0.065,0.1,-0.025,-0.084,0.03,0.095,-0.092,0.922,0.06,-0.086,0.098,-0.063,0.017
Alcohol-related_disorders,-0.031,-0.074,0.074,0.047,0.013,-0.058,0.023,0.068,-0.084,-0.047,0.953,0.024,-0.099,-0.111
Neoplasms,0.02,-0.156,0.211,0.06,0.042,0.11,-0.073,-0.173,0.042,-0.212,0.152,0.141,0.226,0.182
Peripheral_and_visceral_atherosclerosis,0.328,-0.158,0.138,0.096,-0.186,-0.097,0.305,0.041,-0.051,0.248,0.112,0.158,0.1,-0.147
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.462,-0.172,0.232,0.173,-0.01,-0.037,-0.143,-0.219,-0.207,0.169,0.003,0.151,-0.104,0.186
