"",ML15,ML13,ML12,ML8,ML14,ML9,ML3,ML11,ML2,ML6,ML10,ML7,ML1,ML4,ML5
Cardiac_dysrhythmias,-0.032,0.934,0.086,-0.065,-0.036,0.021,0.061,0.088,0.037,-0.055,0.096,0.058,0.118,0.089,-0.052
Congestive_heart_failure__nonhypertensive,0.339,0.45,0.081,-0.214,0.011,0.063,-0.085,-0.122,-0.005,-0.023,0.187,0.037,-0.034,-0.15,0.067
Coagulation_and_hemorrhagic_disorders,-0.006,0.448,0.042,0.034,0.076,0.036,0.25,-0.035,0.059,0.064,0.008,0.046,0.273,-0.166,-0.107
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.082,0.355,0.12,-0.094,-0.011,0.162,-0.137,-0.127,0.028,0.09,-0.08,-0.097,-0.032,0.06,0.115
Neoplasms,0.045,0.272,-0.181,0.109,0.04,-0.043,-0.161,-0.064,-0.107,0.163,0.096,0.208,0.025,-0.219,0.068
Glaucoma,0.216,0.262,-0.03,0.155,0.161,0.11,0.088,0.219,-0.183,-0.175,-0.222,0.172,0.011,0.052,-0.041
Cataract,0.141,0.242,-0.053,0.323,-0.15,0.016,-0.084,-0.145,-0.036,0.186,0.197,-0.016,0.043,0.016,0.139
Alcohol-related_disorders,0,0.234,-0.198,0.173,0.073,0.094,0.158,0.058,0.404,0.057,-0.157,-0.213,-0.203,-0.097,0.354
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.435,0.229,-0.153,0.17,0.028,0.082,-0.218,-0.163,-0.172,0.141,-0.066,-0.117,-0.212,0.155,-0.067
Chronic_kidney_disease,0.56,0.182,0.106,0.019,-0.098,-0.057,0.096,-0.097,-0.253,-0.053,0.037,-0.128,-0.047,-0.132,0.102
Osteoporosis,-0.118,0.175,0.05,0.265,0.406,0.187,0.038,0.148,-0.176,0.22,0.096,-0.052,-0.21,-0.116,0.005
Gout,0.231,0.167,0.296,0.093,0.018,-0.039,0.251,-0.121,0.072,0.026,-0.069,-0.113,0.028,-0.188,-0.103
Peripheral_and_visceral_atherosclerosis,0.378,0.135,-0.097,0.104,-0.162,0.02,0.084,0.312,0.155,0.14,-0.135,0.069,-0.041,0.25,-0.164
Osteoarthritis,0.22,0.125,0.208,0.231,0.018,0.038,0.081,-0.008,-0.087,0.183,0.079,-0.046,0.065,0.173,-0.098
Hypertension,0.604,0.117,0.107,-0.069,0.207,0.013,0.059,0.093,0.117,0.075,0.016,0.005,0.118,-0.103,0.131
Hyperplasia_of_prostate,0.18,0.113,-0.052,0.083,0.238,0.222,0.037,-0.028,0.148,0.191,-0.236,0.008,0.116,-0.182,-0.081
Diverticulosis_and_diverticulitis,0.121,0.112,0.383,0.135,0.152,0.175,-0.102,-0.146,0.126,0.039,-0.186,-0.329,0.031,-0.023,-0.144
Urinary_incontinence,0.157,0.109,0.224,0.113,-0.176,0.306,-0.389,-0.099,0.135,0.11,0.281,0.163,0.051,-0.018,0.016
Transient_cerebral_ischemia,-0.028,0.103,-0.063,-0.019,-0.077,0.047,-0.1,0.088,-0.032,0.1,0.033,-0.06,0.914,0.053,0.049
Chronic_ulcer_of_skin,0.008,0.102,-0.011,0.086,0.089,0.075,0.041,-0.016,-0.045,0.029,0.902,-0.109,0.04,0.002,-0.122
