"",ML16,ML1,ML9,ML5,ML10,ML2,ML6,ML11,ML15,ML3,ML12,ML8,ML7,ML13,ML4,ML14
Cardiac_dysrhythmias,-0.027,0.951,-0.062,0.033,0.028,-0.03,-0.04,0.101,0.05,-0.079,0.051,0.07,-0.047,0.126,0.067,0.04
Coagulation_and_hemorrhagic_disorders,0.075,0.448,0.012,-0.042,0.009,0.004,-0.1,-0.002,0.072,0.063,0.234,0.061,0.044,0.296,-0.142,0.208
Congestive_heart_failure__nonhypertensive,0.147,0.406,-0.255,0.236,0.05,0.03,0.105,0.219,-0.071,0.203,-0.132,0.023,-0.056,-0.049,-0.207,0.048
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.079,0.311,-0.138,0.122,0.118,-0.096,0.157,-0.082,-0.003,0.196,-0.178,-0.089,0.049,-0.01,0.066,0.264
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.179,0.304,0.191,-0.064,0.093,0.089,-0.092,-0.062,-0.347,0.075,-0.12,-0.158,0.128,-0.275,0.139,-0.099
Glaucoma,0.06,0.284,0.153,0.119,0.108,0.18,-0.021,-0.212,-0.268,-0.187,0.099,0.169,-0.187,0.012,0.021,0.054
Cataract,-0.194,0.276,0.348,0.099,0.071,0.018,0.126,0.22,-0.126,0.106,-0.04,-0.05,0.219,-0.029,-0.047,-0.312
Neoplasms,-0.226,0.204,0.029,0.109,-0.075,0.001,0.053,0.098,-0.154,0.084,-0.126,0.177,0.102,0.029,-0.207,0.164
Alcohol-related_disorders,-0.182,0.202,0.139,0.125,0.086,0.107,0.333,-0.154,0.38,-0.061,0.214,-0.253,0.01,-0.221,-0.109,0.026
Osteoarthritis,0.312,0.197,0.282,-0.044,0.052,0.034,-0.067,0.081,-0.14,0.006,0.058,-0.024,0.213,0.053,0.15,0.005
Chronic_kidney_disease,0.306,0.188,0.021,0.228,-0.033,0.008,0.15,0.082,-0.367,0.164,0.055,-0.143,-0.05,-0.084,-0.233,-0.144
Diverticulosis_and_diverticulitis,0.389,0.185,0.199,-0.14,0.181,0.138,-0.112,-0.203,0.101,0.166,-0.169,-0.286,0.085,0.014,-0.029,0.075
Gout,0.356,0.169,0.087,0.087,-0.063,-0.041,-0.04,-0.055,0.08,0.217,0.16,-0.076,0.021,0.053,-0.208,0.213
Hyperplasia_of_prostate,0.032,0.164,0.101,0.012,0.23,0.298,-0.094,-0.239,0.047,0.006,0.077,-0.011,0.192,0.069,-0.192,-0.041
Obstructive_Sleep_apnea,0.417,0.148,0.144,-0.082,0.048,-0.015,0.228,0.027,0.233,0.083,-0.291,0.182,0.202,-0.02,-0.061,0.044
Hypertension,0.434,0.147,-0.059,0.234,0.01,0.267,0.187,0.054,-0.011,-0.022,0.028,-0.011,0.052,0.081,-0.172,-0.019
