"",ML16,ML1,ML17,ML8,ML10,ML9,ML5,ML11,ML13,ML7,ML15,ML4,ML12,ML3,ML14,ML6,ML2
Cardiac_dysrhythmias,-0.002,0.898,0.028,0.033,-0.078,0.071,-0.065,0.107,0.134,0.085,0.064,-0.021,0.038,-0.089,0.079,-0.057,0.107
Coagulation_and_hemorrhagic_disorders,0.122,0.469,-0.103,-0.017,0.052,-0.028,-0.066,-0.028,0.255,0.038,0.257,0.035,0.215,0.043,-0.14,0.031,-0.112
Congestive_heart_failure__nonhypertensive,0.138,0.396,0.119,0.251,-0.247,-0.004,0.143,0.259,-0.041,0.028,-0.128,-0.022,0.074,0.191,-0.207,-0.063,-0.054
Cataract,-0.225,0.292,0.158,0.114,0.355,0.036,0.181,0.228,-0.02,-0.055,-0.019,-0.024,-0.266,0.088,-0.032,0.217,-0.068
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.148,0.286,0.137,0.13,-0.158,-0.124,0.16,0.015,0.037,-0.046,-0.239,-0.207,0.286,0.213,0.071,0.053,0.11
Glaucoma,-0.075,0.233,0.336,0.108,0.09,0.01,-0.008,-0.182,0.058,0.193,0.12,0.115,0.112,-0.226,0.035,-0.186,-0.007
Hearing_loss_and_other_ear_and_sense_organ_disorders,-0.022,0.221,0.578,-0.08,0.087,0.086,-0.089,-0.005,-0.193,-0.126,-0.087,0.005,-0.038,0.043,0.15,0.126,0.046
Diverticulosis_and_diverticulitis,0.458,0.214,0.195,-0.114,0.221,-0.026,-0.035,-0.138,0.037,-0.28,-0.153,0.036,0.136,0.131,-0.008,0.073,-0.061
Obstructive_Sleep_apnea,0.508,0.168,-0.106,-0.052,0.187,0.235,0.279,-0.013,-0.069,0.132,-0.196,0.011,0.054,0.054,-0.058,0.155,-0.147
Hyperplasia_of_prostate,0.031,0.159,0.154,-0.006,0.107,0.234,-0.083,-0.272,0.099,-0.009,0.147,0.268,0.027,-0.057,-0.152,0.179,0.047
Neoplasms,-0.284,0.158,0.114,0.092,-0.019,-0.021,0.009,0.124,0.066,0.212,-0.164,-0.014,0.155,0.099,-0.214,0.113,0.11
Osteoarthritis,0.22,0.146,0.335,-0.039,0.222,0.037,-0.048,0.113,0.08,-0.014,0.086,-0.02,0.038,-0.011,0.154,0.197,-0.053
