"",ML15,ML7,ML16,ML9,ML10,ML3,ML18,ML4,ML5,ML11,ML19,ML6,ML12,ML14,ML13,ML8,ML17,ML1,ML2
Obstructive_Sleep_apnea,-0.032,0.915,-0.085,-0.064,-0.083,0.022,-0.007,-0.062,0.071,0.034,0.012,0.134,0.014,0.017,0.096,0.067,0.036,0.055,-0.009
Obesity,0.063,0.361,0.249,-0.007,-0.042,0.232,0.198,0.086,0.004,-0.191,-0.026,0.152,-0.023,-0.017,0.026,0.154,0.156,-0.065,-0.026
Gout,0.008,0.358,0.297,0.092,0.092,-0.151,-0.145,0.07,-0.089,0.066,-0.055,-0.015,-0.124,0.247,-0.046,-0.008,0.174,0.094,-0.044
Sexual_disorders,0.069,0.302,0.103,0.225,-0.035,-0.042,0.121,0.309,0.004,-0.022,-0.199,-0.154,0.103,0.014,0.011,-0.069,-0.033,-0.359,0.15
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.474,0.259,-0.131,0.112,0.169,-0.217,0.122,0.152,-0.083,-0.031,-0.086,-0.117,0.094,0.246,-0.095,0.046,-0.235,0.028,-0.068
Hypertension,0.237,0.202,0.147,0.196,0.257,0.191,-0.072,0.205,0.089,-0.11,0.062,0.1,-0.06,0.008,-0.005,0.045,0.019,-0.084,0.178
Depression_and_Mood_disorders,0.085,0.196,-0.044,0.028,0.055,0.172,0.149,0.044,0.033,0.127,0.025,0.015,0.336,-0.112,0.197,0.008,0.055,-0.108,0.105
Urinary_incontinence,0.018,0.193,-0.35,0.063,0.04,-0.077,0.004,0.092,0.154,0.084,0.22,-0.028,0.235,-0.007,0.003,0.091,0.65,0.027,-0.12
Hepatic_steatosis_and_other_liver_diseases,-0.037,0.191,-0.054,-0.17,-0.2,0.019,0.174,0.387,0.071,0.198,-0.025,0.255,-0.163,-0.201,0.047,-0.035,0.062,0.134,0.029
Headache__including_migraine,0.162,0.184,0.219,0.021,0.156,0.134,-0.267,-0.106,0.082,0.081,0.15,0.127,0.072,-0.17,0.122,0.028,-0.145,-0.161,0.243
Osteoarthritis,-0.015,0.174,0.126,0.042,0.169,0.126,0.16,-0.109,-0.019,0.144,0.119,0.103,0.034,0.031,0.164,0.166,0.016,0.144,-0.026
