"",ML2,ML1
Atopic_dermatitis,-0.017,0.997
Asthma,0.221,0.375
Inflammatory_conditions_of_male_genital_organs,0.27,0.273
Obesity,0.671,0.171
Other_male_genital_disorders,0.213,0.162
Allergic_rhinitis,0.274,0.155
Miscellaneous_mental_health_disorders,0.344,0.086
Other_acquired_deformities,0.114,0.084
Headache__including_migraine,0.427,0.08
Vision_defects,0.27,0.043
Depression_and_Mood_disorders,0.457,0.019
Anxiety_disorders,0.496,-0.082
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.264,-0.095
Disorders_of_lipid_metabolism,0.591,-0.108
Thyroid_disorders,0.354,-0.125
Hypertension,0.633,-0.138
Sexual_disorders,0.268,-0.226
