"",ML2,ML3,ML1
Miscellaneous_mental_health_disorders,-0.134,0.589,0.058
Allergic_rhinitis,-0.091,0.465,0.132
Anxiety_disorders,0.158,0.448,-0.133
Headache__including_migraine,0.157,0.391,0.035
Inflammatory_conditions_of_male_genital_organs,0.03,0.384,0.244
Other_male_genital_disorders,-0.114,0.382,0.146
Disorders_of_lipid_metabolism,0.3,0.372,-0.17
Depression_and_Mood_disorders,0.288,0.301,-0.034
Other_acquired_deformities,-0.106,0.275,0.076
Hypertension,0.482,0.245,-0.211
Vision_defects,0.196,0.211,0.008
Sexual_disorders,0.15,0.175,-0.256
Asthma,0.114,0.14,0.352
Thyroid_disorders,0.329,0.119,-0.17
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.217,0.116,-0.128
Atopic_dermatitis,0.035,0.02,0.995
Obesity,1.004,-0.04,0.067
